guide_id	target_gene	cells	gene	delta_log_norm
guide_012	ISG15	50	IFIT1	-0.5465971
guide_012	ISG15	50	IFIT2	-0.69809235
guide_012	ISG15	50	IFIT3	-0.57580452
guide_012	ISG15	50	MX1	-0.67414705
guide_012	ISG15	50	MX2	-0.70227431
guide_012	ISG15	50	OAS1	-0.70184912
guide_012	ISG15	50	OAS2	-0.65537548
guide_012	ISG15	50	OAS3	-0.62116236
guide_012	ISG15	50	CXCL10	-0.70804031
guide_012	ISG15	50	CXCL11	-0.64609552
guide_012	ISG15	50	IRF7	-0.59472367
guide_012	ISG15	50	BST2	-0.47174023
guide_012	ISG15	50	IFI6	-0.7733897
guide_012	ISG15	50	STAT2	-0.67887304
guide_012	ISG15	50	EIF2AK2	-0.72035879
guide_012	ISG15	50	GBP1	-0.85665747
guide_012	ISG15	50	GBP2	-0.674312
guide_012	ISG15	50	IDO1	-0.70942729
guide_008	Non-Targeting	50	IFIT1	0.0033795961
guide_008	Non-Targeting	50	IFIT2	-0.0062277473
guide_008	Non-Targeting	50	IFIT3	-0.064946667
guide_008	Non-Targeting	50	MX1	0.0090061752
guide_008	Non-Targeting	50	MX2	-0.064143446
guide_008	Non-Targeting	50	OAS1	0.0052688199
guide_008	Non-Targeting	50	OAS2	0.023051114
guide_008	Non-Targeting	50	OAS3	0.046495467
guide_008	Non-Targeting	50	CXCL10	0.019438717
guide_008	Non-Targeting	50	CXCL11	-0.066702564
guide_008	Non-Targeting	50	IRF7	0.059871305
guide_008	Non-Targeting	50	BST2	-0.025035353
guide_008	Non-Targeting	50	IFI6	-0.041655872
guide_008	Non-Targeting	50	STAT2	0.03051833
guide_008	Non-Targeting	50	EIF2AK2	0.065176431
guide_008	Non-Targeting	50	GBP1	0.0087313119
guide_008	Non-Targeting	50	GBP2	-0.054738772
guide_008	Non-Targeting	50	IDO1	-0.018996689
guide_009	Non-Targeting	50	IFIT1	0.033747478
guide_009	Non-Targeting	50	IFIT2	0.029190435
guide_009	Non-Targeting	50	IFIT3	0.020011513
guide_009	Non-Targeting	50	MX1	-0.089729742
guide_009	Non-Targeting	50	MX2	0.027184587
guide_009	Non-Targeting	50	OAS1	-0.056279799
guide_009	Non-Targeting	50	OAS2	-0.030450833
guide_009	Non-Targeting	50	OAS3	0.003472944
guide_009	Non-Targeting	50	CXCL10	0.0009372294
guide_009	Non-Targeting	50	CXCL11	0.034577953
guide_009	Non-Targeting	50	IRF7	-0.041293405
guide_009	Non-Targeting	50	BST2	-0.077311907
guide_009	Non-Targeting	50	IFI6	0.037619336
guide_009	Non-Targeting	50	STAT2	0.0013678386
guide_009	Non-Targeting	50	EIF2AK2	-0.024605926
guide_009	Non-Targeting	50	GBP1	-0.054765585
guide_009	Non-Targeting	50	GBP2	0.03199424
guide_009	Non-Targeting	50	IDO1	-0.016259336
guide_006	Non-Targeting	50	IFIT1	0.0015613039
guide_006	Non-Targeting	50	IFIT2	0.0041388178
guide_006	Non-Targeting	50	IFIT3	0.01668034
guide_006	Non-Targeting	50	MX1	0.098158325
guide_006	Non-Targeting	50	MX2	-0.0060087784
guide_006	Non-Targeting	50	OAS1	-0.070139339
guide_006	Non-Targeting	50	OAS2	-0.07031404
