guide_id	target_gene	cells	guide_umi_sum	library_mean	score_mean	score_median	score_p10	score_p90	delta_score_mean	delta_score_median	robust_z_median	rank_biserial	rank_biserial_p	signature_genes_down	signature_genes_down_0.1	mean_gene_delta	median_gene_delta	target_gene_index	target_gene_delta
guide_011	STAT1	5	2237	4154.8	0.84355517	0.18606028	0.049098337	2.2723047	-2.4791113	-3.1380885	-48.969619	-0.6	0.020975147	20	20	-2.4791113	-2.5792005	1	-2.6835029
guide_012	ISG15	50	22569	4187.06	2.6483255	2.6602777	2.5549311	2.7549705	-0.67434097	-0.66387107	-10.359655	-1	1.8922822e-31	20	20	-0.67434097	-0.6858091	2	-0.785154
guide_007	Non-Targeting	50	22574	4289.18	3.3079597	3.3061702	3.2179976	3.395681	-0.014706856	-0.017978502	-0.28055308	-0.11368	0.18489742	12	0	-0.014706856	-0.014451722	NA	NA
guide_008	Non-Targeting	50	22580	4285.38	3.3164476	3.309294	3.2359296	3.3910269	-0.0062189701	-0.014854739	-0.23180701	-0.04752	0.57961711	10	0	-0.0062189701	0.00054279891	NA	NA
guide_026	CD39	50	22328	4295.06	3.3073929	3.3095298	3.2378771	3.3857062	-0.015273629	-0.014618977	-0.22812796	-0.14112	0.099771209	13	2	-0.015273629	-0.010957458	523	0.19537326
guide_045	CD149	50	22619	4315.38	3.3154637	3.3100427	3.2448566	3.3907925	-0.0072028156	-0.014105989	-0.22012283	-0.06904	0.42081108	11	0	-0.0072028156	-0.014994893	525	0.037208579
guide_033	CD83	50	22568	4285.74	3.3194101	3.3124707	3.2270207	3.4191593	-0.0032563848	-0.011677983	-0.18223399	-0.02664	0.75630312	12	0	-0.0032563848	-0.0033589773	751	-0.0041797021
guide_050	ZNF101	50	22616	4287.84	3.3186965	3.3147848	3.2474818	3.3895612	-0.0039699903	-0.0093639135	-0.14612312	-0.03464	0.68645236	10	0	-0.0039699903	0.00081217089	965	0.091568335
guide_034	ZNF159	50	22278	4297.5	3.3161598	3.3150611	3.2643376	3.3773196	-0.0065067689	-0.0090876626	-0.14181225	-0.07672	0.37099209	9	0	-0.0065067689	0.0018605865	359	0.036067024
guide_006	Non-Targeting	50	22427	4286.5	3.3169904	3.3154811	3.2352755	3.398749	-0.0056760764	-0.0086676365	-0.13525777	-0.0528	0.53819467	10	0	-0.0056760764	-0.00024704792	NA	NA
guide_023	ATP27	50	22458	4298.38	3.3161735	3.3161142	3.2452397	3.3876393	-0.0064930173	-0.0080345714	-0.12537884	-0.04856	0.57134134	12	0	-0.0064930173	-0.010083899	536	-0.068537832
