metric	value
normalization	log1p(count / cell_library_size * 10000)
pathway_score	mean_of_20_interferon_gamma_response_genes_in_each_cell
signature_genes	STAT1,ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CXCL11,IRF7,BST2,IFI6,STAT2,EIF2AK2,GBP1,GBP2,IDO1
features	1000
cells	2455
matrix_dimensions	1000x2455
matrix_nonzero_entries	2410284
matrix_total_count	10540091
control_guides	guide_001,guide_002,guide_003,guide_004,guide_005,guide_006,guide_007,guide_008,guide_009,guide_010
control_cells	500
control_score_mean	3.345552
control_score_median	3.3241487
control_score_mad	0.043222955
