run_accession	study_accession	study_title	experiment_accession	experiment_title	experiment_desc	organism_taxid	organism_name	library_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	biosample	bioproject	instrument	instrument_model	instrument_model_desc	total_spots	total_size	run_total_spots	run_total_bases	run_alias	public_filename	public_size	public_date	public_md5	public_version	public_semantic_name	public_supertype	public_sratoolkit	aws_url	aws_free_egress	aws_access_type	public_url	ncbi_url	ncbi_free_egress	ncbi_access_type	gcp_url	gcp_free_egress	gcp_access_type	experiment_alias	strain	isolate	collected_by	collection_date	geo_loc_name	host	host_disease	isolation_source	lat_lon	biosamplemodel	ena_fastq_http	ena_fastq_http_1	ena_fastq_http_2	ena_fastq_ftp	ena_fastq_ftp_1	ena_fastq_ftp_2
SRR35763863	SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813164	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7544-mock-NT-2-4	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825019		SAMN52624397	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	79346	7566572	79346	21133174	T7544-mock-NT-2-4_S2_L001_R1_001.fastq.gz	SRR35763863.lite	5691247	2025-10-09 15:57:25	051d56d937069666313a86f0b6b15268	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-9/SRR35763863/SRR35763863.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763863/SRR35763863.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763863/SRR35763863.lite.1	worldwide	anonymous	gs://sra-pub-zq-103/SRR35763863/SRR35763863.lite.1	gs.us-east1	gcp identity		A/Washington/239/2024	T7544-mock-NT-2-4	CDC ID PLT	2025-05	USA: Georgia	Mustela putorius furo	Influenza A	ferret	33.79807962 N 84.32742576 W	Pathogen.cl		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/063/SRR35763863/SRR35763863_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/063/SRR35763863/SRR35763863_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/063/SRR35763863/SRR35763863_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/063/SRR35763863/SRR35763863_2.fastq.gz
SRR35763864	SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813163	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7544-mock-LG-2-4	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825021		SAMN52624396	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	63845	6323853	63845	17520803	T7544-mock-LG-2-4_S19_L001_R1_001.fastq.gz	SRR35763864.lite	4715945	2025-10-09 15:57:26	f6889d44fb9da1b59595f8c319e9c194	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-9/SRR35763864/SRR35763864.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763864/SRR35763864.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763864/SRR35763864.lite.1	worldwide	anonymous	gs://sra-pub-zq-103/SRR35763864/SRR35763864.lite.1	gs.us-east1	gcp identity		A/Washington/239/2024	T7544-mock-LG-2-4	CDC ID PLT	2025-05	USA: Georgia	Mustela putorius furo	Influenza A	ferret	33.79807962 N 84.32742576 W	Pathogen.cl		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/064/SRR35763864/SRR35763864_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/064/SRR35763864/SRR35763864_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/064/SRR35763864/SRR35763864_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/064/SRR35763864/SRR35763864_2.fastq.gz
SRR35763865	SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813162	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7543-24hr-OST-NT-7-4	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825022		SAMN52624395	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	87173	8472207	87173	23623090	T7543-24hr-OST-NT-7-4_S7_L001_R1_001.fastq.gz	SRR35763865.lite	6341402	2025-10-09 15:57:25	118cf9be942ac05d9042287c44e6d800	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-9/SRR35763865/SRR35763865.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763865/SRR35763865.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763865/SRR35763865.lite.1	worldwide	anonymous	gs://sra-pub-zq-103/SRR35763865/SRR35763865.lite.1	gs.us-east1	gcp identity		A/Washington/239/2024	T7543-24hr-OST-NT-7-4	CDC ID PLT	2025-05	USA: Georgia	Mustela putorius furo	Influenza A	ferret	33.79807962 N 84.32742576 W	Pathogen.cl		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/065/SRR35763865/SRR35763865_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/065/SRR35763865/SRR35763865_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/065/SRR35763865/SRR35763865_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/065/SRR35763865/SRR35763865_2.fastq.gz
SRR35763866	SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813161	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7542-48hr-OST-NT-13-5	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825023		SAMN52624394	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	100257	9872695	100257	27559454	T7542-48hr-OST-NT-13-5_S13_L001_R1_001.fastq.gz	SRR35763866.lite	7369886	2025-10-09 15:57:25	eb38b12415f4dd03d868887174fd23e0	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-9/SRR35763866/SRR35763866.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763866/SRR35763866.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763866/SRR35763866.lite.1	worldwide	anonymous	gs://sra-pub-zq-103/SRR35763866/SRR35763866.lite.1	gs.us-east1	gcp identity		A/Washington/239/2024	T7542-48hr-OST-NT-13-5	CDC ID PLT	2025-05	USA: Georgia	Mustela putorius furo	Influenza A	ferret	33.79807962 N 84.32742576 W	Pathogen.cl		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/066/SRR35763866/SRR35763866_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/066/SRR35763866/SRR35763866_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/066/SRR35763866/SRR35763866_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/066/SRR35763866/SRR35763866_2.fastq.gz
SRR35763867	SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813160	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7538-mock-NT-4-5	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825020		SAMN52624393	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	97618	9333348	97618	26084593	T7538-mock-NT-4-5_S4_L001_R1_001.fastq.gz	SRR35763867.lite	7005501	2025-10-09 15:57:45	ca92461363e2ff7aa49d7aa503ab19ba	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-9/SRR35763867/SRR35763867.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763867/SRR35763867.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763867/SRR35763867.lite.1	worldwide	anonymous	gs://sra-pub-zq-103/SRR35763867/SRR35763867.lite.1	gs.us-east1	gcp identity		A/Washington/239/2024	T7538-mock-NT-4-5	CDC ID PLT	2025-05	USA: Georgia	Mustela putorius furo	Influenza A	ferret	33.79807962 N 84.32742576 W	Pathogen.cl		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/067/SRR35763867/SRR35763867_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/067/SRR35763867/SRR35763867_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/067/SRR35763867/SRR35763867_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/067/SRR35763867/SRR35763867_2.fastq.gz
SRR35763868	SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813159	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7535-24hr-OST-NT-6-5	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825017		SAMN52624392	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	75238	7432269	75238	20867346	T7535-24hr-OST-NT-6-5_S6_L001_R1_001.fastq.gz	SRR35763868.lite	5589934	2025-10-09 15:57:25	0fe0ab890f7de2508792fa55097c0199	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-9/SRR35763868/SRR35763868.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763868/SRR35763868.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763868/SRR35763868.lite.1	worldwide	anonymous	gs://sra-pub-zq-103/SRR35763868/SRR35763868.lite.1	gs.us-east1	gcp identity		A/Washington/239/2024	T7535-24hr-OST-NT-6-5	CDC ID PLT	2025-05	USA: Georgia	Mustela putorius furo	Influenza A	ferret	33.79807962 N 84.32742576 W	Pathogen.cl		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/068/SRR35763868/SRR35763868_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/068/SRR35763868/SRR35763868_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/068/SRR35763868/SRR35763868_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/068/SRR35763868/SRR35763868_2.fastq.gz
SRR35763869	SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813158	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7535-24hr-OST-LG-6-5	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825015		SAMN52624391	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	69223	6737024	69223	18905752	T7535-24hr-OST-LG-6-5_S23_L001_R1_001.fastq.gz	SRR35763869.lite	5083859	2025-10-09 15:57:26	1210e93c31a6c3aa7b39f2474d0cff99	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-9/SRR35763869/SRR35763869.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763869/SRR35763869.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763869/SRR35763869.lite.1	worldwide	anonymous	gs://sra-pub-zq-103/SRR35763869/SRR35763869.lite.1	gs.us-east1	gcp identity		A/Washington/239/2024	T7535-24hr-OST-LG-6-5	CDC ID PLT	2025-05	USA: Georgia	Mustela putorius furo	Influenza A	ferret	33.79807962 N 84.32742576 W	Pathogen.cl		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/069/SRR35763869/SRR35763869_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/069/SRR35763869/SRR35763869_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/069/SRR35763869/SRR35763869_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/069/SRR35763869/SRR35763869_2.fastq.gz
SRR35763870	SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813157	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7534-48hr-OST-NT-15-5	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825014		SAMN52624390	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	71826	7171168	71826	20140533	T7534-48hr-OST-NT-15-5_S15_L001_R1_001.fastq.gz	SRR35763870.lite	5392506	2025-10-09 15:57:26	037a40d66fe0df44a6e2591a09bb64a2	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-9/SRR35763870/SRR35763870.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763870/SRR35763870.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763870/SRR35763870.lite.1	worldwide	anonymous	gs://sra-pub-zq-103/SRR35763870/SRR35763870.lite.1	gs.us-east1	gcp identity		A/Washington/239/2024	T7534-48hr-OST-NT-15-5	CDC ID PLT	2025-05	USA: Georgia	Mustela putorius furo	Influenza A	ferret	33.79807962 N 84.32742576 W	Pathogen.cl		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/070/SRR35763870/SRR35763870_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/070/SRR35763870/SRR35763870_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/070/SRR35763870/SRR35763870_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/070/SRR35763870/SRR35763870_2.fastq.gz
SRR35763871	SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813156	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7550-mock-NT-3-5	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825016		SAMN52624399	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	85476	8486164	85476	23646927	T7550-mock-NT-3-5_S3_L001_R1_001.fastq.gz	SRR35763871.lite	6329635	2025-10-09 15:57:26	2351cb8124e655062a99e1ef46629648	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-9/SRR35763871/SRR35763871.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763871/SRR35763871.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763871/SRR35763871.lite.1	worldwide	anonymous	gs://sra-pub-zq-103/SRR35763871/SRR35763871.lite.1	gs.us-east1	gcp identity		A/Washington/239/2024	T7550-mock-NT-3-5	CDC ID PLT	2025-05	USA: Georgia	Mustela putorius furo	Influenza A	ferret	33.79807962 N 84.32742576 W	Pathogen.cl		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/071/SRR35763871/SRR35763871_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/071/SRR35763871/SRR35763871_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/071/SRR35763871/SRR35763871_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/071/SRR35763871/SRR35763871_2.fastq.gz
SRR35763872	SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813155	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7545-48hr-OST-NT-14-4	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825018		SAMN52624398	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	77527	7603691	77527	21268792	T7545-48hr-OST-NT-14-4_S14_L001_R1_001.fastq.gz	SRR35763872.lite	5708061	2025-10-09 15:57:26	13fb2d0e7d995258c6dbd10af8321eea	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-9/SRR35763872/SRR35763872.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763872/SRR35763872.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763872/SRR35763872.lite.1	worldwide	anonymous	gs://sra-pub-zq-103/SRR35763872/SRR35763872.lite.1	gs.us-east1	gcp identity		A/Washington/239/2024	T7545-48hr-OST-NT-14-4	CDC ID PLT	2025-05	USA: Georgia	Mustela putorius furo	Influenza A	ferret	33.79807962 N 84.32742576 W	Pathogen.cl		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/072/SRR35763872/SRR35763872_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR357/072/SRR35763872/SRR35763872_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/072/SRR35763872/SRR35763872_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR357/072/SRR35763872/SRR35763872_2.fastq.gz
