Geneid	HISAT2 on dataset 1: aligned reads (BAM)
60	11413
1915	8803
972	5946
3514	5362
2597	5058
71	4036
7114	3437
3936	3284
5315	2937
7178	2790
2023	2729
1938	2728
6124	2500
6191	2281
3939	2147
6175	2105
6122	2060
6194	2009
3312	2003
7805	1995
3512	1947
7184	1888
23521	1855
6772	1762
3309	1715
6367	1696
26986	1605
1937	1532
3326	1525
6130	1430
5230	1409
3320	1400
4512	1396
5216	1371
6189	1359
6125	1330
6176	1305
6187	1262
5552	1261
1982	1245
3662	1233
10399	1200
6134	1200
4869	1196
3181	1142
309	1134
6188	1131
2495	1123
4627	1119
6202	1105
821	1092
4478	1077
226	1076
2512	1073
6228	1050
3921	1039
6135	1039
6143	1035
6138	1021
23048	1001
6128	999
6133	997
7316	980
6129	976
4691	971
7037	965
811	961
6132	953
103	950
6206	946
6137	938
7812	908
4599	907
3945	899
3190	897
6223	896
6205	873
7167	865
6232	858
6229	851
7453	849
1975	848
5757	847
6233	847
10097	834
6210	829
3178	826
6156	826
3117	824
5478	823
4666	815
4673	814
506	813
6154	800
6161	793
3192	780
6157	775
7534	768
498	764
1213	763
