Geneid	HISAT2 on dataset 2: aligned reads (BAM)
60	11476
1915	8912
972	6021
3514	5315
2597	4976
71	3907
7114	3527
3936	3262
5315	2937
1938	2800
7178	2795
2023	2727
6124	2630
6191	2239
6175	2224
3312	2149
6122	2121
3939	2016
7805	1988
23521	1923
6194	1906
3512	1897
7184	1851
6772	1753
6367	1738
3309	1680
1937	1576
3326	1509
26986	1504
6130	1450
6189	1365
4512	1335
6125	1335
3320	1332
5230	1316
6187	1314
6176	1305
5552	1303
6134	1279
5216	1271
1982	1259
309	1190
3662	1181
4869	1178
226	1164
2495	1163
10399	1145
3181	1144
4627	1122
3921	1089
6188	1088
6202	1086
821	1063
4478	1053
6135	1053
6143	1040
2512	1019
23048	1002
6129	1001
6137	997
6205	987
4691	986
9314	986
7316	978
6138	963
6133	957
7037	956
6228	951
811	948
7812	945
6132	934
3945	933
6128	924
4599	914
3190	908
6223	907
6206	894
3117	875
7453	871
6157	860
7167	857
4673	846
6154	846
6229	844
6233	840
103	832
6210	830
5757	823
5478	821
10097	819
3178	814
6232	814
6156	811
506	799
1975	795
4666	785
7534	779
4514	777
1213	774
9045	759
