index	n_counts	means	dispersions	dispersions_norm	highly_variable
HES4	1153.3875	0.5923651	2.0280468	2.771764	True
TNFRSF4	304.35815	0.19333184	1.7607244	2.7464256	True
SSU72	2530.2727	1.0199809	1.2082845	-0.6311602	False
PARK7	7451.664	1.8280776	1.2882609	-0.5447161	False
RBP7	272.81104	0.17494273	1.842789	3.1922846	True
SRM	1951.0789	0.86173284	1.5792639	0.8304463	True
MAD2L2	1020.8233	0.53962463	1.2565832	-0.3644767	False
AGTRAP	1404.1876	0.6851216	1.4272239	0.32923105	True
TNFRSF1B	1449.6646	0.70105714	1.5734763	0.9237927	True
EFHD2	1573.3677	0.7431605	1.385345	0.15898009	False
NECAP2	1534.4016	0.73008853	1.3614013	0.061641622	False
HP1BP3	1054.3053	0.5532105	1.4316989	0.34742332	True
C1QA	3897.893	1.3168184	3.346717	3.6617038	True
C1QB	1635.0765	0.76351905	3.3748822	8.24707	True
HNRNPR	1797.8575	0.8153146	1.246932	-0.47889435	False
GALE	213.10283	0.1391846	1.3985916	0.7789496	True
STMN1	3088.7668	1.1520008	3.1312568	4.56089	True
CD52	21417.799	2.7731483	2.4686983	1.1344111	True
FGR	2599.643	1.0373583	1.6005678	0.41210058	True
ATPIF1	3497.7058	1.2386904	1.3369937	-0.3022925	False
SESN2	49.2828	0.03395296	1.9517651	3.7843537	True
EIF3I	3402.8496	1.2192405	1.1612544	-0.77861744	False
LCK	2711.6377	1.0647924	1.8975526	1.2170502	True
MARCKSL1	1938.9277	0.8581294	1.6759479	1.2113675	True
SFPQ	1220.4169	0.6180102	1.1929533	-0.623152	False
PSMB2	2805.692	1.0872641	1.3127412	-0.36802673	False
MEAF6	1839.3284	0.8280922	1.1290321	-0.9434033	False
NDUFS5	4040.6465	1.3432739	1.2938898	-0.5549113	False
CAP1	5678.3833	1.6052788	1.401082	-0.36955518	False
SMAP2	1028.7045	0.5428391	1.292978	-0.21652035	False
C1orf228	429.61963	0.2631831	1.5636487	1.6757085	True
PRDX1	4306.452	1.3907433	1.5619731	-0.0042539905	False
TMEM69	311.51105	0.1974547	1.2334579	-0.11822576	False
SCP2	2500.6467	1.0124665	1.270636	-0.38550422	False
MAGOH	1341.6316	0.6627786	1.1835726	-0.6612875	False
JAK1	2603.448	1.0383031	1.3615993	-0.23560122	False
CCBL2	303.49985	0.19283594	1.2769966	0.118320964	False
GBP2	1432.4763	0.69506454	1.7354789	1.5823838	True
CD53	7224.3643	1.8021435	1.5143033	-0.24629591	False
DENND2D	806.9616	0.44820207	1.3905954	0.4719842	True
C1orf162	6030.4453	1.6536388	1.7653878	0.2341166	False
RHOC	4945.129	1.4963592	2.3456888	1.6055394	True
CD2	2220.0552	0.93834585	1.7711706	1.5865315	True
RP11-782C8.1	58.21575	0.039985713	1.0367527	-1.1869298	False
TXNIP	5545.99	1.5864698	1.6652005	0.06810152	False
CD160	151.61888	0.100976	1.8312948	3.1298358	True
RP11-277L2.3	94.53952	0.06414834	1.0913894	-0.8900873	False
APH1A	1701.6616	0.78503096	1.2830119	-0.33674473	False
MRPS21	2563.0554	1.0282309	1.2168912	-0.5972511	False
CTSS	13518.608	2.3488436	2.9062674	2.372254	True
MRPL9	1054.8414	0.5534264	1.1553116	-0.7761775	False
S100A10	15272.296	2.459792	2.143976	0.80842143	True
S100A9	6017.6553	1.6519219	2.8362262	2.0085464	True
S100A8	1111.1274	0.5758522	2.3670056	4.149737	True
S100A6	24801.092	2.9112575	2.3005092	0.33003017	True
S100A4	42765.47	3.432979	2.8177972	2.6753483	True
RAB13	147.53033	0.09838269	1.2227702	-0.17629233	False
TPM3	5958.012	1.6438782	1.24845	-0.6224736	False
HAX1	1744.244	0.79854953	1.1908745	-0.6997533	False
PMVK	1791.2605	0.81326646	1.3280654	-0.15924038	False
PBXIP1	822.70416	0.45522434	1.4133914	0.59507376	True
DAP3	1345.1246	0.6640396	1.2007872	-0.591305	False
CCT3	2315.052	0.96405977	1.2291542	-0.54893637	False
SH2D2A	379.22507	0.23566476	1.455911	1.0903673	True
MNDA	2132.8167	0.9141347	1.7823794	1.6306925	True
FCER1A	8126.176	1.9012991	3.3484802	2.1751766	True
TAGLN2	10949.599	2.1602335	1.7525915	-0.22100742	False
LY9	343.81387	0.21586491	1.3841532	0.7005055	True
FCER1G	20091.55	2.7133408	3.1542788	2.2521713	True
SDHC	2052.2192	0.89123356	1.1139603	-1.0027843	False
FCGR3A	11019.047	2.1658292	3.373141	2.1200054	True
FCRLA	405.00568	0.249837	1.7665929	2.7783089	True
CD247	1821.243	0.82254	1.922738	2.1836853	True
CREG1	629.3699	0.3653679	1.2590797	-0.23815231	False
RCSD1	1730.3347	0.79415345	1.2539852	-0.451106	False
XCL2	150.58533	0.10032107	2.1934218	5.097281	True
XCL1	137.74208	0.092146665	1.5306689	1.4965283	True
PRDX6	3004.5334	1.1331717	1.3185611	-0.3522524	False
C1orf21	239.59586	0.1552088	1.2974952	0.22969052	False
TPR	1821.166	0.82251626	1.3221009	-0.18273973	False
PTPRC	4286.5063	1.3872585	1.5292501	-0.07146865	False
PTPN7	538.6131	0.32022977	1.2665317	-0.1979142	False
NUCKS1	1869.3955	0.8372553	1.517022	0.58522195	True
G0S2	571.9829	0.3370641	2.2472136	5.0974064	True
TRAF3IP3	4741.1265	1.4638208	1.5699837	0.012200258	False
NENF	1969.1222	0.86706	1.2239041	-0.569621	False
CAPN2	1212.5359	0.6150284	1.188732	-0.64031297	False
COA6	622.00525	0.36178023	1.1823214	-0.65261865	False
ARID4B	1226.3888	0.6202633	1.3226532	-0.09588169	False
RP11-156E8.1	41.935925	0.028963938	1.1994166	-0.30317286	False
SH3YL1	660.7443	0.38050997	1.4234664	0.6494755	True
ID2	5733.918	1.613064	2.0361483	0.68277955	True
HPCAL1	977.05133	0.52158093	1.2330078	-0.378931	False
RAB10	1169.5156	0.598596	1.5438305	0.80327326	True
OST4	5629.837	1.5984226	1.1943779	-0.7120737	False
PPM1G	1346.3319	0.6644751	1.2808372	-0.26587677	False
LBH	1113.5128	0.576792	1.5505728	0.8306826	True
SRSF7	3485.1748	1.236143	1.4559598	0.020154038	False
ZFP36L2	3390.1501	1.2166085	1.4488703	0.00093862193	False
ERLEC1	557.6844	0.3298855	1.5772609	1.4799086	True
CAPG	3096.3308	1.1536741	1.8326658	1.0411805	True
RNF181	2220.7244	0.9385283	1.1537156	-0.84615386	False
GNLY	11138.426	2.1753747	4.224763	3.3502407	True
CD8A	597.9577	0.3499744	1.7292676	2.300689	True
CD8B	919.94196	0.4975387	1.9612502	3.5533094	True
MAL	622.9477	0.36223993	1.5285761	1.2170291	True
DUSP2	2176.2144	0.92625225	2.00467	2.5064857	True
MGAT4A	507.40656	0.30422625	1.3493372	0.24920505	False
LIMS1	1482.6578	0.71246135	1.5280318	0.7390467	True
IL1B	532.666	0.31719977	1.9746996	3.6259315	True
NIFK	752.9458	0.4237256	1.2917007	-0.0620108	False
GYPC	5445.2427	1.5719166	1.7923553	0.27880305	False
MZT2B	5401.263	1.5654956	1.4101193	-0.35458001	False
CCDC115	1552.9585	0.73633504	1.1700646	-0.716202	False
CXCR4	1929.4581	0.85531205	1.5320507	0.64443296	True
PPIG	1602.0422	0.7526723	1.2928348	-0.21710287	False
SSB	2318.3137	0.964931	1.3107275	-0.22754933	False
WIPF1	978.6412	0.5222419	1.3014517	-0.009359198	False
ITGA4	1268.3009	0.6359355	1.3941753	0.19487806	False
HSPD1	1986.6858	0.872218	1.4262059	0.22741923	False
BZW1	869.1981	0.47568053	1.1360159	-0.9026515	False
NBEAL1	3372.7983	1.2129998	1.1820868	-0.7221531	False
CD28	303.33545	0.19274089	1.4207721	0.89945644	True
AC079767.4	173.68776	0.114859045	1.9045932	3.528068	True
SLC11A1	503.04578	0.30196935	1.5076987	1.1042984	True
SP110	1738.1433	0.79662365	1.3559842	-0.04924419	False
SP140	623.1744	0.36235043	1.2824856	-0.11176903	False
SP100	1811.2367	0.8194546	1.2861525	-0.32437134	False
NCL	2161.781	0.9222381	1.2788682	-0.35307038	False
ARL4C	1824.9814	0.8236898	1.4626949	0.37118077	True
UBE2F	1177.5348	0.6016797	1.3698344	0.095924824	False
OGG1	245.82858	0.1589416	1.2737856	0.10087541	False
MRPS25	771.3808	0.4321469	1.2277564	-0.40728664	False
ACAA1	1702.3373	0.7852466	1.2733787	-0.3746981	False
EXOG	403.2154	0.24885938	1.3777422	0.665674	True
EIF1B	1369.3882	0.6727543	1.2223425	-0.50367594	False
UQCRC1	2213.7583	0.9366173	1.1460615	-0.8763098	False
NDUFAF3	2685.3003	1.0584079	1.3106554	-0.3736801	False
IMPDH2	1640.0001	0.7651255	1.2766781	-0.2827848	False
GPX1	11545.776	2.2072792	2.181781	0.39899108	True
GNAI2	2236.2505	0.9427761	1.30877	-0.23526174	False
MANF	1681.2911	0.778499	2.0154634	2.5490103	True
TEX264	1756.8639	0.8025212	1.2419292	-0.49860492	False
TKT	5319.224	1.5534084	1.5877746	-0.060196742	False
ARL6IP5	4693.6333	1.456092	1.4780449	-0.176647	False
PCNP	1375.5612	0.6749596	1.3498753	0.014784878	False
BBX	985.233	0.5249786	1.337145	0.1833714	False
CD47	2019.8915	0.88189816	1.4062986	0.14898753	False
TIGIT	393.3444	0.24345134	2.1693523	4.9665103	True
COX17	1529.7512	0.7285168	1.3002814	-0.18682992	False
EAF2	1155.3392	0.5931213	2.0038137	2.6732488	True
GATA2	55.81075	0.038365103	1.9853877	3.9670262	True
RAB7A	3072.1587	1.1483164	1.2760776	-0.4673998	False
H1FX	2161.469	0.9221509	1.5719169	0.8015002	True
SELT	2178.9333	0.92700636	1.3375392	-0.121914946	False
SIAH2	878.0571	0.47953096	1.2245265	-0.4247267	False
GPR171	139.21802	0.093089476	1.2976997	0.23080127	False
P2RY13	327.36386	0.206532	1.5760021	1.7428249	True
SSR3	2305.736	0.96156704	1.6629372	1.160107	True
MFSD1	600.6454	0.3513009	1.2247571	-0.4234818	False
SEC62	2097.226	0.90408623	1.3151648	-0.21006688	False
EIF4A2	5374.764	1.5616076	1.4285226	-0.32408488	False
CCDC50	877.5063	0.4792921	1.61364	1.6763424	True
HES1	785.0033	0.43832415	2.0080621	3.8060768	True
ATP5I	2186.5288	0.9291103	1.1180251	-0.98676956	False
SPON2	555.28015	0.32867336	2.1815748	4.7429814	True
LYAR	1041.1713	0.5479032	1.4836733	0.5587156	True
CYTL1	136.3225	0.09123902	2.117286	4.683633	True
MRFAP1	1732.1963	0.7947433	1.3173126	-0.20160487	False
BLOC1S4	1205.2177	0.61225235	1.2621849	-0.34170428	False
BST1	260.91068	0.16791713	1.3563219	0.5492973	True
FGFBP2	1053.169	0.5527524	2.5312648	4.817502	True
MED28	900.5595	0.489246	1.23339	-0.37686732	False
KLF3	995.7002	0.5293084	1.6133178	1.085761	True
SMIM14	1023.40717	0.5406798	1.8145171	1.903699	True
HOPX	1390.7035	0.68034804	2.3096242	3.9164639	True
SPINK2	144.74344	0.09661113	2.1828911	5.040067	True
IGFBP7	1462.501	0.70550925	1.9666255	2.5220668	True
IGJ	6423.996	1.7050666	5.037713	5.6565137	True
CCNI	5074.8267	1.516509	1.4188873	-0.29815984	False
HNRNPDL	5006.201	1.5058979	1.334384	-0.47173405	False
PLAC8	4718.1533	1.4600892	2.3292303	1.5717328	True
HSD17B11	1839.7075	0.8282078	1.3300343	-0.15148334	False
BANK1	518.911	0.31015593	1.9146123	3.301482	True
CCDC109B	2137.7917	0.9155313	1.4340472	0.25831303	False
SNHG8	1896.3853	0.84540945	1.3708388	0.009280634	False
ANXA5	5875.3535	1.6326224	1.5644358	-0.098870225	False
HMGB2	4778.677	1.46989	3.037807	3.0271866	True
SUB1	4794.8784	1.4724976	2.1197238	1.1413953	True
IL7R	1327.3247	0.6575976	1.8608704	2.0921392	True
FYB	2145.7073	0.9177493	1.5382669	0.6689238	True
EMB	689.5122	0.39419502	1.2748755	-0.15286067	False
GZMK	1516.7869	0.7241224	2.7748103	5.807591	True
GZMA	3234.192	1.1836972	2.8146453	3.7027445	True
NSA2	1381.2491	0.67698693	1.2689773	-0.31409097	False
COX7C	7821.8774	1.8689286	1.1736512	-0.69602334	False
GLRX	3973.9087	1.3309933	1.489761	-0.15258145	False
CAMK4	386.55197	0.23971298	1.262522	0.03967996	False
EPB41L4A-AS1	1001.1553	0.5315572	1.2772908	-0.28029382	False
REEP5	3457.886	1.2305721	1.3656358	-0.22466086	False
SNX2	2180.218	0.9273621	1.3686182	0.00053213356	False
IRF1	1132.359	0.58418256	1.4757607	0.5265482	True
SKP1	4352.9814	1.3988264	1.3359758	-0.4684644	False
TXNDC15	627.178	0.3643015	1.3401028	0.19934253	False
H2AFY	4746.726	1.4647276	1.5238638	-0.08253251	False
EGR1	141.24437	0.09438241	1.5279713	1.4818722	True
MZB1	3920.0127	1.3209637	4.058572	5.123892	True
NDUFA2	2867.5972	1.101783	1.2439435	-0.55449647	False
NDFIP1	2256.647	0.948329	1.1694813	-0.7840394	False
CD74	115683.14	4.40754	4.0975533	0.86267745	True
NUDCD2	1016.6962	0.53793734	1.2917017	-0.2217092	False
NPM1	15497.498	2.4731884	1.8218688	0.14762214	False
ATP6V0E1	5912.5474	1.6377032	1.3447876	-0.46283773	False
HIGD2A	8589.442	1.9486543	1.3224388	-0.4995946	False
LMAN2	3298.228	1.1973417	1.426922	-0.058550302	False
F12	40.160225	0.027754378	1.0457892	-1.1378341	False
PRR7	422.8883	0.25955102	1.2617074	0.035254452	False
NHP2	3203.9905	1.1771966	1.3435155	-0.2846157	False
SQSTM1	1570.3676	0.7421596	1.2841141	-0.25255498	False
RNF130	2452.8079	1.0002114	1.6083289	0.9449583	True
SERPINB1	2754.4521	1.0750847	1.5829467	0.3643401	True
SERPINB6	1304.8103	0.64938986	1.3702546	0.097633116	False
LY86	3205.8425	1.1775961	1.6169381	0.45647076	True
ADTRP	123.19879	0.08280883	1.4112036	0.8474708	True
DEK	2710.664	1.0645573	1.5069951	0.15848042	False
SOX4	377.54016	0.23473147	1.5509987	1.6069807	True
FAM65B	1659.4462	0.77144593	1.31667	-0.1202054	False
HIST1H4C	1594.665	0.75023395	2.3089428	3.9136937	True
HIST1H1E	1763.6826	0.80465996	1.4243665	0.22017226	False
ZNRD1	812.4494	0.45065558	1.2485313	-0.29510954	False
LTB	22596.195	2.823445	3.4467075	1.874518	True
LST1	22248.352	2.8088608	3.3310716	1.7187	True
AIF1	25295.443	2.9299295	3.5010066	1.9476854	True
DDAH2	1058.6703	0.5549679	1.4071333	0.24755658	False
CLIC1	15705.031	2.485375	1.5060656	-0.5002445	False
C6orf48	5029.524	1.5095173	1.4937818	-0.1443225	False
HLA-DRA	78961.64	4.0312986	4.1723356	3.33998	True
HLA-DRB5	28561.703	3.045248	3.022369	2.67696	True
HLA-DRB1	56532.24	3.7041667	3.693616	1.6902301	True
HLA-DQA1	22813.24	2.8324409	3.2569625	1.618839	True
HLA-DQB1	14207.76	2.3939226	2.790436	2.134627	True
HLA-DQA2	12576.966	2.2837667	2.6105251	1.0183461	True
HLA-DMB	4940.5557	1.4956416	1.9950151	0.8852372	True
HLA-DMA	7916.9814	1.8791587	2.2134886	0.67676544	True
HLA-DPA1	49766.992	3.5800474	3.6882424	1.6840813	True
HLA-DPB1	52165.562	3.625836	3.8797753	1.9032505	True
HSD17B8	459.76935	0.27929172	1.3434873	0.21761744	False
TAPBP	1533.0985	0.72964823	1.2835766	-0.25474015	False
DAXX	737.87506	0.41678816	1.3010162	-0.011710583	False
CUTA	5006.717	1.5059783	1.4117869	-0.31274432	False
HMGA1	2492.5906	1.0104132	1.574269	0.81076723	True
CCDC167	1362.903	0.67043245	1.5495538	0.82654005	True
CNPY3	3740.6248	1.2868398	1.4445854	-0.24537441	False
MEA1	1477.0815	0.7105428	1.169261	-0.7194689	False
HSP90AB1	5180.432	1.5326208	1.4401026	-0.3048963	False
ELOVL5	983.71356	0.5243482	1.3203714	0.092800245	False
UBE2J1	1666.356	0.77368206	1.9482204	2.4472444	True
PNISR	2614.4905	1.0410389	1.2760508	-0.4674725	False
RP3-467N11.1	47.780396	0.03293476	1.3340464	0.42827362	True
CD164	2100.4802	0.90500915	1.2821183	-0.34026536	False
GTF3C6	1826.2775	0.82408845	1.4061619	0.14844882	False
RWDD1	2293.7043	0.9583385	1.2697508	-0.3889915	False
GOPC	406.49048	0.2506472	1.3030137	0.2596723	False
SAMD3	538.6123	0.32022947	1.3776957	0.40233028	True
DYNLT1	966.5471	0.51720214	1.2874181	-0.08513523	False
SOD2	1605.6411	0.7538594	1.6866374	1.3838279	True
TCP1	1309.0547	0.65094286	1.2508525	-0.387774	False
MRPL18	1597.8734	0.7512948	1.1396636	-0.8397916	False
RNASET2	8373.586	1.9268688	1.5023088	-0.26213098	False
MAD1L1	947.87616	0.509371	1.2616113	-0.22448234	False
CHST12	896.61725	0.4875507	1.3238033	0.11133132	False
EIF2AK1	572.0691	0.33710718	1.210192	-0.502128	False
NDUFA4	7652.6436	1.8504602	1.2214031	-0.6329815	False
TOMM7	6547.075	1.7206202	1.3357115	-0.47787726	False
CPVL	5698.915	1.6081638	2.9324427	2.1679816	True
LSM5	921.8922	0.4983694	1.2508848	-0.2824019	False
SEPT7	3266.3943	1.1905816	1.4823967	0.09180886	False
AOAH	790.91235	0.44099206	1.27013	-0.17848453	False
STK17A	1678.7247	0.7776727	1.6279045	1.1450604	True
COA1	877.66125	0.4793594	1.3569677	0.29040676	False
PPIA	13471.628	2.345695	1.4826548	-0.54827154	False
SNHG15	1108.411	0.57478106	1.18904	-0.6390612	False
UPP1	686.5339	0.39278704	1.5332075	1.2420369	True
CCT6A	1808.3689	0.81856835	1.2212903	-0.579919	False
SBDS	877.47314	0.47927764	1.2417158	-0.331911	False
WBSCR22	1626.0765	0.7605752	1.1209806	-0.91574365	False
EIF4H	1724.7943	0.7923974	1.2513646	-0.4614307	False
LAT2	1128.759	0.5827747	1.3106613	-0.14463234	False
NCF1	1031.7675	0.544086	1.4670893	0.49129626	True
HSPB1	1771.4183	0.807082	1.408345	0.15704985	False
RSBN1L-AS1	52.896793	0.03639801	1.2626675	0.04047076	False
CDK6	147.8416	0.098580346	1.7284827	2.5712557	True
CCDC132	64.6824	0.04433027	1.3441249	0.4830306	True
BRI3	2111.5837	0.90815187	1.7505584	1.5053222	True
PDAP1	1472.1837	0.7088552	1.1902187	-0.63426924	False
ATP5J2	4422.2344	1.4107367	1.1746686	-0.79979795	False
MCM7	448.55038	0.2733279	1.5815387	1.7729051	True
LAMTOR4	7146.7964	1.7931362	1.3275423	-0.492857	False
PILRA	2885.3003	1.1058968	2.1280022	1.8416623	True
ZNHIT1	3252.16	1.1875443	1.1839583	-0.71708065	False
FAM185A	45.662926	0.031497937	1.6508005	2.1492062	False
RINT1	42.186947	0.029134812	1.3933296	0.7503609	False
SYPL1	877.16547	0.47914425	1.4061205	0.555814	True
