fileNames,SampleID,Group
NS.2012.004.UDP0057_i7---UDP0057_i5.1-1_R1.trim.sorted.counts.counts,1-1,Untreated
NS.2012.004.UDP0058_i7---UDP0058_i5.1-2_R1.trim.sorted.counts.counts,1-2,Untreated
NS.2012.004.UDP0059_i7---UDP0059_i5.1-3_R1.trim.sorted.counts.counts,1-3,Untreated
NS.2012.004.UDP0060_i7---UDP0060_i5.2-1_R1.trim.sorted.counts.counts,2-1,Serum_starvation
NS.2012.004.UDP0061_i7---UDP0061_i5.2-2_R1.trim.sorted.counts.counts,2-2,Serum_starvation
NS.2012.004.UDP0062_i7---UDP0062_i5.2-3_R1.trim.sorted.counts.counts,2-3,Serum_starvation
NS.2012.004.UDP0063_i7---UDP0063_i5.3-1_R1.trim.sorted.counts.counts,3-1,DMSO
NS.2012.004.UDP0064_i7---UDP0064_i5.3-2_R1.trim.sorted.counts.counts,3-2,DMSO
NS.2012.004.UDP0065_i7---UDP0065_i5.3-3_R1.trim.sorted.counts.counts,3-3,DMSO
NS.2012.004.UDP0066_i7---UDP0066_i5.4-1_R1.trim.sorted.counts.counts,4-1,DMSO_Serum_starvation
NS.2012.004.UDP0067_i7---UDP0067_i5.4-2_R1.trim.sorted.counts.counts,4-2,DMSO_Serum_starvation
NS.2012.004.UDP0068_i7---UDP0068_i5.4-3_R1.trim.sorted.counts.counts,4-3,DMSO_Serum_starvation
NS.2012.004.UDP0069_i7---UDP0069_i5.5-1_R1.trim.sorted.counts.counts,5-1,Cisplatin_IC50
NS.2012.004.UDP0070_i7---UDP0070_i5.5-2_R1.trim.sorted.counts.counts,5-2,Cisplatin_IC50
NS.2012.004.UDP0071_i7---UDP0071_i5.5-3_R1.trim.sorted.counts.counts,5-3,Cisplatin_IC50
NS.2012.004.UDP0072_i7---UDP0072_i5.6-1_R1.trim.sorted.counts.counts,6-1,Cisplatin_IC50_Serum_starvation_16h
NS.2012.004.UDP0073_i7---UDP0073_i5.6-2_R1.trim.sorted.counts.counts,6-2,Cisplatin_IC50_Serum_starvation_16h
NS.2012.004.UDP0074_i7---UDP0074_i5.6-3_R1.trim.sorted.counts.counts,6-3,Cisplatin_IC50_Serum_starvation_16h
NS.2012.004.UDP0075_i7---UDP0075_i5.7-1_R1.trim.sorted.counts.counts,7-1,CBD_IC50
NS.2012.004.UDP0076_i7---UDP0076_i5.7-2_R1.trim.sorted.counts.counts,7-2,CBD_IC50
NS.2012.004.UDP0077_i7---UDP0077_i5.7-3_R1.trim.sorted.counts.counts,7-3,CBD_IC50
NS.2012.004.UDP0078_i7---UDP0078_i5.8-1_R1.trim.sorted.counts.counts,8-1,CBD_IC50_Serum_starvation_16h
NS.2012.004.UDP0079_i7---UDP0079_i5.8-2_R1.trim.sorted.counts.counts,8-2,CBD_IC50_Serum_starvation_16h
NS.2012.004.UDP0080_i7---UDP0080_i5.8-3_R1.trim.sorted.counts.counts,8-3,CBD_IC50_Serum_starvation_16h
NS.2012.004.UDP0081_i7---UDP0081_i5.9-1_R1.trim.sorted.counts.counts,9-1,Cisplatin_IC50_CBD_IC50
NS.2012.004.UDP0082_i7---UDP0082_i5.9-2_R1.trim.sorted.counts.counts,9-2,Cisplatin_IC50_CBD_IC50
NS.2012.004.UDP0083_i7---UDP0083_i5.9-3_R1.trim.sorted.counts.counts,9-3,Cisplatin_IC50_CBD_IC50
NS.2012.004.UDP0084_i7---UDP0084_i5.10-1_R1.trim.sorted.counts.counts,10-1,Cisplatin_IC50_CBD_IC50_Serum_starvation_16h
NS.2012.004.UDP0085_i7---UDP0085_i5.10-2_R1.trim.sorted.counts.counts,10-2,Cisplatin_IC50_CBD_IC50_Serum_starvation_16h
NS.2012.004.UDP0086_i7---UDP0086_i5.10-3_R1.trim.sorted.counts.counts,10-3,Cisplatin_IC50_CBD_IC50_Serum_starvation_16h
