section	key	value
bootstrap	median_ari	1.0
bootstrap	exact_recovery_fraction	1.0
bootstrap	support	"{""donor1"": 1.0, ""donor10"": 0.0, ""donor11"": 1.0, ""donor12"": 1.0, ""donor13"": 0.0, ""donor14"": 0.0, ""donor15"": 0.0, ""donor16"": 0.0, ""donor17"": 1.0, ""donor18"": 0.0, ""donor19"": 0.0, ""donor2"": 0.0, ""donor20"": 0.0, ""donor21"": 1.0, ""donor22"": 0.0, ""donor23"": 0.0, ""donor24"": 1.0, ""donor25"": 0.0, ""donor26"": 0.0, ""donor27"": 1.0, ""donor28"": 0.0, ""donor29"": 1.0, ""donor3"": 0.0, ""donor30"": 0.0, ""donor31"": 0.0, ""donor32"": 1.0, ""donor33"": 0.0, ""donor4"": 0.0, ""donor5"": 1.0, ""donor6"": 0.0, ""donor7"": 0.0, ""donor8"": 0.0, ""donor9"": 0.0}"
lineage_cluster	T	"{""agg_ari"": -0.0016933207902163688, ""agg_candidate_cluster"": [""donor4"", ""donor5"", ""donor6"", ""donor7"", ""donor8"", ""donor9"", ""donor10"", ""donor11"", ""donor12"", ""donor13"", ""donor14"", ""donor15"", ""donor16"", ""donor17"", ""donor18"", ""donor19"", ""donor20"", ""donor21"", ""donor22"", ""donor23"", ""donor24"", ""donor25"", ""donor26"", ""donor27"", ""donor28"", ""donor29"", ""donor30"", ""donor31"", ""donor32"", ""donor33""], ""candidate_split_silhouette"": 0.2587466764404083, ""kmeans_ari"": 0.6584243818286372, ""kmeans_candidate_cluster"": [""donor1"", ""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor18"", ""donor19"", ""donor21"", ""donor24"", ""donor27"", ""donor29"", ""donor32"", ""donor33""], ""n_cells"": 102303}"
lineage_cluster	NK	"{""agg_ari"": 0.8758815232722144, ""agg_candidate_cluster"": [""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor21"", ""donor24"", ""donor27"", ""donor29"", ""donor32""], ""candidate_split_silhouette"": 0.3559084409501396, ""kmeans_ari"": 1.0, ""kmeans_candidate_cluster"": [""donor1"", ""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor21"", ""donor24"", ""donor27"", ""donor29"", ""donor32""], ""n_cells"": 59343}"
lineage_cluster	B	"{""agg_ari"": 0.8774728781110402, ""agg_candidate_cluster"": [""donor1"", ""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor21"", ""donor24"", ""donor25"", ""donor27"", ""donor29"", ""donor32""], ""candidate_split_silhouette"": 0.485594219083186, ""kmeans_ari"": 0.7637686179425008, ""kmeans_candidate_cluster"": [""donor1"", ""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor18"", ""donor21"", ""donor24"", ""donor25"", ""donor27"", ""donor29"", ""donor32""], ""n_cells"": 29423}"
lineage_cluster	Mono	"{""agg_ari"": 1.0, ""agg_candidate_cluster"": [""donor1"", ""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor21"", ""donor24"", ""donor27"", ""donor29"", ""donor32""], ""candidate_split_silhouette"": 0.3871767560540647, ""kmeans_ari"": 1.0, ""kmeans_candidate_cluster"": [""donor1"", ""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor21"", ""donor24"", ""donor27"", ""donor29"", ""donor32""], ""n_cells"": 88564}"
heldout_program	immature_myeloid	"{""candidate_mean"": 1.1496364313068803, ""genes_present"": [""CAMP"", ""MPO"", ""BPI"", ""ELANE"", ""RETN""], ""other_mean"": 1.5904058992838213, ""p"": 0.0017253314966973817, ""rank_sum_z"": -3.1338429869742477}"
heldout_program	emergency_myeloid	"{""candidate_mean"": 2.510657397014847, ""genes_present"": [""FCGR1A"", ""S100A12"", ""ADM"", ""RNASE2"", ""HP"", ""SOCS3""], ""other_mean"": 4.248218014017677, ""p"": 6.64044262658231e-06, ""rank_sum_z"": -4.504899293775481}"
heldout_program	cycling	"{""candidate_mean"": 1.7503706231625369, ""genes_present"": [""CDC20"", ""RRM2"", ""CCNA2"", ""MKI67"", ""PLK1"", ""BIRC5"", ""TYMS"", ""UBE2C""], ""other_mean"": 3.2905215415409934, ""p"": 6.64044262658231e-06, ""rank_sum_z"": -4.504899293775481}"
heldout_program	plasmablast	"{""candidate_mean"": 3.3953234948607536, ""genes_present"": [""SDC1"", ""JCHAIN"", ""MZB1"", ""TNFRSF17"", ""DERL3"", ""XBP1""], ""other_mean"": 4.24088350702301, ""p"": 2.3297759951072144e-05, ""rank_sum_z"": -4.230688032415235}"
heldout_program	dendritic_health	"{""candidate_mean"": 3.048600486848182, ""genes_present"": [""CD1C"", ""FCER1A"", ""DNASE1L3"", ""CLEC4C"", ""CLEC10A"", ""LILRA4""], ""other_mean"": 1.8360025789190169, ""p"": 1.3725493820025253e-05, ""rank_sum_z"": 4.348207144426769}"
acceptance	candidate	"[""donor1"", ""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor21"", ""donor24"", ""donor27"", ""donor29"", ""donor32""]"
acceptance	inside_min_bootstrap_support	1.0
acceptance	outside_max_bootstrap_support	0.0
acceptance	passed	True
