section	key	value
data	shape	[279633, 12984]
data	x_min_max	[1.0, 22287.0]
data	sample_integer_fraction	1.0
data	mapped_marker_examples	"{""CD3D"": 1, ""IFI27"": 1, ""ISG15"": 1, ""LST1"": 1, ""MS4A1"": 1, ""MX1"": 1, ""NKG7"": 1, ""PPBP"": 1}"
silhouette_all	2	0.33182388110194716
clusters_k2	members	"{""0"": [""donor1"", ""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor21"", ""donor24"", ""donor27"", ""donor29"", ""donor32""], ""1"": [""donor2"", ""donor3"", ""donor4"", ""donor6"", ""donor7"", ""donor8"", ""donor9"", ""donor10"", ""donor13"", ""donor14"", ""donor15"", ""donor16"", ""donor18"", ""donor19"", ""donor20"", ""donor22"", ""donor23"", ""donor25"", ""donor26"", ""donor28"", ""donor30"", ""donor31"", ""donor33""]}"
silhouette_all	3	0.29551444090820955
clusters_k3	members	"{""0"": [""donor2"", ""donor3"", ""donor4"", ""donor7"", ""donor9"", ""donor13"", ""donor14"", ""donor18"", ""donor20"", ""donor25"", ""donor26"", ""donor28"", ""donor30"", ""donor31"", ""donor33""], ""1"": [""donor1"", ""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor21"", ""donor24"", ""donor27"", ""donor29"", ""donor32""], ""2"": [""donor6"", ""donor8"", ""donor10"", ""donor15"", ""donor16"", ""donor19"", ""donor22"", ""donor23""]}"
silhouette_all	4	0.2891850267205989
clusters_k4	members	"{""0"": [""donor1"", ""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor21"", ""donor24"", ""donor27"", ""donor29"", ""donor32""], ""1"": [""donor2"", ""donor3"", ""donor4"", ""donor7"", ""donor9"", ""donor13"", ""donor14"", ""donor18"", ""donor20"", ""donor25"", ""donor26"", ""donor28"", ""donor31"", ""donor33""], ""2"": [""donor6"", ""donor8"", ""donor10"", ""donor15"", ""donor16"", ""donor19"", ""donor22"", ""donor23""], ""3"": [""donor30""]}"
silhouette_all	5	0.301619968248374
clusters_k5	members	"{""0"": [""donor2"", ""donor3"", ""donor4"", ""donor7"", ""donor9"", ""donor13"", ""donor20"", ""donor25"", ""donor28"", ""donor31""], ""1"": [""donor1"", ""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor21"", ""donor24"", ""donor27"", ""donor29"", ""donor32""], ""2"": [""donor6"", ""donor8"", ""donor10"", ""donor15"", ""donor16"", ""donor19"", ""donor22"", ""donor23""], ""3"": [""donor14"", ""donor18"", ""donor26"", ""donor33""], ""4"": [""donor30""]}"
