section	key	value
shape	n_obs	279633
shape	n_vars	12984
structure	obs_columns	"[""donor_id""]"
structure	var_columns	"[""feature_types"", ""feature_is_filtered"", ""feature_name"", ""feature_reference"", ""feature_biotype"", ""feature_length"", ""feature_type""]"
structure	layers	[]
structure	obsm	[]
structure	uns	[]
structure	raw_present	False
structure	x_type	csr_matrix
obs	donor_id.dtype	category
obs	donor_id.nunique	33
obs_values	donor_id	"{""donor1"": 11264, ""donor10"": 14101, ""donor11"": 5942, ""donor12"": 8704, ""donor13"": 5756, ""donor14"": 15886, ""donor15"": 5857, ""donor16"": 6108, ""donor17"": 8626, ""donor18"": 7557, ""donor19"": 7523, ""donor2"": 10595, ""donor20"": 5868, ""donor21"": 9332, ""donor22"": 5492, ""donor23"": 5762, ""donor24"": 7828, ""donor25"": 6916, ""donor26"": 10801, ""donor27"": 8364, ""donor28"": 6157, ""donor29"": 10745, ""donor3"": 11327, ""donor30"": 5185, ""donor31"": 5851, ""donor32"": 7848, ""donor33"": 5159, ""donor4"": 17134, ""donor5"": 11067, ""donor6"": 6663, ""donor7"": 8490, ""donor8"": 7888, ""donor9"": 7837}"
structure	candidate_donor_columns	"[""donor_id""]"
genes	present_markers	[]
chosen	donor_col	donor_id
chosen	donor_counts	"{""donor1"": 11264, ""donor10"": 14101, ""donor11"": 5942, ""donor12"": 8704, ""donor13"": 5756, ""donor14"": 15886, ""donor15"": 5857, ""donor16"": 6108, ""donor17"": 8626, ""donor18"": 7557, ""donor19"": 7523, ""donor2"": 10595, ""donor20"": 5868, ""donor21"": 9332, ""donor22"": 5492, ""donor23"": 5762, ""donor24"": 7828, ""donor25"": 6916, ""donor26"": 10801, ""donor27"": 8364, ""donor28"": 6157, ""donor29"": 10745, ""donor3"": 11327, ""donor30"": 5185, ""donor31"": 5851, ""donor32"": 7848, ""donor33"": 5159, ""donor4"": 17134, ""donor5"": 11067, ""donor6"": 6663, ""donor7"": 8490, ""donor8"": 7888, ""donor9"": 7837}"
donor_marker_summary	donor1	"{""n_cells"": 11264}"
donor_marker_summary	donor10	"{""n_cells"": 14101}"
donor_marker_summary	donor11	"{""n_cells"": 5942}"
donor_marker_summary	donor12	"{""n_cells"": 8704}"
donor_marker_summary	donor13	"{""n_cells"": 5756}"
donor_marker_summary	donor14	"{""n_cells"": 15886}"
donor_marker_summary	donor15	"{""n_cells"": 5857}"
donor_marker_summary	donor16	"{""n_cells"": 6108}"
donor_marker_summary	donor17	"{""n_cells"": 8626}"
donor_marker_summary	donor18	"{""n_cells"": 7557}"
donor_marker_summary	donor19	"{""n_cells"": 7523}"
donor_marker_summary	donor2	"{""n_cells"": 10595}"
donor_marker_summary	donor20	"{""n_cells"": 5868}"
donor_marker_summary	donor21	"{""n_cells"": 9332}"
donor_marker_summary	donor22	"{""n_cells"": 5492}"
donor_marker_summary	donor23	"{""n_cells"": 5762}"
donor_marker_summary	donor24	"{""n_cells"": 7828}"
donor_marker_summary	donor25	"{""n_cells"": 6916}"
donor_marker_summary	donor26	"{""n_cells"": 10801}"
donor_marker_summary	donor27	"{""n_cells"": 8364}"
donor_marker_summary	donor28	"{""n_cells"": 6157}"
donor_marker_summary	donor29	"{""n_cells"": 10745}"
donor_marker_summary	donor3	"{""n_cells"": 11327}"
donor_marker_summary	donor30	"{""n_cells"": 5185}"
donor_marker_summary	donor31	"{""n_cells"": 5851}"
donor_marker_summary	donor32	"{""n_cells"": 7848}"
donor_marker_summary	donor33	"{""n_cells"": 5159}"
donor_marker_summary	donor4	"{""n_cells"": 17134}"
donor_marker_summary	donor5	"{""n_cells"": 11067}"
donor_marker_summary	donor6	"{""n_cells"": 6663}"
donor_marker_summary	donor7	"{""n_cells"": 8490}"
donor_marker_summary	donor8	"{""n_cells"": 7888}"
donor_marker_summary	donor9	"{""n_cells"": 7837}"
