metric	value
experiment	ENCSR060BFU
files	ENCFF073UNC,ENCFF470NYT
bam_sizes	ENCFF073UNC:1803659151,ENCFF470NYT:1846812640
per_file_mapq30_alignments	ENCFF073UNC:33625019,ENCFF470NYT:33625095
mapq30_alignments_seen	67250114
skipped_chrom_alignments	285801
skipped_cigar_alignments	0
rows	308837
total_bin_count	67486478
nonzero_target	283912
nonzero_candidate	283369
exact_3_decimal_bins	23133
within_0.001_bins	23305
mean_abs_diff	2.26558318466
rmse	6.27793160206
max_abs_diff	176.274
max_abs_diff_bin	chr19:5900000-5910000
