rank	experiment	n_files	sum_flag_total	sum_stats_reads_mapped	file_accessions	bio_reps	flag_totals	stats_reads_mapped	stats_reads_mq0	file_sizes	asv_names	hrefs
1	ENCSR965ZWZ	1	38066036	38066036	ENCFF486BSP	1	38066036	38066036	0	1764795449	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF486BSP/@@download/ENCFF486BSP.bam
2	ENCSR467LJT	1	37827340	37827340	ENCFF252KIH	1	37827340	37827340	0	1701684149	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF252KIH/@@download/ENCFF252KIH.bam
3	ENCSR956NOL	2	38482836	38482815	ENCFF035VAD,ENCFF044YTH	1,1	19273374,19209462	19273353,19209462	0,0	822901624,811533774	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF035VAD/@@download/ENCFF035VAD.bam,https://www.encodeproject.org/files/ENCFF044YTH/@@download/ENCFF044YTH.bam
4	ENCSR772HUG	2	38778668	38778612	ENCFF090XBQ,ENCFF777VGM	1,1	19313887,19464781	19313887,19464725	0,0	835977630,850941093	dnase-alignment-filtering-step-v-1-0,dnase-filter-se-step-v-2-0	https://www.encodeproject.org/files/ENCFF090XBQ/@@download/ENCFF090XBQ.bam,https://www.encodeproject.org/files/ENCFF777VGM/@@download/ENCFF777VGM.bam
5	ENCSR715TMH	1	39037420	39037420	ENCFF423ZPD	1	39037420	39037420	0	1601083212	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF423ZPD/@@download/ENCFF423ZPD.bam
6	ENCSR219KTW	1	39135530	39135530	ENCFF272CLG	1	39135530	39135530	0	1713761736	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF272CLG/@@download/ENCFF272CLG.bam
7	ENCSR531AYV	1	39140288	39140288	ENCFF145NLF	1	39140288	39140288	0	1786774123	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF145NLF/@@download/ENCFF145NLF.bam
8	ENCSR354FBA	2	39179337	39179239	ENCFF392DVR,ENCFF525BED	1,1	19738198,19441139	19738100,19441139	0,0	956067039,937459093	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF392DVR/@@download/ENCFF392DVR.bam,https://www.encodeproject.org/files/ENCFF525BED/@@download/ENCFF525BED.bam
9	ENCSR744UQK	1	39304544	39304544	ENCFF475JUX	1	39304544	39304544	0	1703192991	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF475JUX/@@download/ENCFF475JUX.bam
10	ENCSR000EMM	2	39359645	39359601	ENCFF252OHE,ENCFF894ZVE	1,1	19615721,19743924	19615721,19743880	0,0	959367784,972423871	dnase-alignment-filtering-step-v-1-0,dnase-filter-se-step-v-2-0	https://www.encodeproject.org/files/ENCFF252OHE/@@download/ENCFF252OHE.bam,https://www.encodeproject.org/files/ENCFF894ZVE/@@download/ENCFF894ZVE.bam
11	ENCSR642DZF	1	39470022	39470022	ENCFF608NVR	1	39470022	39470022	0	1558792152	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF608NVR/@@download/ENCFF608NVR.bam
