rank	experiment	n_files	sum_flag_total	sum_stats_reads_mapped	analyses	files	bio_reps	flag_totals	mq0	sizes	hrefs	s3
1	ENCSR000EPK	1	76326299	76326299	ENCAN204MPS	ENCFF254VNR	2	76326299	0	2958701621	https://www.encodeproject.org/files/ENCFF254VNR/@@download/ENCFF254VNR.bam	https://encode-public.s3.amazonaws.com/2020/11/12/d49d5f77-ba07-4364-916a-55a89256baa6/ENCFF254VNR.bam
2	ENCSR000EQL	2	76217668	76217668	ENCAN750VNN,ENCAN750VNN	ENCFF505BXT,ENCFF816ZVF	1,2	32841712,43375956	0,0	1344083364,1952691735	https://www.encodeproject.org/files/ENCFF505BXT/@@download/ENCFF505BXT.bam,https://www.encodeproject.org/files/ENCFF816ZVF/@@download/ENCFF816ZVF.bam	https://encode-public.s3.amazonaws.com/2020/11/12/b5685230-bef4-421d-b81b-656b05e15981/ENCFF505BXT.bam,https://encode-public.s3.amazonaws.com/2020/11/12/d750e99d-ce77-4adb-b438-0351873696e0/ENCFF816ZVF.bam
3	ENCSR420HOT	1	76608288	76608288	ENCAN071CDF	ENCFF425CQF	1	76608288	0	3472778686	https://www.encodeproject.org/files/ENCFF425CQF/@@download/ENCFF425CQF.bam	https://encode-public.s3.amazonaws.com/2020/09/24/59c17cbd-730b-4af7-b895-ae94aa91e9ab/ENCFF425CQF.bam
4	ENCSR385AMY	1	77622158	77622158	ENCAN093DOE	ENCFF609ONB	1	77622158	0	2955725104	https://www.encodeproject.org/files/ENCFF609ONB/@@download/ENCFF609ONB.bam	https://encode-public.s3.amazonaws.com/2020/11/16/40f38968-fda1-4440-b1b0-c55a8e74839a/ENCFF609ONB.bam
5	ENCSR597URK	1	78558518	78558518	ENCAN981QZM	ENCFF051GHB	1	78558518	0	3462040222	https://www.encodeproject.org/files/ENCFF051GHB/@@download/ENCFF051GHB.bam	https://encode-public.s3.amazonaws.com/2020/09/24/c03fb079-e5dd-426d-8f96-e3178e3f8030/ENCFF051GHB.bam
6	ENCSR531UVE	1	78570568	78570568	ENCAN611JRE	ENCFF300YHK	1	78570568	0	3745213670	https://www.encodeproject.org/files/ENCFF300YHK/@@download/ENCFF300YHK.bam	https://encode-public.s3.amazonaws.com/2020/09/22/2cdda70c-2bee-4d66-9d45-f09fdaa38bbf/ENCFF300YHK.bam
7	ENCSR296TFH	1	78670480	78670480	ENCAN870ZML	ENCFF199RZW	1	78670480	0	2949064045	https://www.encodeproject.org/files/ENCFF199RZW/@@download/ENCFF199RZW.bam	https://encode-public.s3.amazonaws.com/2020/10/03/33b074d5-af22-4664-9d27-d1d8494e8199/ENCFF199RZW.bam
8	ENCSR000EQE	2	73827151	73827151	ENCAN364MSW,ENCAN364MSW	ENCFF210NAE,ENCFF843XXF	1,2	53784618,20042533	0,0	2726768960,961766964	https://www.encodeproject.org/files/ENCFF210NAE/@@download/ENCFF210NAE.bam,https://www.encodeproject.org/files/ENCFF843XXF/@@download/ENCFF843XXF.bam	https://encode-public.s3.amazonaws.com/2020/11/12/2a5dbb4c-3b29-4c1e-9cf7-126483bc3d6a/ENCFF210NAE.bam,https://encode-public.s3.amazonaws.com/2020/11/12/f8bba701-9b91-40f0-a920-63210cf17eaa/ENCFF843XXF.bam
9	ENCSR058ELM	1	79041522	79041522	ENCAN712YGD	ENCFF663ZYE	1	79041522	0	2975879996	https://www.encodeproject.org/files/ENCFF663ZYE/@@download/ENCFF663ZYE.bam	https://encode-public.s3.amazonaws.com/2020/09/25/1d6363ba-a31a-4d66-979f-7303ebce6f23/ENCFF663ZYE.bam
10	ENCSR173BJC	1	73373814	73373814	ENCAN723HWA	ENCFF642YUG	1	73373814	0	3300225183	https://www.encodeproject.org/files/ENCFF642YUG/@@download/ENCFF642YUG.bam	https://encode-public.s3.amazonaws.com/2020/10/04/24320c91-b668-4e7e-a60e-f3af874d531c/ENCFF642YUG.bam
