bioproject	run_accession	study_accession	experiment_accession	sample_accession	biosample	organism_taxid	organism_name	library_strategy	library_source	library_selection	library_layout	instrument_model	run_total_spots	run_total_bases	release_date	load_date	spots_with_mates	average_read_length	size_mb	sra_download_path	library_name	platform	sample_type	sample_name	center_name	submission	consent	run_hash	read_hash
PRJNA1339024	SRR35763863	SRP630949	SRX30813164	SRS26825019	SAMN52624397	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	79346	21133174	2025-10-31 03:15:20	2025-10-09 13:22:55	79346	266	7	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763863/SRR35763863.lite.1	T7544-mock-NT-2-4	ILLUMINA	simple	T7544-mock-NT-2-4	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	public	91F304DCBC5B52BCC972146E9825D80C	4863357BD2A252F65216BD154B6C4730
PRJNA1339024	SRR35763864	SRP630949	SRX30813163	SRS26825021	SAMN52624396	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	63845	17520803	2025-10-31 03:15:20	2025-10-09 13:23:05	63845	274	6	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763864/SRR35763864.lite.1	T7544-mock-LG-2-4	ILLUMINA	simple	T7544-mock-LG-2-4	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	public	96C7F8A3A7F26F0924DA71078A49C0AD	7855124B34CA6EE86C6783193B46B218
PRJNA1339024	SRR35763865	SRP630949	SRX30813162	SRS26825022	SAMN52624395	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	87173	23623090	2025-10-31 03:15:20	2025-10-09 13:22:54	87173	270	8	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763865/SRR35763865.lite.1	T7543-24hr-OST-NT-7-4	ILLUMINA	simple	T7543-24hr-OST-NT-7-4	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	public	58C44C7FAFC332524C4B484287A0F1ED	676EE22DE83B613F9B6FDF33DE533C97
PRJNA1339024	SRR35763866	SRP630949	SRX30813161	SRS26825023	SAMN52624394	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	100257	27559454	2025-10-31 03:15:20	2025-10-09 13:23:07	100257	274	9	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763866/SRR35763866.lite.1	T7542-48hr-OST-NT-13-5	ILLUMINA	simple	T7542-48hr-OST-NT-13-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	public	3B19158C2F5B47548DD5E8B938E2B6C8	71D65B1BF0FF46B628F7AD8C2BD5041A
PRJNA1339024	SRR35763867	SRP630949	SRX30813160	SRS26825020	SAMN52624393	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	97618	26084593	2025-10-31 03:15:22	2025-10-09 13:23:18	97618	267	8	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763867/SRR35763867.lite.1	T7538-mock-NT-4-5	ILLUMINA	simple	T7538-mock-NT-4-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	public	013CCBCDE0DAD8340CD86104F096A16F	747346731F29462B430B0B433C197B90
PRJNA1339024	SRR35763868	SRP630949	SRX30813159	SRS26825017	SAMN52624392	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	75238	20867346	2025-10-31 03:15:19	2025-10-09 13:23:08	75238	277	7	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763868/SRR35763868.lite.1	T7535-24hr-OST-NT-6-5	ILLUMINA	simple	T7535-24hr-OST-NT-6-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	public	6358A4140BB810F3A05FCD376A5CD93E	4659F035AE2BB09EBA2AE87C7457850D
PRJNA1339024	SRR35763869	SRP630949	SRX30813158	SRS26825015	SAMN52624391	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	69223	18905752	2025-10-31 03:15:19	2025-10-09 13:23:20	69223	273	6	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763869/SRR35763869.lite.1	T7535-24hr-OST-LG-6-5	ILLUMINA	simple	T7535-24hr-OST-LG-6-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	public	040EF577853EC5ACE41E1BD7E128F72A	433B4B5269F360D104F6D7ADCB830F8E
PRJNA1339024	SRR35763870	SRP630949	SRX30813157	SRS26825014	SAMN52624390	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	71826	20140533	2025-10-31 03:15:19	2025-10-09 13:23:07	71826	280	6	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763870/SRR35763870.lite.1	T7534-48hr-OST-NT-15-5	ILLUMINA	simple	T7534-48hr-OST-NT-15-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	public	81FE67661DD0C89346BD721B6E88FD7F	99DC452F6871DE18110C8A4352E00FA1
PRJNA1339024	SRR35763871	SRP630949	SRX30813156	SRS26825016	SAMN52624399	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	85476	23646927	2025-10-31 03:15:21	2025-10-09 13:23:24	85476	276	8	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763871/SRR35763871.lite.1	T7550-mock-NT-3-5	ILLUMINA	simple	T7550-mock-NT-3-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	public	5FBED59555C2E1ECB8A422D622812088	7358E0C416E727F16F3F764A7D0E6322
PRJNA1339024	SRR35763872	SRP630949	SRX30813155	SRS26825018	SAMN52624398	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	77527	21268792	2025-10-31 03:15:20	2025-10-09 13:23:39	77527	274	7	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763872/SRR35763872.lite.1	T7545-48hr-OST-NT-14-4	ILLUMINA	simple	T7545-48hr-OST-NT-14-4	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	public	DB4A8599FD6C8A5AF7438C2D6CF657BA	8D43324C09C7FC9B5FF14BE9056E454E
PRJNA1339024	SRR35763873	SRP630949	SRX30813154	SRS26825013	SAMN52624389	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	96090	25910706	2025-10-31 03:15:19	2025-10-09 13:23:17	96090	269	8	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763873/SRR35763873.lite.1	T7533-mock-NT-1-5	ILLUMINA	simple	T7533-mock-NT-1-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	public	62C0C3C12E4D7A6877F589406E98F4CA	2BEC628529F5DC9D802868497E3638B8
PRJNA1339024	SRR35763874	SRP630949	SRX30813153	SRS26825012	SAMN52624388	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	91086	25378645	2025-10-31 03:15:19	2025-10-09 13:23:06	91086	278	8	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR035/35763/SRR35763874/SRR35763874.lite.1	T7533-mock-LG-1-5	ILLUMINA	simple	T7533-mock-LG-1-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	public	8975E9BF3A331A707309856A801E7E80	7E7D331E2E7DBB4B8F10141AAE7FD788
