group	gene	member	evo_rate
animals	1003258at2759	1003258at2759.faa.mafft.clipkit.treefile	0.7796
animals	100698at2759	100698at2759.faa.mafft.clipkit.treefile	0.2352
animals	1010730at2759	1010730at2759.faa.mafft.clipkit.treefile	0.6406
animals	1014314at2759	1014314at2759.faa.mafft.clipkit.treefile	0.3108
animals	1018517at2759	1018517at2759.faa.mafft.clipkit.treefile	0.2826
animals	1019762at2759	1019762at2759.faa.mafft.clipkit.treefile	0.611
animals	1038775at2759	1038775at2759.faa.mafft.clipkit.treefile	0.4152
animals	1041560at2759	1041560at2759.faa.mafft.clipkit.treefile	0.4011
animals	1065019at2759	1065019at2759.faa.mafft.clipkit.treefile	0.5413
animals	1079827at2759	1079827at2759.faa.mafft.clipkit.treefile	0.1234
animals	1094121at2759	1094121at2759.faa.mafft.clipkit.treefile	0.3762
animals	1096688at2759	1096688at2759.faa.mafft.clipkit.treefile	0.3596
animals	1112002at2759	1112002at2759.faa.mafft.clipkit.treefile	0.5405
animals	1129824at2759	1129824at2759.faa.mafft.clipkit.treefile	0.6295
animals	1138059at2759	1138059at2759.faa.mafft.clipkit.treefile	0.308
animals	1157302at2759	1157302at2759.faa.mafft.clipkit.treefile	0.1653
animals	1161199at2759	1161199at2759.faa.mafft.clipkit.treefile	0.5114
animals	1173229at2759	1173229at2759.faa.mafft.clipkit.treefile	0.667
animals	1193442at2759	1193442at2759.faa.mafft.clipkit.treefile	0.4222
animals	1194691at2759	1194691at2759.faa.mafft.clipkit.treefile	0.2947
animals	1200489at2759	1200489at2759.faa.mafft.clipkit.treefile	0.6317
animals	1217666at2759	1217666at2759.faa.mafft.clipkit.treefile	0.2363
animals	1249159at2759	1249159at2759.faa.mafft.clipkit.treefile	0.4045
animals	1251252at2759	1251252at2759.faa.mafft.clipkit.treefile	0.4104
animals	1260807at2759	1260807at2759.faa.mafft.clipkit.treefile	0.5344
animals	1264469at2759	1264469at2759.faa.mafft.clipkit.treefile	0.7451
animals	1269244at2759	1269244at2759.faa.mafft.clipkit.treefile	0.5805
animals	1269649at2759	1269649at2759.faa.mafft.clipkit.treefile	0.2824
animals	1284731at2759	1284731at2759.faa.mafft.clipkit.treefile	0.536
animals	1287094at2759	1287094at2759.faa.mafft.clipkit.treefile	0.4898
animals	1287401at2759	1287401at2759.faa.mafft.clipkit.treefile	0.2028
animals	1291729at2759	1291729at2759.faa.mafft.clipkit.treefile	0.6487
animals	1304061at2759	1304061at2759.faa.mafft.clipkit.treefile	0.2106
animals	1338131at2759	1338131at2759.faa.mafft.clipkit.treefile	0.1919
animals	1342242at2759	1342242at2759.faa.mafft.clipkit.treefile	0.8363
animals	1346165at2759	1346165at2759.faa.mafft.clipkit.treefile	0.7223
animals	1346432at2759	1346432at2759.faa.mafft.clipkit.treefile	0.526
animals	1355894at2759	1355894at2759.faa.mafft.clipkit.treefile	0.1935
animals	1358374at2759	1358374at2759.faa.mafft.clipkit.treefile	0.4417
animals	1364586at2759	1364586at2759.faa.mafft.clipkit.treefile	0.5998
animals	1370285at2759	1370285at2759.faa.mafft.clipkit.treefile	0.6442
animals	1379600at2759	1379600at2759.faa.mafft.clipkit.treefile	0.4791
animals	1382842at2759	1382842at2759.faa.mafft.clipkit.treefile	0.4507
animals	1405073at2759	1405073at2759.faa.mafft.clipkit.treefile	0.1694
animals	1421503at2759	1421503at2759.faa.mafft.clipkit.treefile	0.2176
animals	1423847at2759	1423847at2759.faa.mafft.clipkit.treefile	0.3491
animals	1428854at2759	1428854at2759.faa.mafft.clipkit.treefile	0.6697
animals	1432328at2759	1432328at2759.faa.mafft.clipkit.treefile	0.2896
animals	1434266at2759	1434266at2759.faa.mafft.clipkit.treefile	0.7144
animals	1441854at2759	1441854at2759.faa.mafft.clipkit.treefile	0.3738
animals	1445102at2759	1445102at2759.faa.mafft.clipkit.treefile	0.2701
animals	1455730at2759	1455730at2759.faa.mafft.clipkit.treefile	0.2263
animals	1488235at2759	1488235at2759.faa.mafft.clipkit.treefile	0.3457
animals	1488436at2759	1488436at2759.faa.mafft.clipkit.treefile	0.3009
animals	1504863at2759	1504863at2759.faa.mafft.clipkit.treefile	0.3528
animals	1513531at2759	1513531at2759.faa.mafft.clipkit.treefile	0.4814
animals	1525971at2759	1525971at2759.faa.mafft.clipkit.treefile	0.4271
animals	1526152at2759	1526152at2759.faa.mafft.clipkit.treefile	0.6259
animals	1538526at2759	1538526at2759.faa.mafft.clipkit.treefile	0.4206
animals	1545004at2759	1545004at2759.faa.mafft.clipkit.treefile	0.2089
animals	1552706at2759	1552706at2759.faa.mafft.clipkit.treefile	0.3247
animals	156083at2759	156083at2759.faa.mafft.clipkit.treefile	0.0471
animals	1620056at2759	1620056at2759.faa.mafft.clipkit.treefile	0.452
animals	1626636at2759	1626636at2759.faa.mafft.clipkit.treefile	0.2644
animals	1633672at2759	1633672at2759.faa.mafft.clipkit.treefile	0.1286
animals	176625at2759	176625at2759.faa.mafft.clipkit.treefile	0.8489
animals	271586at2759	271586at2759.faa.mafft.clipkit.treefile	0.9882
animals	290630at2759	290630at2759.faa.mafft.clipkit.treefile	0.4996
animals	296129at2759	296129at2759.faa.mafft.clipkit.treefile	0.3148
animals	306227at2759	306227at2759.faa.mafft.clipkit.treefile	0.5864
animals	320059at2759	320059at2759.faa.mafft.clipkit.treefile	0.1195
animals	324863at2759	324863at2759.faa.mafft.clipkit.treefile	0.7514
animals	331411at2759	331411at2759.faa.mafft.clipkit.treefile	0.2759
animals	341721at2759	341721at2759.faa.mafft.clipkit.treefile	0.7298
animals	355408at2759	355408at2759.faa.mafft.clipkit.treefile	0.0601
animals	390348at2759	390348at2759.faa.mafft.clipkit.treefile	0.1151
animals	39650at2759	39650at2759.faa.mafft.clipkit.treefile	0.5202
animals	396755at2759	396755at2759.faa.mafft.clipkit.treefile	0.4549
animals	418107at2759	418107at2759.faa.mafft.clipkit.treefile	0.3545
animals	453044at2759	453044at2759.faa.mafft.clipkit.treefile	0.5241
animals	491869at2759	491869at2759.faa.mafft.clipkit.treefile	0.6577
animals	570797at2759	570797at2759.faa.mafft.clipkit.treefile	1.0081
animals	621827at2759	621827at2759.faa.mafft.clipkit.treefile	0.7096
animals	664730at2759	664730at2759.faa.mafft.clipkit.treefile	0.2673
animals	673132at2759	673132at2759.faa.mafft.clipkit.treefile	0.407
animals	674160at2759	674160at2759.faa.mafft.clipkit.treefile	0.9353
animals	679771at2759	679771at2759.faa.mafft.clipkit.treefile	0.7053
animals	720340at2759	720340at2759.faa.mafft.clipkit.treefile	0.4776
animals	721605at2759	721605at2759.faa.mafft.clipkit.treefile	0.593
animals	734666at2759	734666at2759.faa.mafft.clipkit.treefile	0.3553
animals	777920at2759	777920at2759.faa.mafft.clipkit.treefile	0.5087
animals	814241at2759	814241at2759.faa.mafft.clipkit.treefile	0.3098
animals	836599at2759	836599at2759.faa.mafft.clipkit.treefile	0.339
animals	866359at2759	866359at2759.faa.mafft.clipkit.treefile	0.3053
animals	891751at2759	891751at2759.faa.mafft.clipkit.treefile	0.9559
animals	919955at2759	919955at2759.faa.mafft.clipkit.treefile	0.5232
animals	974865at2759	974865at2759.faa.mafft.clipkit.treefile	0.4851
animals	975158at2759	975158at2759.faa.mafft.clipkit.treefile	0.3313
animals	981902at2759	981902at2759.faa.mafft.clipkit.treefile	0.4459
animals	996662at2759	996662at2759.faa.mafft.clipkit.treefile	0.7277
fungi	1001705at2759	1001705at2759.faa.mafft.clipkit.treefile	0.8317
fungi	1003258at2759	1003258at2759.faa.mafft.clipkit.treefile	0.8311
fungi	100698at2759	100698at2759.faa.mafft.clipkit.treefile	0.5215
fungi	1010730at2759	1010730at2759.faa.mafft.clipkit.treefile	0.5666
fungi	1014314at2759	1014314at2759.faa.mafft.clipkit.treefile	0.9528
fungi	1018517at2759	1018517at2759.faa.mafft.clipkit.treefile	0.4516
fungi	1019762at2759	1019762at2759.faa.mafft.clipkit.treefile	1.2015
fungi	1025450at2759	1025450at2759.faa.mafft.clipkit.treefile	0.7654
fungi	1030907at2759	1030907at2759.faa.mafft.clipkit.treefile	1.1426
fungi	1032689at2759	1032689at2759.faa.mafft.clipkit.treefile	0.8139
fungi	1038775at2759	1038775at2759.faa.mafft.clipkit.treefile	0.5568
fungi	1041560at2759	1041560at2759.faa.mafft.clipkit.treefile	0.6262
fungi	1049599at2759	1049599at2759.faa.mafft.clipkit.treefile	0.8495
fungi	1051021at2759	1051021at2759.faa.mafft.clipkit.treefile	1.007
fungi	1053181at2759	1053181at2759.faa.mafft.clipkit.treefile	0.6542
fungi	1057950at2759	1057950at2759.faa.mafft.clipkit.treefile	1.0639
fungi	1065019at2759	1065019at2759.faa.mafft.clipkit.treefile	0.5635
fungi	1076134at2759	1076134at2759.faa.mafft.clipkit.treefile	0.517
fungi	1079130at2759	1079130at2759.faa.mafft.clipkit.treefile	0.4901
fungi	1079827at2759	1079827at2759.faa.mafft.clipkit.treefile	0.2823
fungi	1085752at2759	1085752at2759.faa.mafft.clipkit.treefile	1.5228
fungi	1087488at2759	1087488at2759.faa.mafft.clipkit.treefile	0.9088
fungi	1090038at2759	1090038at2759.faa.mafft.clipkit.treefile	0.9163
fungi	1094121at2759	1094121at2759.faa.mafft.clipkit.treefile	1.0453
fungi	1096688at2759	1096688at2759.faa.mafft.clipkit.treefile	0.4772
fungi	1106766at2759	1106766at2759.faa.mafft.clipkit.treefile	0.544
fungi	1107630at2759	1107630at2759.faa.mafft.clipkit.treefile	0.8129
fungi	1108845at2759	1108845at2759.faa.mafft.clipkit.treefile	0.5802
fungi	1111142at2759	1111142at2759.faa.mafft.clipkit.treefile	1.3537
fungi	1112002at2759	1112002at2759.faa.mafft.clipkit.treefile	0.6757
fungi	1115196at2759	1115196at2759.faa.mafft.clipkit.treefile	0.7755
fungi	1128607at2759	1128607at2759.faa.mafft.clipkit.treefile	0.4438
fungi	1129824at2759	1129824at2759.faa.mafft.clipkit.treefile	0.8903
fungi	1138059at2759	1138059at2759.faa.mafft.clipkit.treefile	0.489
fungi	1157302at2759	1157302at2759.faa.mafft.clipkit.treefile	0.1746
fungi	1161199at2759	1161199at2759.faa.mafft.clipkit.treefile	1.1208
fungi	1173229at2759	1173229at2759.faa.mafft.clipkit.treefile	0.9983
fungi	1178688at2759	1178688at2759.faa.mafft.clipkit.treefile	0.8513
fungi	1182451at2759	1182451at2759.faa.mafft.clipkit.treefile	0.9687
fungi	1193442at2759	1193442at2759.faa.mafft.clipkit.treefile	0.7183
fungi	1194691at2759	1194691at2759.faa.mafft.clipkit.treefile	0.6958
fungi	1194797at2759	1194797at2759.faa.mafft.clipkit.treefile	0.7125
fungi	1197019at2759	1197019at2759.faa.mafft.clipkit.treefile	0.5303
fungi	1200489at2759	1200489at2759.faa.mafft.clipkit.treefile	0.7014
fungi	1217666at2759	1217666at2759.faa.mafft.clipkit.treefile	0.5643
fungi	1220881at2759	1220881at2759.faa.mafft.clipkit.treefile	0.7089
fungi	1222562at2759	1222562at2759.faa.mafft.clipkit.treefile	0.7241
fungi	1223488at2759	1223488at2759.faa.mafft.clipkit.treefile	0.9515
fungi	1228942at2759	1228942at2759.faa.mafft.clipkit.treefile	0.5791
fungi	1233814at2759	1233814at2759.faa.mafft.clipkit.treefile	0.6143
fungi	1236198at2759	1236198at2759.faa.mafft.clipkit.treefile	0.438
fungi	1247641at2759	1247641at2759.faa.mafft.clipkit.treefile	1.1852
fungi	1248958at2759	1248958at2759.faa.mafft.clipkit.treefile	0.8469
fungi	1249159at2759	1249159at2759.faa.mafft.clipkit.treefile	0.8829
fungi	1251252at2759	1251252at2759.faa.mafft.clipkit.treefile	0.9109
fungi	1257440at2759	1257440at2759.faa.mafft.clipkit.treefile	0.6019
fungi	1258856at2759	1258856at2759.faa.mafft.clipkit.treefile	1.1478
fungi	1259741at2759	1259741at2759.faa.mafft.clipkit.treefile	0.8364
fungi	1260807at2759	1260807at2759.faa.mafft.clipkit.treefile	0.6255
fungi	1264469at2759	1264469at2759.faa.mafft.clipkit.treefile	0.8543
fungi	1266231at2759	1266231at2759.faa.mafft.clipkit.treefile	0.4372
fungi	1269244at2759	1269244at2759.faa.mafft.clipkit.treefile	1.3112
fungi	1269649at2759	1269649at2759.faa.mafft.clipkit.treefile	0.4535
fungi	1275837at2759	1275837at2759.faa.mafft.clipkit.treefile	0.4262
fungi	1284731at2759	1284731at2759.faa.mafft.clipkit.treefile	0.7673
fungi	1287094at2759	1287094at2759.faa.mafft.clipkit.treefile	0.8914
fungi	1287401at2759	1287401at2759.faa.mafft.clipkit.treefile	0.457
fungi	1291729at2759	1291729at2759.faa.mafft.clipkit.treefile	0.7108
fungi	1304061at2759	1304061at2759.faa.mafft.clipkit.treefile	0.5203
fungi	1309031at2759	1309031at2759.faa.mafft.clipkit.treefile	0.807
fungi	1312453at2759	1312453at2759.faa.mafft.clipkit.treefile	1.0165
fungi	1314980at2759	1314980at2759.faa.mafft.clipkit.treefile	0.8935
fungi	1322299at2759	1322299at2759.faa.mafft.clipkit.treefile	0.8578
fungi	1322642at2759	1322642at2759.faa.mafft.clipkit.treefile	0.5766
fungi	1323575at2759	1323575at2759.faa.mafft.clipkit.treefile	0.6962
fungi	1324510at2759	1324510at2759.faa.mafft.clipkit.treefile	0.9313
fungi	1338131at2759	1338131at2759.faa.mafft.clipkit.treefile	0.4387
fungi	1339553at2759	1339553at2759.faa.mafft.clipkit.treefile	1.8921
fungi	1342242at2759	1342242at2759.faa.mafft.clipkit.treefile	1.1051
fungi	1346165at2759	1346165at2759.faa.mafft.clipkit.treefile	0.7553
fungi	1346432at2759	1346432at2759.faa.mafft.clipkit.treefile	0.8756
fungi	1348942at2759	1348942at2759.faa.mafft.clipkit.treefile	0.9428
fungi	1355894at2759	1355894at2759.faa.mafft.clipkit.treefile	0.7111
fungi	1358374at2759	1358374at2759.faa.mafft.clipkit.treefile	0.5104
fungi	1364586at2759	1364586at2759.faa.mafft.clipkit.treefile	0.8411
fungi	1370285at2759	1370285at2759.faa.mafft.clipkit.treefile	1.4441
fungi	1370304at2759	1370304at2759.faa.mafft.clipkit.treefile	0.9938
fungi	1377237at2759	1377237at2759.faa.mafft.clipkit.treefile	0.9312
fungi	1379600at2759	1379600at2759.faa.mafft.clipkit.treefile	1.2473
fungi	1380409at2759	1380409at2759.faa.mafft.clipkit.treefile	0.9189
fungi	1382842at2759	1382842at2759.faa.mafft.clipkit.treefile	0.9448
fungi	1395649at2759	1395649at2759.faa.mafft.clipkit.treefile	0.9112
fungi	1398309at2759	1398309at2759.faa.mafft.clipkit.treefile	0.6417
fungi	1404162at2759	1404162at2759.faa.mafft.clipkit.treefile	1.1302
fungi	1405073at2759	1405073at2759.faa.mafft.clipkit.treefile	0.2733
