                                 Started job on |	Aug 19 09:52:33
                             Started mapping on |	Aug 19 10:07:37
                                    Finished on |	Aug 19 10:08:03
       Mapping speed, Million of reads per hour |	27.75

                          Number of input reads |	200414
                      Average input read length |	107
                                    UNIQUE READS:
                   Uniquely mapped reads number |	172365
                        Uniquely mapped reads % |	86.00%
                          Average mapped length |	106.55
                       Number of splices: Total |	77044
            Number of splices: Annotated (sjdb) |	76941
                       Number of splices: GT/AG |	76340
                       Number of splices: GC/AG |	554
                       Number of splices: AT/AC |	51
               Number of splices: Non-canonical |	99
                      Mismatch rate per base, % |	0.39%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.66
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.26
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	25040
             % of reads mapped to multiple loci |	12.49%
        Number of reads mapped to too many loci |	60
             % of reads mapped to too many loci |	0.03%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	2933
                 % of reads unmapped: too short |	1.46%
                Number of reads unmapped: other |	16
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	0
                            % of chimeric reads |	0.00%
