scog_id	animal_mean_patristic	fungi_mean_patristic	animal_pairs	fungi_pairs	status
1001705at2759	NA	NA	0	0	skip_5seq
1003258at2759	NA	NA	0	0	skip_7seq
100698at2759	NA	NA	0	0	skip_7seq
1010730at2759	NA	NA	0	0	skip_7seq
1014314at2759	NA	NA	0	0	skip_mafft
1018517at2759	NA	NA	0	0	skip_mafft
1019762at2759	NA	NA	0	0	skip_7seq
1025450at2759	NA	NA	0	0	skip_5seq
1030907at2759	NA	NA	0	0	skip_5seq
1032689at2759	NA	NA	0	0	skip_5seq
1038775at2759	NA	NA	0	0	skip_6seq
1041560at2759	NA	NA	0	0	skip_7seq
1049599at2759	NA	NA	0	0	skip_5seq
1051021at2759	NA	NA	0	0	skip_6seq
1053181at2759	NA	NA	0	0	skip_5seq
1065019at2759	NA	NA	0	0	skip_7seq
1076134at2759	NA	NA	0	0	skip_5seq
1079130at2759	NA	NA	0	0	skip_6seq
1079827at2759	NA	NA	0	0	skip_7seq
1085752at2759	NA	NA	0	0	skip_5seq
1087488at2759	NA	NA	0	0	skip_5seq
1090038at2759	NA	NA	0	0	skip_4seq
1094121at2759	NA	NA	0	0	skip_7seq
1096688at2759	NA	NA	0	0	skip_7seq
1106766at2759	NA	NA	0	0	skip_4seq
1107630at2759	NA	NA	0	0	skip_5seq
1108845at2759	NA	NA	0	0	skip_4seq
1111142at2759	NA	NA	0	0	skip_5seq
1112002at2759	NA	NA	0	0	skip_7seq
1128607at2759	NA	NA	0	0	skip_6seq
1129824at2759	NA	NA	0	0	skip_7seq
1138059at2759	NA	NA	0	0	skip_7seq
1157302at2759	NA	NA	0	0	skip_7seq
1161199at2759	NA	NA	0	0	skip_7seq
1173229at2759	NA	NA	0	0	skip_7seq
1178688at2759	NA	NA	0	0	skip_6seq
1182451at2759	NA	NA	0	0	skip_5seq
1193442at2759	NA	NA	0	0	skip_mafft
1194691at2759	NA	NA	0	0	skip_7seq
1194797at2759	NA	NA	0	0	skip_6seq
1197019at2759	NA	NA	0	0	skip_5seq
1200489at2759	NA	NA	0	0	skip_7seq
1217666at2759	NA	NA	0	0	skip_7seq
1220881at2759	NA	NA	0	0	skip_6seq
1222562at2759	NA	NA	0	0	skip_6seq
1223488at2759	NA	NA	0	0	skip_5seq
1228942at2759	NA	NA	0	0	skip_6seq
1236198at2759	NA	NA	0	0	skip_5seq
1247641at2759	NA	NA	0	0	skip_5seq
1248958at2759	NA	NA	0	0	skip_6seq
1249159at2759	NA	NA	0	0	skip_mafft
1251252at2759	NA	NA	0	0	skip_7seq
1257440at2759	NA	NA	0	0	skip_6seq
1258856at2759	NA	NA	0	0	skip_6seq
1259741at2759	NA	NA	0	0	skip_6seq
1260807at2759	NA	NA	0	0	skip_7seq
1264469at2759	NA	NA	0	0	skip_7seq
1266231at2759	NA	NA	0	0	skip_5seq
1269244at2759	NA	NA	0	0	skip_7seq
1269649at2759	NA	NA	0	0	skip_mafft
1275837at2759	NA	NA	0	0	skip_6seq
1284731at2759	NA	NA	0	0	skip_7seq
1287094at2759	NA	NA	0	0	skip_7seq
1287401at2759	NA	NA	0	0	skip_6seq
1291729at2759	NA	NA	0	0	skip_7seq
1304061at2759	NA	NA	0	0	skip_7seq
1309031at2759	NA	NA	0	0	skip_5seq
1312453at2759	NA	NA	0	0	skip_5seq
1314980at2759	NA	NA	0	0	skip_4seq
1322299at2759	NA	NA	0	0	skip_5seq
1322642at2759	NA	NA	0	0	skip_5seq
1323575at2759	NA	NA	0	0	skip_6seq
1324510at2759	NA	NA	0	0	skip_5seq
1338131at2759	NA	NA	0	0	skip_7seq
1339553at2759	NA	NA	0	0	skip_6seq
1342242at2759	NA	NA	0	0	skip_mafft
1346165at2759	NA	NA	0	0	skip_7seq
1346432at2759	NA	NA	0	0	skip_mafft
1348942at2759	NA	NA	0	0	skip_6seq
1355894at2759	NA	NA	0	0	skip_7seq
1358374at2759	NA	NA	0	0	skip_7seq
1364586at2759	NA	NA	0	0	skip_6seq
1370285at2759	NA	NA	0	0	skip_7seq
1370304at2759	NA	NA	0	0	skip_5seq
1377237at2759	NA	NA	0	0	skip_4seq
1379600at2759	NA	NA	0	0	skip_7seq
1380409at2759	NA	NA	0	0	skip_5seq
1382842at2759	NA	NA	0	0	skip_6seq
1395649at2759	NA	NA	0	0	skip_4seq
1398309at2759	NA	NA	0	0	skip_5seq
1404162at2759	NA	NA	0	0	skip_6seq
1405073at2759	NA	NA	0	0	skip_mafft
1405146at2759	NA	NA	0	0	skip_6seq
1407446at2759	NA	NA	0	0	skip_6seq
1421503at2759	NA	NA	0	0	skip_7seq
1423847at2759	NA	NA	0	0	skip_7seq
142542at2759	NA	NA	0	0	skip_4seq
1426075at2759	NA	NA	0	0	skip_5seq
1428265at2759	NA	NA	0	0	skip_5seq
1428854at2759	NA	NA	0	0	skip_mafft
1430056at2759	NA	NA	0	0	skip_5seq
1432328at2759	NA	NA	0	0	skip_7seq
1434266at2759	NA	NA	0	0	skip_7seq
1440961at2759	NA	NA	0	0	skip_5seq
1441854at2759	NA	NA	0	0	skip_7seq
1442062at2759	NA	NA	0	0	skip_6seq
1445102at2759	NA	NA	0	0	skip_7seq
1450538at2759	NA	NA	0	0	skip_5seq
1454155at2759	NA	NA	0	0	skip_6seq
1455730at2759	NA	NA	0	0	skip_6seq
1459797at2759	NA	NA	0	0	skip_6seq
1474000at2759	NA	NA	0	0	skip_6seq
1488235at2759	NA	NA	0	0	skip_7seq
1488436at2759	NA	NA	0	0	skip_7seq
1490022at2759	NA	NA	0	0	skip_5seq
1504863at2759	NA	NA	0	0	skip_mafft
1513531at2759	NA	NA	0	0	skip_7seq
1525971at2759	NA	NA	0	0	skip_mafft
1526152at2759	NA	NA	0	0	skip_5seq
1530008at2759	NA	NA	0	0	skip_5seq
1538526at2759	NA	NA	0	0	skip_7seq
1545004at2759	NA	NA	0	0	skip_5seq
