scog_id	mean_patristic	min	max	median	stdev	status
1003258at2759	NA	NA	NA	NA	NA	skip_parse
100698at2759	NA	NA	NA	NA	NA	skip_parse
1010730at2759	NA	NA	NA	NA	NA	skip_parse
1014314at2759	NA	NA	NA	NA	NA	skip_parse
1018517at2759	NA	NA	NA	NA	NA	skip_parse
1019762at2759	NA	NA	NA	NA	NA	skip_parse
1038775at2759	NA	NA	NA	NA	NA	skip_parse
1041560at2759	NA	NA	NA	NA	NA	skip_parse
1065019at2759	NA	NA	NA	NA	NA	skip_parse
1079827at2759	NA	NA	NA	NA	NA	skip_parse
1094121at2759	NA	NA	NA	NA	NA	skip_parse
1096688at2759	NA	NA	NA	NA	NA	skip_parse
1112002at2759	NA	NA	NA	NA	NA	skip_parse
1129824at2759	NA	NA	NA	NA	NA	skip_parse
1138059at2759	NA	NA	NA	NA	NA	skip_parse
1157302at2759	NA	NA	NA	NA	NA	skip_parse
1161199at2759	NA	NA	NA	NA	NA	skip_parse
1173229at2759	NA	NA	NA	NA	NA	skip_parse
1193442at2759	NA	NA	NA	NA	NA	skip_parse
1194691at2759	NA	NA	NA	NA	NA	skip_parse
1200489at2759	NA	NA	NA	NA	NA	skip_parse
1217666at2759	NA	NA	NA	NA	NA	skip_parse
1249159at2759	NA	NA	NA	NA	NA	skip_parse
1251252at2759	NA	NA	NA	NA	NA	skip_parse
1260807at2759	NA	NA	NA	NA	NA	skip_parse
1264469at2759	NA	NA	NA	NA	NA	skip_parse
1269244at2759	NA	NA	NA	NA	NA	skip_parse
1269649at2759	NA	NA	NA	NA	NA	skip_parse
1284731at2759	NA	NA	NA	NA	NA	skip_parse
1287094at2759	NA	NA	NA	NA	NA	skip_parse
1287401at2759	NA	NA	NA	NA	NA	skip_parse
1291729at2759	NA	NA	NA	NA	NA	skip_parse
1304061at2759	NA	NA	NA	NA	NA	skip_parse
1338131at2759	NA	NA	NA	NA	NA	skip_parse
1342242at2759	NA	NA	NA	NA	NA	skip_parse
1346165at2759	NA	NA	NA	NA	NA	skip_parse
1346432at2759	NA	NA	NA	NA	NA	skip_parse
1355894at2759	NA	NA	NA	NA	NA	skip_parse
1358374at2759	NA	NA	NA	NA	NA	skip_parse
1364586at2759	NA	NA	NA	NA	NA	skip_parse
1370285at2759	NA	NA	NA	NA	NA	skip_parse
1379600at2759	NA	NA	NA	NA	NA	skip_parse
1382842at2759	NA	NA	NA	NA	NA	skip_parse
1405073at2759	NA	NA	NA	NA	NA	skip_parse
1421503at2759	NA	NA	NA	NA	NA	skip_parse
1423847at2759	NA	NA	NA	NA	NA	skip_parse
1428854at2759	NA	NA	NA	NA	NA	skip_parse
1432328at2759	NA	NA	NA	NA	NA	skip_parse
1434266at2759	NA	NA	NA	NA	NA	skip_parse
1441854at2759	NA	NA	NA	NA	NA	skip_parse
1445102at2759	NA	NA	NA	NA	NA	skip_parse
1455730at2759	NA	NA	NA	NA	NA	skip_parse
1488235at2759	NA	NA	NA	NA	NA	skip_parse
1488436at2759	NA	NA	NA	NA	NA	skip_parse
1504863at2759	NA	NA	NA	NA	NA	skip_parse
1513531at2759	NA	NA	NA	NA	NA	skip_parse
1525971at2759	NA	NA	NA	NA	NA	skip_parse
1538526at2759	NA	NA	NA	NA	NA	skip_parse
1552706at2759	NA	NA	NA	NA	NA	skip_parse
156083at2759	NA	NA	NA	NA	NA	skip_parse
1620056at2759	NA	NA	NA	NA	NA	skip_parse
1626636at2759	NA	NA	NA	NA	NA	skip_parse
1633672at2759	NA	NA	NA	NA	NA	skip_parse
176625at2759	NA	NA	NA	NA	NA	skip_parse
271586at2759	NA	NA	NA	NA	NA	skip_parse
290630at2759	NA	NA	NA	NA	NA	skip_parse
296129at2759	NA	NA	NA	NA	NA	skip_parse
306227at2759	NA	NA	NA	NA	NA	skip_parse
320059at2759	NA	NA	NA	NA	NA	skip_parse
324863at2759	NA	NA	NA	NA	NA	skip_parse
331411at2759	NA	NA	NA	NA	NA	skip_parse
341721at2759	NA	NA	NA	NA	NA	skip_parse
355408at2759	NA	NA	NA	NA	NA	skip_parse
390348at2759	NA	NA	NA	NA	NA	skip_parse
39650at2759	NA	NA	NA	NA	NA	skip_parse
396755at2759	NA	NA	NA	NA	NA	skip_parse
418107at2759	NA	NA	NA	NA	NA	skip_parse
453044at2759	NA	NA	NA	NA	NA	skip_parse
570797at2759	NA	NA	NA	NA	NA	skip_parse
621827at2759	NA	NA	NA	NA	NA	skip_parse
664730at2759	NA	NA	NA	NA	NA	skip_parse
673132at2759	NA	NA	NA	NA	NA	skip_parse
674160at2759	NA	NA	NA	NA	NA	skip_parse
679771at2759	NA	NA	NA	NA	NA	skip_parse
720340at2759	NA	NA	NA	NA	NA	skip_parse
734666at2759	NA	NA	NA	NA	NA	skip_parse
777920at2759	NA	NA	NA	NA	NA	skip_parse
814241at2759	NA	NA	NA	NA	NA	skip_parse
836599at2759	NA	NA	NA	NA	NA	skip_parse
866359at2759	NA	NA	NA	NA	NA	skip_parse
891751at2759	NA	NA	NA	NA	NA	skip_parse
919955at2759	NA	NA	NA	NA	NA	skip_parse
974865at2759	NA	NA	NA	NA	NA	skip_parse
975158at2759	NA	NA	NA	NA	NA	skip_parse
981902at2759	NA	NA	NA	NA	NA	skip_parse
996662at2759	NA	NA	NA	NA	NA	skip_parse
