donor	n_cells	mean_library	mean_detected	ifn_genes_present	ifn_score	ifn_fraction	inflammatory_genes_present	inflammatory_score	inflammatory_fraction	cytotoxic_score	signature_score	expression_cluster	expression_class	signature_class	pca1	pca2
donor1	11264	3388.060	1172.622	30/31	0.332396	0.174852	16/17	0.541569	0.240995	1.165395	-1.583191	0	healthy-like	healthy-like	23.219501	-4.653282
donor2	10595	3732.169	1161.605	30/31	0.322238	0.177606	16/17	0.906626	0.327596	0.535385	0.239498	1	COVID-like	COVID-like	-13.559042	1.972248
donor3	11327	4440.907	1415.554	30/31	0.975346	0.465013	16/17	1.076350	0.385407	0.609378	3.853728	1	COVID-like	COVID-like	-16.795377	-24.582455
donor4	17134	5980.150	1559.781	30/31	0.471022	0.276269	16/17	0.836522	0.330917	0.829631	0.507052	1	COVID-like	COVID-like	-19.268201	8.191247
donor5	11067	3579.532	1202.577	30/31	0.357560	0.189046	16/17	0.501378	0.216115	0.862775	-1.682730	0	healthy-like	healthy-like	26.106645	-6.756521
donor6	6663	5183.155	1357.503	30/31	0.349515	0.198934	16/17	0.598174	0.256341	0.499602	-1.221944	1	COVID-like	healthy-like	-5.651672	15.111593
donor7	8490	4637.312	1332.094	30/31	0.417547	0.238060	16/17	0.932856	0.331662	0.661781	0.774402	1	COVID-like	COVID-like	-14.092323	1.272197
donor8	7888	4591.426	1319.336	30/31	0.518772	0.276433	16/17	0.795445	0.318593	0.859373	0.497986	1	COVID-like	COVID-like	-4.988449	8.316803
donor9	7837	4210.766	1304.828	30/31	0.317294	0.175871	16/17	0.811884	0.316799	0.429899	-0.265419	1	COVID-like	COVID-like	-7.444808	-0.216680
donor10	14101	5288.561	1469.148	30/31	0.365494	0.214592	16/17	0.562956	0.250496	1.080594	-1.334701	1	COVID-like	healthy-like	-5.901510	29.657625
donor11	5942	3604.034	1251.301	30/31	0.378608	0.201565	16/17	0.321208	0.166674	1.333695	-2.514859	0	healthy-like	healthy-like	35.567326	3.567827
donor12	8704	3526.203	1187.166	30/31	0.380612	0.197683	16/17	0.433834	0.195147	1.183215	-1.930922	0	healthy-like	healthy-like	30.044537	-1.690416
donor13	5756	4436.468	1347.875	30/31	0.570948	0.299166	16/17	0.880068	0.314509	0.632637	1.149856	1	COVID-like	COVID-like	-15.446755	-0.255156
donor14	15886	4564.619	1474.662	30/31	1.073663	0.511803	16/17	0.704607	0.281923	0.972053	2.367658	1	COVID-like	COVID-like	-13.963416	-10.523795
donor15	5857	4466.916	1285.686	30/31	0.421269	0.233948	16/17	0.704238	0.290102	0.315411	-0.378171	1	COVID-like	healthy-like	-12.358949	7.238447
donor16	6108	4884.970	1415.812	30/31	0.362447	0.209954	16/17	0.724200	0.299587	0.884062	-0.523565	1	COVID-like	healthy-like	-5.867203	10.558868
donor17	8626	4147.650	1368.261	30/31	0.431844	0.244636	16/17	0.431074	0.209751	0.734186	-1.729545	0	healthy-like	healthy-like	27.249189	-0.847094
donor18	7557	4494.780	1471.446	30/31	0.885268	0.449636	16/17	0.740035	0.306438	0.493928	1.756308	1	COVID-like	COVID-like	-2.086090	-14.143655
donor19	7523	4482.194	1339.209	30/31	0.495467	0.272595	16/17	0.683451	0.287427	0.542109	-0.172317	1	COVID-like	COVID-like	-1.000570	9.701261
donor20	5868	4711.842	1398.277	30/31	0.463027	0.254346	16/17	0.881839	0.318411	0.465678	0.704995	1	COVID-like	COVID-like	-16.079128	2.602469
donor21	9332	4180.398	1353.983	30/31	0.383312	0.214984	16/17	0.493945	0.223626	1.022411	-1.612400	0	healthy-like	healthy-like	22.339807	-4.375772
donor22	5492	4613.636	1413.434	30/31	0.481167	0.263741	16/17	0.538815	0.239291	1.171128	-0.971538	1	COVID-like	healthy-like	-2.762359	20.178904
donor23	5762	6722.433	1669.565	30/31	0.361176	0.228619	16/17	0.703346	0.301480	1.028424	-0.635475	1	COVID-like	healthy-like	-10.844325	31.917945
donor24	7828	4285.457	1433.083	30/31	0.374181	0.215023	16/17	0.504503	0.228818	1.089703	-1.596855	0	healthy-like	healthy-like	23.912520	-4.076224
donor25	6916	4217.982	1376.993	30/31	0.377433	0.214136	16/17	0.808056	0.327095	0.862026	-0.032036	1	COVID-like	COVID-like	1.784975	-6.077814
donor26	10801	4040.878	1337.711	30/31	0.798164	0.387208	16/17	0.737376	0.299463	0.880004	1.376373	1	COVID-like	COVID-like	-8.290640	-0.136619
donor27	8364	3997.357	1344.068	30/31	0.360679	0.205245	16/17	0.650770	0.283312	1.057175	-0.906228	0	healthy-like	healthy-like	18.892151	-7.772581
donor28	6157	4483.104	1385.649	30/31	0.415528	0.229755	16/17	0.970771	0.351531	0.495209	0.959653	1	COVID-like	COVID-like	-19.604917	-9.764857
donor29	10745	4432.689	1420.988	30/31	0.378470	0.222314	16/17	0.481274	0.233609	0.797256	-1.697515	0	healthy-like	healthy-like	27.128706	1.081506
donor30	5185	6190.769	1755.699	30/31	0.676060	0.382385	16/17	1.200773	0.413042	0.441496	3.230733	1	COVID-like	COVID-like	-31.701034	-29.343877
donor31	5851	5505.116	1578.328	30/31	0.614928	0.339868	16/17	0.876579	0.340006	0.490474	1.317008	1	COVID-like	COVID-like	-23.820911	-4.005552
donor32	7848	4164.261	1306.391	30/31	0.363294	0.210206	16/17	0.591890	0.263921	0.630494	-1.196102	0	healthy-like	healthy-like	17.919359	-10.082602
donor33	5159	3997.533	1402.099	30/31	1.324756	0.596905	16/17	0.670658	0.284757	0.700414	3.250266	1	COVID-like	COVID-like	-2.637038	-12.063988
