donor	n_cells	logcpm_ifn	logcpm_inflammatory	logcpm_cytotoxic	disease_score	all_top500	all_top1000	no_receptor_top500	marker_genes	covid_votes_20	consensus_class
donor1	11264	3.722814	4.188957	6.664222	-1.603071	0	0	0	0	0	healthy-like
donor2	10595	3.822896	4.664580	5.883564	-0.241838	1	1	1	0	20	COVID-like
donor3	11327	5.433430	5.386169	6.073432	4.092269	1	1	1	1	20	COVID-like
donor4	17134	4.206878	4.801955	6.180798	0.703631	1	1	1	0	20	COVID-like
donor5	11067	3.794435	4.184639	6.370475	-1.502611	0	0	0	0	0	healthy-like
donor6	6663	3.565305	4.282380	5.680688	-1.611268	1	1	1	0	20	COVID-like
donor7	8490	4.044728	4.800552	6.073278	0.447859	1	1	1	0	20	COVID-like
donor8	7888	4.368242	4.961969	6.446681	1.360210	1	1	1	0	20	COVID-like
donor9	7837	3.665615	4.501995	5.486404	-0.898581	1	1	1	0	20	COVID-like
donor10	14101	3.757525	4.124624	6.649218	-1.712145	1	1	1	0	20	COVID-like
donor11	5942	3.828556	3.657973	6.839522	-2.784479	0	0	0	0	0	healthy-like
donor12	8704	3.879680	3.990887	6.779107	-1.861122	0	0	0	0	0	healthy-like
donor13	5756	4.518698	4.808536	6.122428	1.205328	1	1	1	0	20	COVID-like
donor14	15886	5.755579	4.936520	6.369696	3.453630	1	1	1	1	20	COVID-like
donor15	5857	4.189232	4.758678	5.337310	0.566487	1	1	1	0	20	COVID-like
donor16	6108	3.838263	4.421200	6.556639	-0.834829	1	1	1	0	20	COVID-like
donor17	8626	4.172936	3.904333	6.160322	-1.624366	0	0	0	0	0	healthy-like
donor18	7557	5.437264	4.980748	5.870814	3.070613	1	1	1	1	20	COVID-like
donor19	7523	4.377524	4.436775	6.037321	0.043439	1	1	1	0	20	COVID-like
donor20	5868	4.116715	4.662262	5.609273	0.209306	1	1	1	0	20	COVID-like
donor21	9332	3.867874	4.165539	6.501107	-1.436795	0	0	0	0	0	healthy-like
donor22	5492	4.263883	4.280320	6.686848	-0.529891	1	1	1	0	20	COVID-like
donor23	5762	3.607596	4.382130	6.711219	-1.292650	1	1	1	0	20	COVID-like
donor24	7828	3.827557	3.996416	6.507972	-1.928181	0	0	0	0	0	healthy-like
donor25	6916	3.806912	4.704867	6.315345	-0.164584	1	1	1	0	20	COVID-like
donor26	10801	5.325257	4.788218	6.359586	2.408386	1	1	1	1	20	COVID-like
donor27	8364	3.856148	4.252737	6.433050	-1.234014	0	0	0	0	0	healthy-like
donor28	6157	4.075467	4.623794	5.701647	0.047642	1	1	1	0	20	COVID-like
donor29	10745	3.856231	3.880247	6.275712	-2.178035	0	0	0	0	0	healthy-like
donor30	5185	4.554097	4.713148	5.026667	1.018611	1	1	1	0	20	COVID-like
donor31	5851	4.542025	4.749238	5.489336	1.091311	1	1	1	0	20	COVID-like
donor32	7848	3.957689	4.325334	5.799902	-0.892061	0	0	0	0	0	healthy-like
donor33	5159	6.118307	5.170855	6.344126	4.611802	1	1	1	1	20	COVID-like
# marker_coverage	ifn	30/31
# marker_coverage	inflammatory	16/17
# marker_coverage	all	52/54
