covid_cluster	gene	mean_logcpm_difference	ifn_gene	inflammatory_gene
1	IFI27	2.680459	yes	no
1	IGHV1-24	2.272587	no	no
1	RNASE1	2.231359	no	no
1	CLU	2.136097	no	no
1	SOCS3	1.894680	no	yes
1	IGLV6-57	1.872732	no	no
1	IGLV3-10	1.837781	no	no
1	IGKV3-15	1.837609	no	no
1	RNASE2	1.826432	no	no
1	ADM	1.804807	no	no
1	IGHV1-46	1.792071	no	no
1	IGHV3-33	1.771643	no	no
1	IGHV2-70	1.751412	no	no
1	HP	1.746758	no	no
1	IGHV4-34	1.740500	no	no
1	ID1	1.732692	no	no
1	RRM2	1.729827	no	no
1	S100A8	1.720661	no	yes
1	IGKV1D-13	1.708193	no	no
1	IGHV4-39	1.666105	no	no
1	IGLV3-27	1.648760	no	no
1	S100A12	1.641115	no	no
1	IGKV3D-11	1.632674	no	no
1	AREG	1.629970	no	no
1	C1QC	1.626872	no	no
1	UBE2C	1.621951	no	no
1	IGHV3-49	1.584565	no	no
1	FAM20A	1.581655	no	no
1	S100A9	1.567910	no	yes
1	BIRC5	1.553126	no	no
1	TYMS	1.551081	no	no
1	TMT1B	1.514385	no	no
1	FCGR1A	1.511573	no	no
1	CCNA2	1.505934	no	no
1	C1QB	1.501047	no	no
1	MT1G	1.492257	no	no
1	CDC20	1.485907	no	no
1	PLK1	1.463957	no	no
1	IGKV3-20	1.461784	no	no
1	IGLV3-25	1.449332	no	no
# signature_gene_coverage	ifn	30/31
# signature_gene_coverage	inflammatory	16/17
