pvalue	target	best_count	aggregate_count	matrix_count	best_motif_id	best_motif_name
1e-03	FOXA1	0	0	1	MA0148.5	FOXA1
1e-03	GATA3	0	0	1	MA0037.5	Gata3
1e-03	MAX	0	0	2	MA0058.4	MAX
1e-03	STAT1	394	394	2	MA0517.2	STAT1::STAT2
1e-03	OCT4	0	0	2	MA0142.1	Pou5f1::Sox2
1e-03	P53	0	0	1	MA0106.3	TP53
1e-03	NANOG	0	0	1	MA2339.1	Nanog
1e-03	HNF4A	0	0	2	MA0114.5	HNF4A
1e-03	TBP	0	0	1	MA0108.3	TBP
1e-03	FOS	0	0	6	MA0099.4	FOS::JUN
1e-03	MYC	0	0	2	MA0059.2	MAX::MYC
1e-03	JUN	0	0	12	MA0099.4	FOS::JUN
1e-03	FOXO1	0	0	7	MA0480.3	Foxo1
1e-03	CTCF	330	968	3	MA1930.2	CTCF
1e-03	TCF7	0	0	1	MA0769.3	TCF7
1e-03	SOX2	0	0	3	MA0142.1	Pou5f1::Sox2
1e-03	E2F1	24	24	1	MA0024.3	E2F1
1e-03	CREB1	0	0	1	MA0018.5	CREB1
1e-03	GATA1	0	0	2	MA0035.5	GATA1
1e-03	KLF3	0	0	1	MA1516.2	KLF3
1e-04	FOXA1	0	0	1	MA0148.5	FOXA1
1e-04	GATA3	0	0	1	MA0037.5	Gata3
1e-04	MAX	0	0	2	MA0058.4	MAX
1e-04	STAT1	192	192	2	MA0517.2	STAT1::STAT2
1e-04	OCT4	0	0	2	MA0142.1	Pou5f1::Sox2
1e-04	P53	0	0	1	MA0106.3	TP53
1e-04	NANOG	0	0	1	MA2339.1	Nanog
1e-04	HNF4A	0	0	2	MA0114.5	HNF4A
1e-04	TBP	0	0	1	MA0108.3	TBP
1e-04	FOS	0	0	6	MA0099.4	FOS::JUN
1e-04	MYC	0	0	2	MA0059.2	MAX::MYC
1e-04	JUN	0	0	12	MA0099.4	FOS::JUN
1e-04	FOXO1	0	0	7	MA0480.3	Foxo1
1e-04	CTCF	312	457	3	MA0139.2	CTCF
1e-04	TCF7	0	0	1	MA0769.3	TCF7
1e-04	SOX2	0	0	3	MA0142.1	Pou5f1::Sox2
1e-04	E2F1	0	0	1	MA0024.3	E2F1
1e-04	CREB1	0	0	1	MA0018.5	CREB1
1e-04	GATA1	0	0	2	MA0035.5	GATA1
1e-04	KLF3	0	0	1	MA1516.2	KLF3
1e-05	FOXA1	0	0	1	MA0148.5	FOXA1
1e-05	GATA3	0	0	1	MA0037.5	Gata3
1e-05	MAX	0	0	2	MA0058.4	MAX
1e-05	STAT1	0	0	2	MA0137.4	STAT1
1e-05	OCT4	0	0	2	MA0142.1	Pou5f1::Sox2
1e-05	P53	0	0	1	MA0106.3	TP53
1e-05	NANOG	0	0	1	MA2339.1	Nanog
1e-05	HNF4A	0	0	2	MA0114.5	HNF4A
1e-05	TBP	0	0	1	MA0108.3	TBP
1e-05	FOS	0	0	6	MA0099.4	FOS::JUN
1e-05	MYC	0	0	2	MA0059.2	MAX::MYC
1e-05	JUN	0	0	12	MA0099.4	FOS::JUN
1e-05	FOXO1	0	0	7	MA0480.3	Foxo1
1e-05	CTCF	300	342	3	MA0139.2	CTCF
1e-05	TCF7	0	0	1	MA0769.3	TCF7
1e-05	SOX2	0	0	3	MA0142.1	Pou5f1::Sox2
1e-05	E2F1	0	0	1	MA0024.3	E2F1
1e-05	CREB1	0	0	1	MA0018.5	CREB1
1e-05	GATA1	0	0	2	MA0035.5	GATA1
1e-05	KLF3	0	0	1	MA1516.2	KLF3
