threshold	target	best_count	aggregate_count	matrix_count	best_motif_id	best_motif_name
0.75	FOXA1	0	0	1	MA0148.5	FOXA1
0.75	GATA3	0	0	1	MA0037.5	Gata3
0.75	MAX	900	900	2	MA0058.4	MAX
0.75	STAT1	4637	4874	2	MA0517.2	STAT1::STAT2
0.75	OCT4	0	0	2	MA0142.1	Pou5f1::Sox2
0.75	P53	0	0	1	MA0106.3	TP53
0.75	NANOG	0	0	1	MA2339.1	Nanog
0.75	HNF4A	0	0	2	MA0114.5	HNF4A
0.75	TBP	10505	10505	1	MA0108.3	TBP
0.75	FOS	7	7	6	MA1951.2	FOS
0.75	MYC	0	0	2	MA0059.2	MAX::MYC
0.75	JUN	0	0	12	MA0099.4	FOS::JUN
0.75	FOXO1	8336	14298	7	MA1936.2	ERF::FOXO1
0.75	CTCF	922	974	3	MA0139.2	CTCF
0.75	TCF7	0	0	1	MA0769.3	TCF7
0.75	SOX2	0	0	3	MA0142.1	Pou5f1::Sox2
0.75	E2F1	1227	1227	1	MA0024.3	E2F1
0.75	CREB1	0	0	1	MA0018.5	CREB1
0.75	GATA1	0	0	2	MA0035.5	GATA1
0.75	KLF3	406	406	1	MA1516.2	KLF3
0.80	FOXA1	0	0	1	MA0148.5	FOXA1
0.80	GATA3	0	0	1	MA0037.5	Gata3
0.80	MAX	900	900	2	MA0058.4	MAX
0.80	STAT1	4338	4569	2	MA0517.2	STAT1::STAT2
0.80	OCT4	0	0	2	MA0142.1	Pou5f1::Sox2
0.80	P53	0	0	1	MA0106.3	TP53
0.80	NANOG	0	0	1	MA2339.1	Nanog
0.80	HNF4A	0	0	2	MA0114.5	HNF4A
0.80	TBP	9287	9287	1	MA0108.3	TBP
0.80	FOS	0	0	6	MA0099.4	FOS::JUN
0.80	MYC	0	0	2	MA0059.2	MAX::MYC
0.80	JUN	0	0	12	MA0099.4	FOS::JUN
0.80	FOXO1	6404	11060	7	MA1936.2	ERF::FOXO1
0.80	CTCF	892	892	3	MA0139.2	CTCF
0.80	TCF7	0	0	1	MA0769.3	TCF7
0.80	SOX2	0	0	3	MA0142.1	Pou5f1::Sox2
0.80	E2F1	339	339	1	MA0024.3	E2F1
0.80	CREB1	0	0	1	MA0018.5	CREB1
0.80	GATA1	0	0	2	MA0035.5	GATA1
0.80	KLF3	46	46	1	MA1516.2	KLF3
0.85	FOXA1	0	0	1	MA0148.5	FOXA1
0.85	GATA3	0	0	1	MA0037.5	Gata3
0.85	MAX	300	300	2	MA0058.4	MAX
0.85	STAT1	560	560	2	MA0517.2	STAT1::STAT2
0.85	OCT4	0	0	2	MA0142.1	Pou5f1::Sox2
0.85	P53	0	0	1	MA0106.3	TP53
0.85	NANOG	0	0	1	MA2339.1	Nanog
0.85	HNF4A	0	0	2	MA0114.5	HNF4A
0.85	TBP	4762	4762	1	MA0108.3	TBP
0.85	FOS	0	0	6	MA0099.4	FOS::JUN
0.85	MYC	0	0	2	MA0059.2	MAX::MYC
0.85	JUN	0	0	12	MA0099.4	FOS::JUN
0.85	FOXO1	5417	5705	7	MA1936.2	ERF::FOXO1
0.85	CTCF	312	312	3	MA0139.2	CTCF
0.85	TCF7	0	0	1	MA0769.3	TCF7
0.85	SOX2	0	0	3	MA0142.1	Pou5f1::Sox2
0.85	E2F1	289	289	1	MA0024.3	E2F1
0.85	CREB1	0	0	1	MA0018.5	CREB1
0.85	GATA1	0	0	2	MA0035.5	GATA1
0.85	KLF3	27	27	1	MA1516.2	KLF3
0.90	FOXA1	0	0	1	MA0148.5	FOXA1
0.90	GATA3	0	0	1	MA0037.5	Gata3
0.90	MAX	0	0	2	MA0058.4	MAX
0.90	STAT1	192	192	2	MA0517.2	STAT1::STAT2
0.90	OCT4	0	0	2	MA0142.1	Pou5f1::Sox2
0.90	P53	0	0	1	MA0106.3	TP53
0.90	NANOG	0	0	1	MA2339.1	Nanog
0.90	HNF4A	0	0	2	MA0114.5	HNF4A
0.90	TBP	0	0	1	MA0108.3	TBP
0.90	FOS	0	0	6	MA0099.4	FOS::JUN
0.90	MYC	0	0	2	MA0059.2	MAX::MYC
0.90	JUN	0	0	12	MA0099.4	FOS::JUN
0.90	FOXO1	3703	3703	7	MA1936.2	ERF::FOXO1
0.90	CTCF	312	312	3	MA0139.2	CTCF
0.90	TCF7	0	0	1	MA0769.3	TCF7
0.90	SOX2	0	0	3	MA0142.1	Pou5f1::Sox2
0.90	E2F1	12	12	1	MA0024.3	E2F1
0.90	CREB1	0	0	1	MA0018.5	CREB1
0.90	GATA1	0	0	2	MA0035.5	GATA1
0.90	KLF3	0	0	1	MA1516.2	KLF3
