category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Membrane transport	pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	11/40	202/2041	0.0544554455445545	2.77858910891089	3.76428055047871	0.0011884725060562	0.035654175181686	0.0350286633363932	PA14_33540/PA14_33550/PA14_20030/PA14_33560/PA14_33760/PA14_33690/PA14_54980/PA14_62000/PA14_48115/PA14_10160/PA14_10180	11
Metabolism	Global and overview maps	pau01210	2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	4/40	47/2041	0.0851063829787234	4.34255319148936	3.27707374189318	0.0122941352493413	0.184412028740119	0.181176729990293	PA14_33500/PA14_38200/PA14_35530/PA14_35520	4
Metabolism	Metabolism of cofactors and vitamins	pau00785	Lipoic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2/40	24/2041	0.0833333333333333	4.25208333333333	2.2653529304838	0.0788288039807522	0.693051081994511	0.680892291082327	PA14_35530/PA14_35520	2
Environmental Information Processing	Signal transduction	pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	8/40	265/2041	0.030188679245283	1.54037735849057	1.3329692637005	0.137632509242723	0.693051081994511	0.680892291082327	PA14_20000/PA14_15200/PA14_15190/PA14_64690/PA14_47390/PA14_06170/PA14_06180/PA14_28980	8
Metabolism	Carbohydrate metabolism	pau00640	Propanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2/40	43/2041	0.0465116279069767	2.37325581395349	1.28649904237724	0.205351142153156	0.693051081994511	0.680892291082327	PA14_35530/PA14_35520	2
Metabolism	Amino acid metabolism	pau00280	Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa UCBPP-PA14	2/40	45/2041	0.0444444444444444	2.26777777777778	1.21559990774928	0.21988209562271	0.693051081994511	0.680892291082327	PA14_35530/PA14_35520	2
Metabolism	Carbohydrate metabolism	pau00660	C5-Branched dibasic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	1/40	13/2041	0.0769230769230769	3.925	1.49549548532474	0.227461846043291	0.693051081994511	0.680892291082327	PA14_38200	1
Cellular Processes	Transport and catabolism	pau04146	Peroxisome - Pseudomonas aeruginosa UCBPP-PA14	1/40	14/2041	0.0714285714285714	3.64464285714286	1.40354295966569	0.242699284977348	0.693051081994511	0.680892291082327	PA14_58000	1
Metabolism	Amino acid metabolism	pau00290	Valine, leucine and isoleucine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	1/40	17/2041	0.0588235294117647	3.00147058823529	1.17135882579861	0.28667446305631	0.693051081994511	0.680892291082327	PA14_38200	1
Metabolism	Metabolism of cofactors and vitamins	pau00130	Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	1/40	21/2041	0.0476190476190476	2.4297619047619	0.930934700829196	0.341453533296475	0.693051081994511	0.680892291082327	PA14_09210	1
Metabolism	Amino acid metabolism	pau00360	Phenylalanine metabolism - Pseudomonas aeruginosa UCBPP-PA14	1/40	21/2041	0.0476190476190476	2.4297619047619	0.930934700829196	0.341453533296475	0.693051081994511	0.680892291082327	PA14_31820	1
Metabolism	Global and overview maps	pau01110	Biosynthesis of secondary metabolites - Pseudomonas aeruginosa UCBPP-PA14	10/40	444/2041	0.0225225225225225	1.14921171171171	0.502416015036529	0.366797945715934	0.693051081994511	0.680892291082327	PA14_33510/PA14_33500/PA14_31820/PA14_38200/PA14_09210/PA14_09220/PA14_58030/PA14_35530/PA14_35520/PA14_55580	10
Metabolism	Metabolism of other amino acids	pau00470	D-Amino acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	1/40	23/2041	0.0434782608695652	2.21847826086957	0.830697029304331	0.367282684286303	0.693051081994511	0.680892291082327	PA14_63940	1
Genetic Information Processing	Translation	pau03010	Ribosome - Pseudomonas aeruginosa UCBPP-PA14	2/40	67/2041	0.0298507462686567	1.52313432835821	0.615458227635832	0.380632877850364	0.693051081994511	0.680892291082327	PA14_17710/PA14_17700	2
Metabolism	Amino acid metabolism	pau00340	Histidine metabolism - Pseudomonas aeruginosa UCBPP-PA14	1/40	25/2041	0.04	2.041	0.740281685344187	0.392123132903938	0.693051081994511	0.680892291082327	PA14_31820	1
Metabolism	Metabolism of cofactors and vitamins	pau00770	Pantothenate and CoA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	1/40	26/2041	0.0384615384615385	1.9625	0.698186459586516	0.404184181854256	0.693051081994511	0.680892291082327	PA14_38200	1
Metabolism	Amino acid metabolism	pau00350	Tyrosine metabolism - Pseudomonas aeruginosa UCBPP-PA14	1/40	27/2041	0.037037037037037	1.88981481481481	0.657920344746628	0.416011791147472	0.693051081994511	0.680892291082327	PA14_31820	1
Metabolism	Carbohydrate metabolism	pau00020	Citrate cycle (TCA cycle) - Pseudomonas aeruginosa UCBPP-PA14	1/40	29/2041	0.0344827586206897	1.75948275862069	0.582270067371447	0.438984227892493	0.693051081994511	0.680892291082327	PA14_58030	1
Metabolism	Amino acid metabolism	pau00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	1/40	32/2041	0.03125	1.59453125	0.47916075766931	0.471799597754403	0.693051081994511	0.680892291082327	PA14_31820	1
Human Diseases	Drug resistance: antimicrobial	pau01501	beta-Lactam resistance - Pseudomonas aeruginosa UCBPP-PA14	1/40	34/2041	0.0294117647058824	1.50073529411765	0.416193708575303	0.492628705412677	0.693051081994511	0.680892291082327	PA14_33750	1
Metabolism	Energy metabolism	pau00720	Other carbon fixation pathways - Pseudomonas aeruginosa UCBPP-PA14	1/40	35/2041	0.0285714285714286	1.45785714285714	0.386206951652153	0.502740739186217	0.693051081994511	0.680892291082327	PA14_58030	1
Genetic Information Processing	Translation	pau00970	Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2/40	86/2041	0.0232558139534884	1.18662790697674	0.249961985276447	0.508869921015597	0.693051081994511	0.680892291082327	PA14_60620/PA14_68030	2
Metabolism	Carbohydrate metabolism	pau00650	Butanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	1/40	38/2041	0.0263157894736842	1.34276315789474	0.301485891921741	0.531912106420421	0.693051081994511	0.680892291082327	PA14_38200	1
Metabolism	Global and overview maps	pau01230	Biosynthesis of amino acids - Pseudomonas aeruginosa UCBPP-PA14	3/40	146/2041	0.0205479452054795	1.04845890410959	0.0858948141238359	0.554440865595609	0.693051081994511	0.680892291082327	PA14_33500/PA14_31820/PA14_38200	3
Metabolism	Metabolism of cofactors and vitamins	pau00860	Porphyrin metabolism - Pseudomonas aeruginosa UCBPP-PA14	1/40	52/2041	0.0192307692307692	0.98125	-0.0193600773165592	0.647406400207727	0.776887680249273	0.763258071823847	PA14_55580	1
Metabolism	Amino acid metabolism	pau00260	Glycine, serine and threonine metabolism - Pseudomonas aeruginosa UCBPP-PA14	1/40	56/2041	0.0178571428571429	0.911160714285714	-0.0952884694155821	0.67494583924203	0.778783660663881	0.765120789424164	PA14_33500	1
Metabolism	Carbohydrate metabolism	pau00620	Pyruvate metabolism - Pseudomonas aeruginosa UCBPP-PA14	1/40	62/2041	0.0161290322580645	0.822983870967742	-0.200081678525062	0.712364372537086	0.791515969485651	0.777629724406955	PA14_58030	1
Cellular Processes	Cellular community - prokaryotes	pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	1/40	111/2041	0.00900900900900901	0.459684684684685	-0.827468838620933	0.895552515461981	0.959520552280694	0.942686858381033	PA14_33750	1
Metabolism	Global and overview maps	pau01200	Carbon metabolism - Pseudomonas aeruginosa UCBPP-PA14	1/40	129/2041	0.00775193798449612	0.395542635658915	-1.00262405350905	0.92847699216546	0.960493440171166	0.9436426780629	PA14_58030	1
Metabolism	Global and overview maps	pau01120	Microbial metabolism in diverse environments - Pseudomonas aeruginosa UCBPP-PA14	2/40	323/2041	0.00619195046439629	0.31594427244582	-1.89409911014634	0.991780854629088	0.991780854629088	0.974381190512789	PA14_33500/PA14_58030	2
