group	file_id	file_name	metric	value	status
fungi	1108845at2759	1108845at2759.faa.mafft.clipkit.treefile	total_tree_length	1.7405	ok
fungi	160593at2759	160593at2759.faa.mafft.clipkit.treefile	total_tree_length	4.0853	ok
fungi	751335at2759	751335at2759.faa.mafft.clipkit.treefile	total_tree_length	4.8309	ok
fungi	1428854at2759	1428854at2759.faa.mafft.clipkit.treefile	total_tree_length	3.5369	ok
fungi	345441at2759	345441at2759.faa.mafft.clipkit.treefile	total_tree_length	1.5775	ok
fungi	1128607at2759	1128607at2759.faa.mafft.clipkit.treefile	total_tree_length	1.7752	ok
fungi	956854at2759	956854at2759.faa.mafft.clipkit.treefile	total_tree_length	2.3893	ok
fungi	543764at2759	543764at2759.faa.mafft.clipkit.treefile	total_tree_length	3.7541	ok
fungi	911863at2759	911863at2759.faa.mafft.clipkit.treefile	total_tree_length	3.9924	ok
fungi	777920at2759	777920at2759.faa.mafft.clipkit.treefile	total_tree_length	2.4491	ok
fungi	261328at2759	261328at2759.faa.mafft.clipkit.treefile	total_tree_length	2.6483	ok
fungi	1038775at2759	1038775at2759.faa.mafft.clipkit.treefile	total_tree_length	1.6704	ok
fungi	1233814at2759	1233814at2759.faa.mafft.clipkit.treefile	total_tree_length	2.4572	ok
fungi	1454155at2759	1454155at2759.faa.mafft.clipkit.treefile	total_tree_length	4.1615	ok
fungi	1459797at2759	1459797at2759.faa.mafft.clipkit.treefile	total_tree_length	3.4726	ok
fungi	1079130at2759	1079130at2759.faa.mafft.clipkit.treefile	total_tree_length	1.9602	ok
fungi	858842at2759	858842at2759.faa.mafft.clipkit.treefile	total_tree_length	2.784	ok
fungi	1322642at2759	1322642at2759.faa.mafft.clipkit.treefile	total_tree_length	1.7299	ok
fungi	761109at2759	761109at2759.faa.mafft.clipkit.treefile	total_tree_length	3.3953	ok
fungi	1076134at2759	1076134at2759.faa.mafft.clipkit.treefile	total_tree_length	2.0681	ok
fungi	1407446at2759	1407446at2759.faa.mafft.clipkit.treefile	total_tree_length	5.0999	ok
fungi	39650at2759	39650at2759.faa.mafft.clipkit.treefile	total_tree_length	2.9087	ok
fungi	1096688at2759	1096688at2759.faa.mafft.clipkit.treefile	total_tree_length	1.9089	ok
fungi	996662at2759	996662at2759.faa.mafft.clipkit.treefile	total_tree_length	2.5756	ok
fungi	1379600at2759	1379600at2759.faa.mafft.clipkit.treefile	total_tree_length	4.9892	ok
fungi	1364586at2759	1364586at2759.faa.mafft.clipkit.treefile	total_tree_length	2.5233	ok
fungi	1257440at2759	1257440at2759.faa.mafft.clipkit.treefile	total_tree_length	2.4078	ok
fungi	817008at2759	817008at2759.faa.mafft.clipkit.treefile	total_tree_length	1.4385	ok
fungi	674160at2759	674160at2759.faa.mafft.clipkit.treefile	total_tree_length	4.5146	ok
fungi	1442062at2759	1442062at2759.faa.mafft.clipkit.treefile	total_tree_length	3.7406	ok
fungi	1112002at2759	1112002at2759.faa.mafft.clipkit.treefile	total_tree_length	2.7029	ok
fungi	450058at2759	450058at2759.faa.mafft.clipkit.treefile	total_tree_length	6.0895	ok
fungi	1358374at2759	1358374at2759.faa.mafft.clipkit.treefile	total_tree_length	2.0416	ok
fungi	774318at2759	774318at2759.faa.mafft.clipkit.treefile	total_tree_length	4.4117	ok
fungi	1488436at2759	1488436at2759.faa.mafft.clipkit.treefile	total_tree_length	3.7242	ok
fungi	919955at2759	919955at2759.faa.mafft.clipkit.treefile	total_tree_length	2.9756	ok
fungi	604979at2759	604979at2759.faa.mafft.clipkit.treefile	total_tree_length	1.6786	ok
fungi	1014314at2759	1014314at2759.faa.mafft.clipkit.treefile	total_tree_length	3.8112	ok
fungi	779909at2759	779909at2759.faa.mafft.clipkit.treefile	total_tree_length	1.1151	ok
fungi	1001705at2759	1001705at2759.faa.mafft.clipkit.treefile	total_tree_length	3.3269	ok
fungi	834694at2759	834694at2759.faa.mafft.clipkit.treefile	total_tree_length	3.3762	ok
fungi	1287401at2759	1287401at2759.faa.mafft.clipkit.treefile	total_tree_length	1.3711	ok
fungi	1129824at2759	1129824at2759.faa.mafft.clipkit.treefile	total_tree_length	3.5612	ok
fungi	917326at2759	917326at2759.faa.mafft.clipkit.treefile	total_tree_length	2.7312	ok
fungi	1490022at2759	1490022at2759.faa.mafft.clipkit.treefile	total_tree_length	2.7118	ok
fungi	671846at2759	671846at2759.faa.mafft.clipkit.treefile	total_tree_length	5.4661	ok
fungi	1178688at2759	1178688at2759.faa.mafft.clipkit.treefile	total_tree_length	3.4052	ok
fungi	1032689at2759	1032689at2759.faa.mafft.clipkit.treefile	total_tree_length	3.2558	ok
fungi	156083at2759	156083at2759.faa.mafft.clipkit.treefile	total_tree_length	0.8477	ok
fungi	324863at2759	324863at2759.faa.mafft.clipkit.treefile	total_tree_length	3.5688	ok
fungi	1377237at2759	1377237at2759.faa.mafft.clipkit.treefile	total_tree_length	2.7935	ok
fungi	946128at2759	946128at2759.faa.mafft.clipkit.treefile	total_tree_length	3.6902	ok
fungi	736068at2759	736068at2759.faa.mafft.clipkit.treefile	total_tree_length	3.9598	ok
fungi	719531at2759	719531at2759.faa.mafft.clipkit.treefile	total_tree_length	2.1409	ok
fungi	1087488at2759	1087488at2759.faa.mafft.clipkit.treefile	total_tree_length	3.6353	ok
fungi	1041560at2759	1041560at2759.faa.mafft.clipkit.treefile	total_tree_length	2.5046	ok
fungi	1247641at2759	1247641at2759.faa.mafft.clipkit.treefile	total_tree_length	4.7409	ok
fungi	1450538at2759	1450538at2759.faa.mafft.clipkit.treefile	total_tree_length	3.2237	ok
fungi	271586at2759	271586at2759.faa.mafft.clipkit.treefile	total_tree_length	4.9254	ok
fungi	1405146at2759	1405146at2759.faa.mafft.clipkit.treefile	total_tree_length	4.9662	ok
fungi	383503at2759	383503at2759.faa.mafft.clipkit.treefile	total_tree_length	4.1218	ok
fungi	1626636at2759	1626636at2759.faa.mafft.clipkit.treefile	total_tree_length	2.1241	ok
fungi	801857at2759	801857at2759.faa.mafft.clipkit.treefile	total_tree_length	3.1103	ok
fungi	708105at2759	708105at2759.faa.mafft.clipkit.treefile	total_tree_length	4.7057	ok
fungi	1030907at2759	1030907at2759.faa.mafft.clipkit.treefile	total_tree_length	4.5706	ok
fungi	655400at2759	655400at2759.faa.mafft.clipkit.treefile	total_tree_length	3.7831	ok
fungi	1049599at2759	1049599at2759.faa.mafft.clipkit.treefile	total_tree_length	2.5485	ok
fungi	944899at2759	944899at2759.faa.mafft.clipkit.treefile	total_tree_length	1.2086	ok
fungi	325552at2759	325552at2759.faa.mafft.clipkit.treefile	total_tree_length	2.6612	ok
fungi	918816at2759	918816at2759.faa.mafft.clipkit.treefile	total_tree_length	3.7669	ok
fungi	1157302at2759	1157302at2759.faa.mafft.clipkit.treefile	total_tree_length	0.6982	ok
fungi	1018517at2759	1018517at2759.faa.mafft.clipkit.treefile	total_tree_length	1.8064	ok
fungi	1193442at2759	1193442at2759.faa.mafft.clipkit.treefile	total_tree_length	2.8731	ok
fungi	931188at2759	931188at2759.faa.mafft.clipkit.treefile	total_tree_length	4.1722	ok
fungi	270107at2759	270107at2759.faa.mafft.clipkit.treefile	total_tree_length	3.3723	ok
