run_id,experiment,outcome_score,success,attempted,submitted,agent_performance_in_galaxy_score,limitation_class,primary_signal,has_galaxy_limitation_evidence,material_external_workaround,missing_tool_or_output_capability,schema_or_api_constraint,service_or_queue_constraint,galaxy_error_count,recovered_galaxy_error_count,unrecovered_galaxy_error_count,total_error_count,has_galaxy_route,included_in_figures,external_manipulation,notes,evidence_excerpt
20260417_223209_bioagent_task_1_alzheimer-mouse,bioagent_task_1_alzheimer-mouse,0.425,False,True,False,40.0,"Galaxy friction, final failure",Galaxy job/tool error,True,False,False,False,False,6,6,0,6,True,True,,,"{""dataset_hid"": 66, ""dataset_id"": ""f9cad7b01a4721359a1f623b1230f030"", ""dataset_name"": ""DESeq2 result file on dataset 37"", ""error_message"": ""Error in data.frame(sample = basename(filenames_in), filename = filenames_in, : \n duplicate row.names: /corral4/main/objects/9/d/4/dataset_9d4f92d9-fcf7-466d-8a5a-8e488ec8d39b.dat"", ""error_signature"": ""duplicate row.names from repeated dataset binding"", ""fixed"": true, ""history_id"": ""bbd44e69cb8906b56adf8f3d859d4301"", ""job_id"": ""bbd44e69cb8906b567fbfcef2c052aa8"", ""resolution"": ""Recovered in preserved history before final successful outputs were produced."","
20260424_172832_bioagent_task_2_comparative-genomics,bioagent_task_2_comparative-genomics,0.0,False,True,False,60.0,Galaxy-blocked failure,API/schema friction,True,False,False,True,False,5,1,4,5,True,True,,,[Errno 2] No such file or directory: '/Users/4475918/Projects/Galaxy_benchmark/outputs/.env' | roary_gene_presence_absence entered terminal dataset state error
20260427_181815_bioagent_task_3_cystic-fibrosis,bioagent_task_3_cystic-fibrosis,1.0,True,True,False,80.0,Galaxy friction recovered,service/queue/disabled,True,False,False,False,True,2,2,0,2,True,True,,,"Expanded 507 MB family VCF upload created a queued zero-byte Galaxy dataset and did not progress after repeated one-minute polling checks. | Compressed family VCF upload remained a queued zero-byte __DATA_FETCH__ Galaxy job through check 9, including extended 15-minute polling cadence; no stdout, stderr, or terminal failure message was available."
20260430T152905Z_medium_experiment_1,experiment_1,1.0,True,True,False,100.0,No explicit Galaxy limitation,none,False,False,False,False,False,0,0,0,0,True,True,,,"{""Evaluation_questions"": {""agent_execution"": {""answer"": ""yes"", ""basis"": [""Galaxy history, uploads, Tabular Learner execution, downloads, and trace snapshots were produced.""], ""failure_count"": 0, ""question"": ""Does the age"
20260430T164923Z_low_context_experiment_1,experiment_1,0.0,False,True,False,60.0,Galaxy-blocked failure,missing output/tool capability,True,False,True,True,False,2,2,0,2,True,True,,"[""Original Galaxy output contains predicted classes only; probability-dependent metrics were not available.""]","[""Original Galaxy output contains predicted classes only; probability-dependent metrics were not available.""] | Parameter 'col1': an invalid option (None) was selected, please verify | Parameter 'col1': an invalid option (None) was selected, please verify"
20260430_104150_high_context_experiment_1,high_context_experiment_1,1.0,True,True,False,60.0,Galaxy friction recovered,API/schema friction,True,False,False,True,False,4,4,0,4,True,True,,,At least one Galaxy dataset entered error state | At least one Galaxy dataset entered error state
20260501T143346Z_bixbench_task_1,bixbench_task_1,0.0,False,True,True,70.0,Galaxy-blocked failure,API/schema friction,True,False,False,True,False,3,3,0,3,True,True,No external scientific manipulation recorded; execution artifacts do not show local derived-input preparation beyond standard file upload/preservation.,,Galaxy returned 400: Must specify a valid tool_id to use this endpoint. | duplicate row.names because nested API payload selected only one dataset for both factor levels
20260501T145607Z_galaxy_bixbench_task_2,BixBench task 2,0.0,False,True,True,,Galaxy-blocked failure,external workaround,True,True,False,True,True,4,3,1,4,True,True,"Non-Galaxy preparation created DESeq2/enrichment-ready inputs and intermediate files from public data; Galaxy DESeq2/g:Profiler were used where recorded, but local preparation materially shaped the analysis inputs and answer extraction.",,"Non-Galaxy preparation created DESeq2/enrichment-ready inputs and intermediate files from public data; Galaxy DESeq2/g:Profiler were used where recorded, but local preparation materially shaped the analysis inputs and answer extraction. | Galaxy Interactive Tools are temporarily disabled, but should be available again within 24 hours (on May 1). | Upload parameter space_to_tab accepts only Yes on this Galaxy upload tool; using No rejected all prepared files."
20260501T152124Z_galaxy_bixbench_task_205,BixBench task 205,1.0,True,True,True,,"Galaxy-limited, solved via workaround",external workaround,True,True,False,False,False,0,0,0,0,True,True,Non-Galaxy preparation converted the workbook into a tidy differential-expression table and applied task-specific filtering/grouping structure; Galaxy query_tabular extracted the submitted tissue answer from that prepared table.,,Non-Galaxy preparation converted the workbook into a tidy differential-expression table and applied task-specific filtering/grouping structure; Galaxy query_tabular extracted the submitted tissue answer from that prepared table.
20260501T195047Z_galaxy_bixbench_task_60,BixBench task 60,0.0,False,True,True,,"Galaxy-limited, workaround insufficient",external workaround,True,True,False,False,False,1,1,0,1,True,True,Non-Galaxy preparation parsed SCOGS/tree/alignment metrics into task60_gene_metrics.tsv; Galaxy query_tabular selected the submitted scalar from that prepared metrics table.,,Non-Galaxy preparation parsed SCOGS/tree/alignment metrics into task60_gene_metrics.tsv; Galaxy query_tabular selected the submitted scalar from that prepared metrics table. | SQL syntax error because column name group is reserved.
