Table S5. Genotyping methods, quality control of SNPs, imputation, and statistical analysis in discovery and replication studies in the Hispanic/Latino Anthropometry (HISLA) Consortium.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31
			Principal components		Genotyping QC				Imputation			Autosomal SNPs in meta-analysis										Meta-Analysis2									
Study	Platform	Genotype calling algorithm	Software	SNPs used	Inclusion criteria			Post-QC SNPs	Inclusion criteria			BMI			WHR			HEIGHT			Stage2	lGC (BMI)			lGC (WHR)			lGC (HEIGHT)			Analyses software
Study					MAC / MAF	SNP Call rate	P for HWE	N 	Imputation software	MAC / MAF1	Imputation quality	All	Men	Women	All	Men	Women	All	Men	Women	Stage	All	Men	Women	All	Men	Women	All	Men	Women	
BioMe 1	Illumina OmniExpressExome Array	zCall (GenomeStudio)	PLINK	Genotyped SNPs only, MAF,1%, pruned R2 < 0.2, chr 1-22	none	≥ 95%	">5x10-5 (prior to imputation)
no filter after imputation"	866864	IMPUTE2 1000G phase1 (March12)	MAF ≥ 1%	≥0.1	-	13166510	13479908	-	-	-	-	13166748	13479492	Stage 1	-	0.97	0.97	-	-	-	-	0.99	0.99	SNPTEST 2.4.1
BioMe 2	Illumina Infinium Multi-Ethnic Genotype Array (MEGA) Chip	GenomeStudio version 2011.1, Genotyping Module 1.9.4 and GenTrain version 1.0.	PLINK	Genotyped SNPs only, MAF,1%, pruned R2 < 0.2, chr 1-22	MAF ≥ 1%	≥ 98%	>1E-4	`	IMPUTE2 1000G phase3 (Sept14)	MAC > 1	≥0.3	-	43543416	43543416	-	-	-	-	43543416	43543416	Stage 2	-	0.969686448669175	0.965388400531471	-	-	-	-	0.992207374486328	0.99409679443746	SNPTEST 2.5
BHS	"Genome-wide SNP
Human Array 6.0
(Affymetrix 6.0)"	Birdseed	EIGENSOFT	GWAS	MAF ≥ 1%	≥ 90%	>1E-4	8683925	IMPUTE2 1000 Genomes Cosmopolitan Panel	MAC > 6	≥0.3	24155377	-	-	24155377	-	-	24155377	-	-	Stage 1	-	-	1.01155562173141	-	-	1.00761279987948	-	-	1.03064065699393	ProbABEL
CAMA	Oncoarray (Illumina) 	Illumina GenomeStudio	EIGENSOFT	GWAS (CHR 1-22; pruned R2<=0.2)	MAF ≥ 1%	≥ 95%	none	376751	Michigan Server/ Minimac3/HRC	MAF ≥ 1%	≥0.3	-	-	Cases: 9,462,403 Controls: 9,351,290	-	-	Cases: 9,460,734 Controls: 9,354,781	-	-	Cases: 9,462,189; Controls: 9,352,140	Stage 2			Cases: 0.99 Controls: 1.015			Cases: 1.007 Controls: 1.071			Cases: 0.994  Controls: 1.016	PLINK v1.07
CANDELA	Illumina HumanOmniExpress v12.0	Illumina GenomeStudio (GenCall)	EIGENSTRAT	GWAS	MAF ≥ 1%	≥ 95%	none	626199	IMPUTE2	MAF >1%	≥0.5	-	8390419	8449854	-	8390419	8449854	-	8390419	8449854	Stage 1	-	0.99	1.01	-	0.99	0.99	-	0.99	1.03	PLINK v1.9
CBCS	Affymetrix 6.0 arrays	GenomeStudio v2010.3 	EIGENSOFT	GWAS	MAF ≥ 1%	≥ 95%	none	650687	IMPUTE2 	MAF ≥ 1%	≥0.5	-	-	"Cases: 10,259,328 
Controls: 10,155,600 "	-	-	"Cases: 10,145,029 
Controls: 10,127,179 "	-	-	"Cases: 10,260,169 
Controls: 10,168,253 "	Stage 1	-	-	"Cases: 0.96
Controls: 0.96"	-	-	"Cases: 0.96
Controls: 0.95"	-	-	"Cases: 0.96
Controls: 0.96"	PLINK v1.07
FIND AI	Affy 6.0	Birdseed	EIGENSOFT	GWAS	MAF ≥ 1%	≥ 95%	≥1E-6	742825	"SHAPEIT/
IMPUTE2"	MAF ≥ 0.5%	≥0.6	6320547	6230922	6278460	-	-	-	6321464	6.230,906	6.277,979	Stage 1	1.107	1.078	1.105	—	—	—	1.114	1.089	1.107	R (GWAF)
FIND MA	Affy 6.0	Birdseed	EIGENSOFT	GWAS	MAF ≥ 1%	≥ 95%	≥1E-6	810248	"SHAPEIT/
IMPUTE2"	MAF ≥ 0.5%	≥0.6	9147540	9003678	9077113	-	-	-	9147540	9003678	9077113	Stage 1	1.025	1.045	1.017	—	—	—	1.024	1.024	1.034	R (GWAF)
GOLDR	Omni Express	GenomeStudio	EIGENSOFT	GWAS	MAF ≥ 1%	≥ 90%	>1E-6	584043	Minimac3	MAF > 1%	≥0.1	10343752	10343752	10343752	10343752	10343752	10343752	10343752	10343752	10343752	Stage 2	1.0175875	1.026888	1.01229	0.9884868	0.9957618	0.9798324	1.0317019	0.9835838	1.055924	raremetalworker
