Table S4. Study-specific descriptive statistics of studies of children/adolescents in Obesity case control (2-18 years), BMI-for-age and HEIGHT-for-age analyses (5-18 years) in the Hispanic/Latino Anthropometry (HISLA) Consortium.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31	Unnamed: 32	Unnamed: 33	Unnamed: 34	Unnamed: 35
Study-Analyses	Trait	ALL 2-18 years							Males 2-18 years (controls)							Females 2-18 years (controls)							Males 2-18 years (cases)							Females 2-18 years (cases)					
		n	mean	SD	median	min	max		n	mean	SD	median	min	max		n	mean	SD	median	min	max		n	mean	SD	median	min	max		n	mean	SD	median	min	max
SLS-OBESITY CASE CONTROL	Age (yrs)	310	10.03	0.07	10	10	10.75		88	10.01	0.03	10	10	10.17		97	10.04	0.1	10	10	10.75		73	10.03	0.08	10	10	10.58		52	10.02	0.04	10	10	10.08
	Height (cm)	310	138.47	6.59	138.15	118.8	161		88	135.8	5.25	136.25	122.8	152		97	136.94	6.44	136.2	118.8	150		73	140.65	6.14	140.5	128	154.1		52	142.8	6.45	143.25	129	161
	Height-for-age percentile	310	49.26	29.06	48.37	0.13	99.9		88	36.25	23.65	35.35	0.67	97.63		97	44.17	28.63	39.42	0.13	85.88		73	57.61	28.33	58.77	5.02	98.89		52	69.04	25.4	77	7.61	99.94
	Weight (kg)	310	37.95	11.72	32.5	22.5	76.9		88	29.04	2.73	29	23.2	36.8		97	29.64	3.26	29.2	22.5	36.5		73	50	7.82	49.1	36.5	76.9		52	51.7	6.81	51	39.6	68.5
	Weight-for-age percentile	310	55.96	35.29	50.19	1.1	99.88		88	29.45	17.62	27.59	1.43	76.7		97	29.42	18.32	26.09	1.1	69.48		73	95.01	5.17	96.79	75.53	99.88		52	95.51	4.11	96.79	79.66	99.71
	BMI (kg/m²)	310	19.55	4.92	16.45	13.38	33.5		88	15.71	0.65	15.89	14.09	16.61		97	15.76	0.76	15.89	13.38	16.88		73	25.1	2.53	24.6	22.12	33.5		52	25.28	2.22	24.55	22.98	32
	BMI-for-age percentile	310	57.64	34.13	44.09	1.47	99.5		88	31.12	12.9	34.44	3.99	49.68		97	30.58	12.78	31.53	1.47	49.83		73	97.46	1.26	97.57	95.01	99.5		52	97.09	1.19	97	95.08	99.41
CHOP-OBESITY CASE CONTROL	Age (yrs)	362	9.463528343298268	4.981909166917918	9	2	18		65	8.230474183350895	5.52503941977746	6.901369863013699	2	18		68	10.559226430298146	5.233034271059204	11.015068493150686	2	18		122	9.090141477655516	4.887214054170745	8	2	18		107	9.941979260017924	4.407684864477152	9.476712328767123	2	18
	Height (cm)	362	130.68675900276992	28.634513261876325	132	61.6	193.04		65	121.15538461538459	27.916812758898306	118.7	81.28	178		68	134.9470588235294	26.520415062758143	139.48000000000002	82.6	170		122	130.69801652892565	31.31960721390105	124.6	62.2	193.04		107	133.7566355140187	26.11970780355787	137.4	61.6	170.18
	Height-for-age percentile	362							65							68							122							107					
	Weight (kg)	362	44.38127071823204	29.795500069970043	35.6	10	156.36		65	25.97584615384616	14.902263134787995	21.7	10	68.18		68	32.52647058823528	14.560415133157061	30.95	10.4	56.36		122	51.26106557377053	35.53533850023437	36.480000000000004	11.18	147.1		107	55.25177570093459	29.021793431608444	52.2	12.5	156.36
	Weight-for-age percentile	362							65							68							122							107					
	BMI (kg/m²)	362	23.425414364640876	10.464175290450136	20.45	13.5	160.2		65	16.206153846153843	1.6842911085859145	15.5	13.6	21.6		68	16.701470588235292	1.962065059479307	16.15	13.5	20.5		122	25.963934426229518	6.922081872544503	23.85	18	45.8		107	29.189719626168216	14.565524911872721	26.9	18.4	160.2
	BMI-for-age percentile	362	73.0561109690464	34.34500536609973	97.0735090831853	0.48424660274543296	99.99997185171223		65	28.415872202149124	15.742005736624648	29.112026492382114	0.48424660274543296	49.76970949385303		68	30.881606758236344	14.30533226727638	32.64219031625109	0.4865562518069221	49.22075897745181		122	98.35389490700656	1.30349304653302	98.74519430311462	95.05307454511173	99.99997185171223		107	98.13229943402075	1.4123954986553822	98.39325243095752	95.01279988842634	99.99812747740705
MEXICO CITY-OBESITY CASE CONTROL	Age (yrs)	574	9.16	2.04	9	5	15		87	9.21	2.27	9	6	14		91	8.97	2.14	9	6	15		232	9.36	1.98	10	6	15		164	9.01	1.97	9	5	13
