Table S1. Study design and sample quality control of discovery and replication studies (study name, abbreviations, study type, sample size, reference) in the Hispanic/Latino Anthropometry (HISLA) Consortium.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16
Trait	Study		Assessment of Hispanic/Latino Ethnicity, if applicable	Hispanic/Latino Heritage or Country/Region of Origin, as applicable (Approximate Dist.)	Study design	Recruitment Center(s)	Calendar Period of Phenotypic Characterization	"Total sample size
(N)"	Stage	Sample QC		Samples in analyses (N)			Anthropometric assessment method	References: PubMed PMID (with PMCID where available)
	Short name	Full name								Call rate*	Summary of exclusions	BMI	WHR	HEIGHT		
BMI, Height	BioMe 1   	Mount Sinai BioMe Biobank Program	Self-reported	"Country/Region of Origin: USA (36%); South America [10%, including from Ecuador (4%) and Peru (1%)];
Central America (3%); Mexico (3%);
 the Carribean (48%, including from Puerto Rico (28%), the Dominican Republic (19%) and Cuba (1%)]"	Electronic Health Record-linked clinical care cohort	Participants are largely recruited at the Upper East Side / East Harlem, New York, NY, USA	2007-2011	4711	Stage 1	≥ 98%	"1) Heterozygosity: coefficient < -0.1 or > 0.3 for common variants (MAF>1%); inbreeding coefficient < 0.4 or > 0.9 for rare variants (MAF<1%); 2) Other exclusions: Sex mismatch, Related Individuals a
nd Ancestry Outliers, missing body weight and height."	1,764 men, 2,944 women	-	1,765 men, 2,946 women	Measured	23743551 (PMC3795928)
BMI, Height	BioMe 2	Mount Sinai BioMe Biobank Program	Self-reported	"Country/Region of Origin: USA (36%); South America [10%, including from Ecuador (4%) and Peru (1%)];
Central America (3%); Mexico (3%); the Carribean (48%, including from Puerto Rico (28%), the Dominican Republic (19%) and Cuba (1%)]"	Electronic Health Record-linked clinical care cohort	Participants are largely recruited at the Upper East Side / East Harlem, New York, NY, USA	2009-2015	3632	Stage 2	≥ 98%	"1) Related samples, 2) ancestry outlier, 3) missing body weight and height.

Genotyping was part of PAGE, genotype QC and imputation has been performed at the University of Washington
"	1,307 men, 2,317 women	-	1,309 men, 2,323 women	Measured	31217584 (PMC6785182)
BMI, WHR, Height	BHS	Baependi Heart Study	Admixed sample from General Population	Country of Origin: Brazil (100%)	"Family‐based or 
related individuals"	From a highly admixed population of a city in a rural area in Brazil.	December 2005 and January 2006	1120	Stage 1	≥ 90%	"1) Genotyping missing rate of samples.
2) Sex discrepancies.
3) significance of identity-by-descent (IBD) sharing."	1098	1107	1101	Measured	18430212 (PMC2386446), 27797990 (PMC5093390)
BMI, WHR, Height	CAMA	National Institute of Public Health Breast Cancer (Cancer de Mama) Study	Samples from Mexico	Country of Origin: Mexico (100%)	Breast Cancer Cases and Controls	Samples from 4 States in Mexico: Mexico City, Monterrey, Veracruz, Puebla. In each region,cases were sampled from hosptials serving one of 3 health systems in Mexico and controls were sampled from the same regions served by this hosptial and matched to cases based on age and health system.	2004-2008	1275	Stage 2	≥ 95%	(1) Ethnic outlier by PCA; (2) 5SD heterozygosity outliers; (3)  kinship >= 0.088 removed; (5) genetic sex consistent with being a woman	Cases: 682; Controls 593	Cases: 674; Controls 587	Cases: 682; Controls 593	Measured	20332279 (PMC2852491), 23033240 (PMC3507612), 24054997 (PMC4049087), 20084545
BMI, WHR, Height	CANDELA	Consortium for the Analysis of the Diversity and Evolution of Latin America	Sampled from Latin American countries with no known parents or grandparents outside Latin America, see PMID:25254375 (PMC4177621)	Country of Origin: Colombia (25%), Brazil (10%), Chile (27%), Mexico (19%), Peru (19%)	Healthy Volunteers	Mexico City (Mexico), Medellin (Colombia), Lima (Peru), Arica (Chile), Porto Alegre (Brazil)	2010-2015	6397	Stage 1	≥ 95%	1) Duplicates; 2) X or Y-chromosome concordance check failure (sex estimated from sex chromosome genotypes not matching recorded sex; 3) relatedness (IBD > 0.1); 4) Outliers in genetic PCs	6395	6395	6388	Measured	25254375 (PMC4177621), 26926045 (PMC4773514), 27193062 (PMC4874031)
BMI, WHR, Height	CBCS	California Breast Cancer Studies**	Self-identification	Country/Region of Origin for SFBCS: USA (45%), Mexico (33%), Central America (16%), South American (5%), Other (<1%).                               Country/Region of Origin for NC-BCFR: USA (46%), Mexico (34%), Central America (12%), South America (6%), Other/missing (2%)	SFBCS: Population-based case-control study; NC-BCFR: Population-based family study	SFBCS: San Franciso Bay Area, California, USA        NC-BCFR: Greater San Francisco Bay Area and Sacramento Area, California, USA	SFBCS: 1995-2004            NC-BCFR: 1995-2011	1,557 (SFBCS: 868, NC-BCFR: 689)	Stage 1	≥ 95%	"See PMIDs 25327703 (PMC4204111), 
30642363 (PMC6332913)"	1524	984	1557	SFBCS: Measured NC-BCFR: Self-report	"16365008, 30835011 (PMC6548459), 25327703 (PMC4204111), 
30642363 (PMC6332913)"
BMI, Height	FIND AI	Family Investigation of Nephropathy and Diabetes	Self-identification and PCA for ancestry	Heritage: American Indian or Native American (100%, Mostly Pima and Zuni)	Participants with type 2 diabetes ascertained for diabetic nephropathy	Three clinical sites across the USA:  (Harbor-UCLA Medical Center 0.1%; U. New Mexico Depts. of Internal Medicine and Family & Community Medicine 6.9%; NIDDK-Phoenix Diabetes and Arthritis Epidemiology Section 93.0%)	2000-2004	840	Stage 1	≥ 95%	(1) Ethnic outlier by PCA; (2) genomewide heterozygosity outliers; (3) blind duplicate concordance; (4) genetic relatedness inconsistent with pedigree; (5) genetic sex inconsistent with clinical data	831	-	840	Measured	15642484, 26305897 (PMC4549309)
BMI, Height	FIND MA	Family Investigation of Nephropathy and Diabetes	Self-identification and PCA for ancestry	Heritage: Mexican (100%)	Participants with type 2 diabetes ascertained for diabetic nephropathy	Six clinical sites across the USA (CWRU 0.4%; Harbor-UCLA Medical Center 45.4%; UC Irvine Medical Center 8.2%; U Texas Health Science Center San Antonio 23.3%; UCLA 22.6%; U. Chicago 0.1%	2000-2004	1388	Stage 1	≥ 95%	(1) Ethnic outlier by PCA; (2) genomewide heterozygosity outliers; (3) blind duplicate concordance; (4) genetic relatedness inconsistent with pedigree; (5) genetic sex inconsistent with clinical data	1388	-	1388	Measured	15642484, 26305897 (PMC4549309)
