# normalized ATAC accessibility diagnostic
# method=Pearson correlation of log1p(CPM) across 2430700 genomic windows
# chrom_chunks_observed=63	chrom_chunks_declared=63
# totals=Bladder:701506327,Brain:1168148790,Cloaca:484000505,GallBladder:565994637,Gill:1094125058,Heart:868549497,Intestine:699794434,Kidney:745602917,Limb:1147926115,Liver:398317869,Lung:877686879,Pancreas:1398702406,Prostate:973845979,Spleen:497829833,Stomach:455786546
pair	sample_a	sample_b	log1p_cpm_pearson
pair	Bladder	Limb	0.92773502
pair	Bladder	Lung	0.91040323
pair	Kidney	Limb	0.90944316
pair	Limb	Lung	0.90874578
pair	Gill	Lung	0.90612609
pair	Bladder	Kidney	0.90562564
pair	Gill	Limb	0.90260906
pair	Intestine	Stomach	0.89547802
pair	Brain	Limb	0.89525544
pair	Cloaca	Intestine	0.89170819
pair	Brain	Kidney	0.88439602
pair	Bladder	Brain	0.88255481
pair	Cloaca	Stomach	0.87899793
pair	Cloaca	Lung	0.87633938
pair	Limb	Pancreas	0.87507047
pair	Intestine	Lung	0.87468397
pair	Intestine	Liver	0.87208707
pair	Kidney	Lung	0.87097676
pair	Kidney	Pancreas	0.87007742
pair	Intestine	Pancreas	0.86965069
pair	Bladder	Gill	0.86793188
pair	Lung	Spleen	0.86697816
pair	Liver	Pancreas	0.86567620
pair	Limb	Spleen	0.86549198
pair	Intestine	Limb	0.86070301
pair	Brain	Lung	0.86029088
pair	Brain	Pancreas	0.85694044
pair	Bladder	Prostate	0.85482666
pair	Gill	Intestine	0.85424431
pair	Cloaca	Gill	0.85383348
pair	Lung	Pancreas	0.85349619
pair	Gill	Stomach	0.85270831
pair	Lung	Prostate	0.85215267
pair	Bladder	Pancreas	0.84813647
pair	Limb	Prostate	0.84744758
pair	Gill	Prostate	0.84639437
pair	Lung	Stomach	0.84555766
pair	Bladder	Intestine	0.84528509
pair	Liver	Stomach	0.84394100
pair	Bladder	Spleen	0.84056643
pair	Liver	Lung	0.83754935
pair	Limb	Liver	0.83747560
pair	Intestine	Kidney	0.83435321
pair	Kidney	Prostate	0.83411150
pair	Bladder	Cloaca	0.83381320
pair	Cloaca	Limb	0.83190352
pair	Gill	Spleen	0.82792633
pair	Cloaca	Liver	0.82605287
pair	GallBladder	Pancreas	0.82500059
