# authoritative public GEO prefix matching
# target_chunk=chr1p_1	source_chrom=chr1p_1	declared_target_size=472565920	input_windows=7132	range_bytes=67108864
# conventions=overlap counts a BED fragment in every overlapping window; start and midpoint are sensitivity checks
mode	public_tissue	best_table_label	pearson	exact_fraction	second_table_label	second_pearson	common_windows	source_records	source_count_sum	max_source_end	prefix_bytes
overlap	Bladder	Bladder	0.99999962	0.88670780	Limb	0.98135285	7132	6491996	2391759	212224054	67108864
overlap	Brain	Brain	0.99999973	0.80860909	Kidney	0.96036988	7132	6616091	4069241	126587811	67108864
overlap	Cloaca	Stomach	0.99999971	0.92218172	Cloaca	0.96589628	7132	7522430	1603597	385401949	67108864
overlap	GallBladder	GallBladder	0.99999927	0.90998317	Pancreas	0.86511531	7132	7623519	1786337	359939424	67108864
overlap	Gill	Gill	0.99999982	0.82950084	Lung	0.96030664	7132	6482646	3725351	129299428	67108864
overlap	Heart	Heart	0.99999977	0.85796411	Lung	0.97646111	7132	6405946	3086304	152554227	67108864
overlap	Intestine	Intestine	0.99999983	0.87913629	Cloaca	0.96365288	7132	7511978	2530299	237122295	67108864
overlap	Kidney	Kidney	0.99999957	0.87380819	Bladder	0.96513168	7132	6510486	2640231	194591839	67108864
overlap	Limb	Limb	0.99999977	0.82094784	Bladder	0.98135152	7132	6736487	3906199	132448606	67108864
overlap	Liver	Liver	0.99999962	0.92386427	Intestine	0.95996102	7132	7333954	1516250	426997473	67108864
overlap	Lung	Lung	0.99999978	0.84828940	Heart	0.97646593	7132	6409419	3131549	154072505	67108864
overlap	Pancreas	Pancreas	0.99999979	0.77621985	Kidney	0.93168828	7132	7624037	4628865	127475431	67108864
overlap	Prostate	Prostate	0.99999984	0.82627594	Lung	0.94527790	7132	6650273	3706787	135724186	67108864
overlap	Spleen	Spleen	0.99999972	0.90114975	Lung	0.96527804	7132	6526418	2095905	264938126	67108864
overlap	Stomach	Cloaca	0.99999979	0.91993831	Stomach	0.96589820	7132	7508112	1659854	372386003	67108864
start	Bladder	Bladder	0.99971556	0.25084128	Limb	0.98116924	7132	6491996	2360861	212224054	67108864
start	Brain	Brain	0.99975093	0.17498598	Kidney	0.95985268	7132	6616091	4016729	126587811	67108864
start	Cloaca	Stomach	0.99972220	0.47265844	Cloaca	0.96583618	7132	7522430	1587883	385401949	67108864
start	GallBladder	GallBladder	0.99980395	0.39778463	Pancreas	0.86486703	7132	7623519	1768758	359939424	67108864
start	Gill	Gill	0.99976669	0.20232754	Lung	0.96058812	7132	6482646	3679870	129299428	67108864
start	Heart	Heart	0.99973790	0.21606842	Lung	0.97634880	7132	6405946	3047864	152554227	67108864
start	Intestine	Intestine	0.99967318	0.33314638	Cloaca	0.96328618	7132	7511978	2503793	237122295	67108864
start	Kidney	Kidney	0.99972242	0.23107123	Bladder	0.96524332	7132	6510486	2607605	194591839	67108864
start	Limb	Limb	0.99976312	0.19489624	Bladder	0.98111177	7132	6736487	3860053	132448606	67108864
start	Liver	Liver	0.99973412	0.45947841	Intestine	0.95968526	7132	7333954	1500925	426997473	67108864
start	Lung	Lung	0.99974874	0.21045990	Heart	0.97625930	7132	6409419	3091384	154072505	67108864
start	Pancreas	Pancreas	0.99982810	0.22125631	Kidney	0.93187166	7132	7624037	4581544	127475431	67108864
start	Prostate	Prostate	0.99977293	0.20443073	Lung	0.94531133	7132	6650273	3656640	135724186	67108864
start	Spleen	Spleen	0.99974169	0.28028603	Lung	0.96511785	7132	6526418	2068021	264938126	67108864
start	Stomach	Cloaca	0.99963034	0.45246775	Stomach	0.96550222	7132	7508112	1642263	372386003	67108864
midpoint	Bladder	Bladder	0.99983685	0.16797532	Limb	0.98136258	7132	6491996	2361091	212224054	67108864
midpoint	Brain	Brain	0.99985842	0.08553001	Kidney	0.95996584	7132	6616091	4016994	126587811	67108864
midpoint	Cloaca	Stomach	0.99984415	0.41811554	Cloaca	0.96576114	7132	7522430	1588049	385401949	67108864
midpoint	GallBladder	GallBladder	0.99986714	0.33693214	Pancreas	0.86458763	7132	7623519	1768973	359939424	67108864
midpoint	Gill	Gill	0.99986989	0.10656197	Lung	0.96031689	7132	6482646	3680143	129299428	67108864
midpoint	Heart	Heart	0.99985509	0.13095906	Lung	0.97643634	7132	6405946	3048194	152554227	67108864
midpoint	Intestine	Intestine	0.99981728	0.26500280	Cloaca	0.96330033	7132	7511978	2504118	237122295	67108864
midpoint	Kidney	Kidney	0.99983829	0.15044868	Bladder	0.96526325	7132	6510486	2607905	194591839	67108864
midpoint	Limb	Limb	0.99986916	0.10740325	Bladder	0.98115081	7132	6736487	3860350	132448606	67108864
midpoint	Liver	Liver	0.99984516	0.40521593	Intestine	0.95962751	7132	7333954	1501059	426997473	67108864
midpoint	Lung	Lung	0.99986182	0.12380819	Heart	0.97637510	7132	6409419	3091762	154072505	67108864
midpoint	Pancreas	Pancreas	0.99990125	0.12507011	Kidney	0.93167308	7132	7624037	4581761	127475431	67108864
midpoint	Prostate	Prostate	0.99987388	0.11315199	Lung	0.94514657	7132	6650273	3656990	135724186	67108864
midpoint	Spleen	Spleen	0.99985580	0.20443073	Lung	0.96518483	7132	6526418	2068316	264938126	67108864
midpoint	Stomach	Cloaca	0.99979871	0.39119462	Stomach	0.96580760	7132	7508112	1642468	372386003	67108864
failures	tissue	error	detail
