# ATAC sample-swap diagnostic
# method=Pearson correlation of log1p counts across all genomic windows
# rows=2430700	bad_rows=0	columns=15	chrom_chunks_in_sizes=63
# chrom_chunks_observed=63	chrom_chunks_missing=0
section	metric	value
sample	Bladder	total=701506327;nonzero_windows=2430413
sample	Brain	total=1168148790;nonzero_windows=2430611
sample	Cloaca	total=484000505;nonzero_windows=2429721
sample	GallBladder	total=565994637;nonzero_windows=2429999
sample	Gill	total=1094125058;nonzero_windows=2430327
sample	Heart	total=868549497;nonzero_windows=2231447
sample	Intestine	total=699794434;nonzero_windows=2430037
sample	Kidney	total=745602917;nonzero_windows=2430471
sample	Limb	total=1147926115;nonzero_windows=2430556
sample	Liver	total=398317869;nonzero_windows=2429663
sample	Lung	total=877686879;nonzero_windows=2430229
sample	Pancreas	total=1398702406;nonzero_windows=2430456
sample	Prostate	total=973845979;nonzero_windows=2430400
sample	Spleen	total=497829833;nonzero_windows=2430245
sample	Stomach	total=455786546;nonzero_windows=2429655
pair	sample_a	sample_b	log1p_pearson
pair	Bladder	Limb	0.93197780
pair	Gill	Lung	0.92806728
pair	Kidney	Limb	0.92155170
pair	Bladder	Kidney	0.91685529
pair	Brain	Limb	0.91285498
pair	Brain	Kidney	0.90592152
pair	Intestine	Pancreas	0.90562344
pair	Bladder	Brain	0.90280368
pair	Intestine	Stomach	0.89243304
pair	Cloaca	Intestine	0.89061489
pair	Liver	Pancreas	0.88923953
pair	Bladder	Prostate	0.88007470
pair	Limb	Spleen	0.87918591
pair	Limb	Prostate	0.87765900
pair	GallBladder	Pancreas	0.87673375
pair	Intestine	Liver	0.87556113
pair	Gill	Limb	0.87546211
pair	Limb	Lung	0.87204032
pair	Bladder	Lung	0.87024465
pair	Kidney	Prostate	0.86770654
pair	Cloaca	Pancreas	0.86764706
pair	Cloaca	Stomach	0.86667272
pair	Bladder	Spleen	0.85937102
pair	Pancreas	Stomach	0.85908610
pair	Brain	Prostate	0.85656530
pair	Prostate	Spleen	0.85542564
pair	Liver	Stomach	0.85261563
pair	Cloaca	Lung	0.84924609
pair	Kidney	Spleen	0.84694755
pair	Gill	Intestine	0.84662524
pair	Cloaca	Gill	0.84637052
pair	Kidney	Lung	0.84596510
pair	Intestine	Lung	0.84555678
pair	Bladder	Gill	0.84343950
pair	Lung	Pancreas	0.83812786
pair	Gill	Prostate	0.83791741
pair	Brain	Lung	0.83745916
pair	Brain	Spleen	0.83559783
pair	Lung	Spleen	0.83544141
pair	Lung	Prostate	0.83480827
pair	Limb	Pancreas	0.83297058
pair	Gill	Stomach	0.83047291
pair	Cloaca	Liver	0.83026499
pair	Intestine	Limb	0.83021359
pair	Gill	Pancreas	0.82699876
pair	Kidney	Pancreas	0.82623512
pair	Brain	Pancreas	0.82514085
pair	Brain	Gill	0.82116622
pair	Gill	Spleen	0.82062901
pair	Gill	Kidney	0.81816622
pair	Cloaca	Limb	0.81680869
pair	Intestine	Kidney	0.81051620
pair	Lung	Stomach	0.81017316
pair	Brain	Intestine	0.80923436
pair	Bladder	Cloaca	0.80909468
pair	Cloaca	Prostate	0.80752657
pair	Bladder	Intestine	0.80730175
pair	Bladder	Pancreas	0.80693133
pair	GallBladder	Liver	0.80452006
pair	GallBladder	Intestine	0.80009411
pair	Intestine	Prostate	0.79857600
pair	Liver	Lung	0.79732931
pair	Gill	Liver	0.79697999
pair	Brain	Cloaca	0.79696747
pair	Limb	Stomach	0.79614992
pair	Limb	Liver	0.79488081
pair	Prostate	Stomach	0.78988057
pair	Kidney	Liver	0.78530047
pair	Cloaca	Kidney	0.78463005
pair	Intestine	Spleen	0.77961926
