GroupBy(donor_id)	mean(ifn_score)	count(ifn_score)
donor1	-0.48022283380682	11264
donor10	-0.84425638505881	14101
donor11	-0.50460589267683	5942
donor12	-0.47884400439863	8704
donor13	-0.16216252605976	5756
donor14	2.1480106023273	15886
donor15	-0.48632917876046	5857
donor16	-0.68040199036393	6108
donor17	-0.50513899009639	8626
donor18	1.1570575530728	7557
donor19	-0.33949379047113	7523
donor2	-0.54000303377604	10595
donor20	-0.38962654591489	5868
donor21	-0.54600055109914	9332
donor22	-0.53873244199355	5492
donor23	-1.1407059800664	5762
donor24	-0.60998553726549	7828
donor25	-0.58561338097992	6916
donor26	0.74461243667914	10801
donor27	-0.53610148937624	8364
donor28	-0.56232221165224	6157
donor29	-0.57791474439939	10745
donor3	1.4522816531928	11327
donor30	0.27777407356385	5185
donor31	-0.16160448763337	5851
donor32	-0.51615812035824	7848
donor33	2.3443385345997	5159
donor4	-0.73538200987177	17134
donor5	-0.48739573248654	11067
donor6	-0.79653679166399	6663
donor7	-0.61237779740872	8490
donor8	-0.33315062662996	7888
donor9	-0.63954373940466	7837
