gene	strain	log2FoldChange	pvalue	padj
PA14_00010	97	0.004074872687748865	0.9725244825092945	0.9848605880215757
PA14_00020	97	0.03547577793908374	0.7062243376415628	0.8368125396807842
PA14_00030	97	0.12929248969026297	0.3637421844303027	0.573809073523202
PA14_00050	97	0.10716380948963256	0.12178936458710901	0.3047610205297
PA14_00060	97	0.15977185142692107	0.07432272416717119	0.23040044491823067
PA14_00070	97	-0.08507669243977745	0.5215055813762638	0.7012770023675278
PA14_00080	97	-0.25165071712945775	0.24064755476097047	0.4537346972329136
PA14_00090	97	0.4792737920345189	0.008926309957956294	0.07454852878560606
PA14_00100	97	0.5872486004380235	0.0033083603969020726	0.04154682992219233
PA14_00110	97	0.046237712693814714	0.6743229592122155	0.8151868733990578
PA14_00120	97	0.19310065334562587	0.06219590007475736	0.20844031376405167
PA14_00130	97	0.18353382201167534	0.24030320062291333	0.4537346972329136
PA14_00140	97	0.20779666651323137	0.14009944099418983	0.33194371933227446
PA14_00150	97	-0.11871020982309233	0.5465009198643452	0.7235364291161754
PA14_00160	97	-0.08515537682054486	0.33518723129200223	0.5435704745517724
PA14_00170	97	0.07924217471975048	0.6071463955720579	0.7683928758727369
PA14_00180	97	0.2891384866770377	0.12080808541632902	0.30295590439172354
PA14_00190	97	0.34252614474898735	0.03241963820579686	0.14749083240317823
PA14_00200	97	0.14211365618711902	0.2406276216086481	0.4537346972329136
PA14_00210	97	0.5183334927165539	0.0014440462033162836	0.024927087070102327
PA14_00230	97	0.10584797205461172	0.7310225898273098	0.8522062756075317
PA14_00240	97	0.2418381982856186	0.3360305269456411	0.544298474441133
PA14_00250	97	0.021168069995166405	0.9467768370915031	0.9705919800473667
PA14_00280	97	-0.23685547456780398	0.6086373784628979	0.7699218982801705
PA14_00290	97	-0.1577996030868274	0.49602319701190817	0.6832377414611714
PA14_00300	97	0.059594070117665154	0.7807907168574841	0.884921248642414
PA14_00310	97	0.20152143562831526	0.47072707958425614	0.6658706399277858
PA14_00320	97	0.12049360856348379	0.7225597593437201	0.8480315062994194
PA14_00340	97	0.10234222901388712	0.7820062714448992	0.8856149080631049
PA14_00360	97	-0.2698583733550999	0.16820694108635223	0.3664710477200975
PA14_00380	97	-0.06225379903541928	0.6668280605939673	0.8099778943604921
PA14_00400	97	-0.16785283098754356	0.06361225982400634	0.2112434474383527
PA14_00410	97	-0.14053488344231546	0.3170236984458224	0.5277143547204926
PA14_00420	97	-0.07017514691325744	0.44227197067840995	0.6398944302902944
PA14_00430	97	-0.06480810913705426	0.6347236072172243	0.7888977566624114
PA14_00440	97	-0.4455134606236246	0.1920441475749156	0.396609954665701
PA14_00450	97	-0.4496466812538209	0.2893728965899425	0.5014764321517052
PA14_00460	97	0.04715050767883433	0.8092579355770642	0.9020330298928312
PA14_00470	97	0.0628741558891246	0.787385049098423	0.8886289825998468
PA14_00480	97	-0.01772093280414566	0.9508206960539688	0.972688268971321
PA14_00490	97	0.7007048460590681	0.002115165660309594	0.031950520859725426
PA14_00530	97	-0.08863205743492841	0.48475116858513334	0.6755435769654389
PA14_00550	97	-0.13386933431053016	0.516553980684601	0.6968728080044254
PA14_00560	97	0.5367503741161492	0.6035922391825362	0.7662242583218952
PA14_00570	97	0.8145689560166254	0.0023892542397705736	0.03421271181666561
PA14_00580	97	0.6649368084627181	0.0011535384153263041	0.021440365624304573
