#column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	outliers	A_Count	C_Count	G_Count	T_Count	N_Count	other_bases	other_base_count
1	240000	14	40	7897896	32.907900	31.000000	34.000000	34.000000	3.000000	27	37	14,15,16,17,18,19,20,21,22,23,24,25,26,40	36031	105989	62827	35153	0		
2	240000	15	41	7949468	33.122783	33.000000	34.000000	34.000000	1.000000	32	35	15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,41,40,39,38,37,36	53829	47505	52247	86419	0		
3	240000	15	41	7945549	33.106454	33.000000	34.000000	34.000000	1.000000	32	35	15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,41,40,39,38,37,36	62478	58085	58169	61268	0		
4	240000	15	41	8769861	36.541088	37.000000	37.000000	37.000000	0.000000	37	37	15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,41,40,39,38	79901	52542	60661	46896	0		
5	240000	15	41	8766602	36.527508	37.000000	37.000000	37.000000	0.000000	37	37	15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,41,40,39,38	79341	46475	63745	50439	0		
6	240000	15	41	8767874	36.532808	37.000000	37.000000	37.000000	0.000000	37	37	15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,41,40,39,38	82994	53922	49410	53674	0		
7	240000	15	41	8764246	36.517692	37.000000	37.000000	37.000000	0.000000	37	37	15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,41,40,39,38	39184	58350	45116	97350	0		
8	240000	14	41	8763135	36.513062	37.000000	37.000000	37.000000	0.000000	37	37	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,41,40,39,38	51806	71439	49391	67364	0		
9	240000	14	41	9204463	38.351929	39.000000	39.000000	39.000000	0.000000	39	39	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,41,40	51343	66052	48801	73804	0		
10	240000	15	41	9197487	38.322862	39.000000	39.000000	39.000000	0.000000	39	39	15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,41,40	86110	46005	54339	53546	0		
