	cell_type	sampleID
Cell_0	Tumor_Core	s1
Cell_1	Tumor_Core	s2
Cell_2	Tumor_Core	s1
Cell_3	Tumor_Core	s2
Cell_4	Tumor_Core	s1
Cell_5	Tumor_Core	s2
Cell_6	Tumor_Core	s1
Cell_7	Tumor_Core	s2
Cell_8	Tumor_Core	s1
Cell_9	Tumor_Core	s2
Cell_10	Tumor_Core	s1
Cell_11	Tumor_Core	s2
Cell_12	Tumor_Core	s1
Cell_13	Tumor_Core	s2
Cell_14	Tumor_Core	s1
Cell_15	Tumor_Core	s2
Cell_16	Tumor_Core	s1
Cell_17	Tumor_Core	s2
Cell_18	Tumor_Core	s1
Cell_19	Tumor_Core	s2
Cell_20	Tumor_Core	s1
Cell_21	Tumor_Core	s2
Cell_22	Tumor_Core	s1
Cell_23	Tumor_Core	s2
Cell_24	Tumor_Core	s1
Cell_25	Tumor_Core	s2
Cell_26	Tumor_Core	s1
Cell_27	Tumor_Core	s2
Cell_28	Tumor_Core	s1
Cell_29	Tumor_Core	s2
Cell_30	Tumor_Core	s1
Cell_31	Tumor_Core	s2
Cell_32	Tumor_Core	s1
Cell_33	Tumor_Core	s2
Cell_34	Tumor_Core	s1
Cell_35	Tumor_Core	s2
Cell_36	Tumor_Core	s1
Cell_37	Tumor_Core	s2
Cell_38	Tumor_Core	s1
Cell_39	Tumor_Core	s2
Cell_40	Tumor_Core	s1
Cell_41	Tumor_Core	s2
Cell_42	Tumor_Core	s1
Cell_43	Tumor_Core	s2
Cell_44	Tumor_Core	s1
Cell_45	Tumor_Core	s2
Cell_46	Tumor_Core	s1
Cell_47	Tumor_Core	s2
Cell_48	Tumor_Core	s1
Cell_49	Tumor_Core	s2
Cell_50	Tumor_Core	s1
Cell_51	Tumor_Core	s2
Cell_52	Tumor_Core	s1
Cell_53	Tumor_Core	s2
Cell_54	Tumor_Core	s1
Cell_55	Tumor_Core	s2
Cell_56	Tumor_Core	s1
Cell_57	Tumor_Core	s2
Cell_58	Tumor_Core	s1
Cell_59	Tumor_Core	s2
Cell_60	Tumor_Core	s1
Cell_61	Tumor_Core	s2
Cell_62	Tumor_Core	s1
Cell_63	Tumor_Core	s2
Cell_64	Tumor_Core	s1
Cell_65	Tumor_Core	s2
Cell_66	Tumor_Core	s1
Cell_67	Tumor_Core	s2
Cell_68	Tumor_Core	s1
Cell_69	Tumor_Core	s2
Cell_70	Tumor_Core	s1
Cell_71	Tumor_Core	s2
Cell_72	Tumor_Core	s1
Cell_73	Tumor_Core	s2
Cell_74	Tumor_Core	s1
