1	3	5
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	10	1
1	11	2
1	13	1
1	14	1
1	15	1
1	17	3
1	23	1
1	25	1
1	27	1
1	28	1
1	29	2
1	31	2
1	32	3
1	33	1
1	34	1
1	37	1
1	39	2
1	40	1
1	41	1
1	44	3
1	45	2
1	46	1
1	47	1
1	48	1
1	49	3
1	50	4
1	52	1
1	54	2
1	57	1
1	58	1
1	60	4
1	61	3
1	63	2
1	64	1
1	65	1
1	66	4
1	67	1
1	68	2
1	69	1
1	71	2
1	74	1
1	75	1
1	76	3
1	77	2
1	78	1
1	79	2
1	80	2
1	82	2
1	84	5
1	86	4
1	88	2
1	90	4
1	91	1
1	92	3
1	93	2
1	94	1
1	95	3
1	97	4
1	98	1
1	100	2
1	102	1
1	108	1
1	109	1
1	112	2
1	113	2
1	114	2
1	115	2
1	116	1
1	118	1
1	122	1
1	123	2
1	124	2
1	125	1
1	126	5
1	128	4
1	130	3
1	132	1
1	135	4
1	136	1
1	137	4
1	138	1
1	143	3
1	144	1
1	145	1
1	146	2
1	147	4
1	148	1
1	149	1
1	150	2
1	151	1
1	156	1
1	157	1
1	159	1
1	160	4
1	161	1
1	162	1
1	164	1
1	165	1
1	167	1
1	168	1
1	170	1
1	171	1
1	176	2
1	179	2
1	180	7
1	181	4
1	182	2
1	183	2
1	184	2
1	188	1
1	190	4
1	191	1
1	193	4
1	195	1
1	198	1
1	200	3
1	201	1
1	205	1
1	206	2
1	207	2
1	208	6
1	212	1
1	213	1
1	214	3
1	215	2
1	216	1
1	217	5
1	218	1
1	220	1
1	221	1
1	224	4
1	226	1
1	228	1
1	229	1
1	230	1
1	231	1
1	232	6
1	233	2
1	234	1
1	236	1
1	238	3
1	240	2
1	241	1
1	242	3
1	243	5
1	244	3
1	245	3
1	254	1
1	255	2
1	257	1
1	264	1
1	265	1
1	267	4
1	268	6
1	270	2
1	271	2
1	273	3
1	276	1
1	277	1
1	278	1
1	279	3
1	280	1
1	281	1
1	282	7
1	285	2
1	286	5
1	287	1
1	289	4
1	290	1
1	291	2
1	293	5
1	294	2
1	295	2
1	296	1
1	298	4
1	299	1
1	301	4
1	302	1
1	303	2
1	304	1
1	305	1
1	309	2
1	311	2
1	312	1
1	315	5
1	317	1
1	319	6
1	321	1
1	323	1
1	325	1
1	326	3
1	327	1
1	328	1
1	329	1
1	330	4
1	332	2
1	336	1
1	337	1
1	338	1
1	342	1
1	343	1
1	344	3
1	345	4
1	346	5
1	347	1
1	348	4
1	349	7
1	350	6
1	351	1
1	352	8
1	353	2
1	359	1
1	363	1
1	364	3
1	365	2
1	368	1
1	370	1
1	372	1
1	373	6
1	374	5
1	375	1
1	376	3
1	377	8
1	378	5
1	379	4
1	380	2
1	381	1
1	384	1
1	385	1
1	387	1
1	388	2
1	390	2
1	391	3
1	392	1
1	395	3
1	396	2
1	397	2
1	399	2
1	400	5
1	402	1
1	403	7
1	404	6
1	405	3
1	406	1.4E1
1	407	8
1	408	2
1	410	5
1	411	2
1	412	1.1E1
1	413	2
1	414	1
1	415	1
1	419	1
1	420	4
1	421	1
1	423	1
1	426	2
1	427	1
1	430	1
1	432	2
1	433	5
1	434	8
1	435	2
1	437	4
1	438	9
1	439	1.2E1
1	440	6
1	441	3
1	442	6
1	443	1
1	445	1
1	447	1
1	449	1
1	451	1
1	452	1
1	453	2
1	454	2
1	455	1
1	456	1
1	457	1
1	458	1
1	460	1
1	462	3
1	463	8
1	464	5
1	465	1E1
1	466	1
1	467	5
1	468	2
1	469	4
1	471	2
1	474	1
1	475	1
1	476	2
1	478	2
1	481	1
1	482	1
1	486	3
1	491	6
1	492	1.1E1
1	493	3
1	494	9
1	495	3
1	496	1E1
1	497	2
1	498	6
1	499	5
1	501	1
1	502	1
1	503	6
1	504	6
1	506	3
1	507	1
1	508	2
1	510	2
1	511	1
1	513	1
1	514	2
1	518	2
1	519	1
1	520	7
1	522	6
1	523	1.2E1
1	525	1
1	526	1.1E1
1	527	1
1	528	4
1	529	3
1	530	6
1	531	2
1	532	6
1	536	1
1	540	2
1	541	3
1	542	2
1	543	4
1	546	3
1	547	2
1	548	1
1	550	2
1	553	1.1E1
1	554	8
1	555	9
1	556	7
1	557	1.6E1
1	558	2
1	559	1E1
1	560	2
1	561	5
1	562	1
1	564	1
1	565	3
1	567	1
1	568	2
1	570	1
1	571	1
1	573	7
1	574	2
1	575	1
1	577	1
1	578	5
1	579	1
1	580	1
1	582	2
1	583	8
1	587	2
1	590	7
1	591	1.2E1
1	592	2
1	593	3
1	594	1
1	595	1
1	596	5
1	597	2
1	599	1
1	600	1
1	601	1
1	602	3
1	603	3
1	604	1
1	607	3
1	608	1
1	610	1
1	611	2
1	613	2
1	615	3
1	617	5
1	619	7
1	621	5
1	622	1
1	623	2
1	625	1
1	626	1
1	628	1
1	629	2
