	cell_type	sampleID
Cell_0	Tumor_Core	sampleID
Cell_1	Tumor_Core	sampleID
Cell_2	Tumor_Core	sampleID
Cell_3	Tumor_Core	sampleID
Cell_4	Tumor_Core	sampleID
Cell_5	Tumor_Core	sampleID
Cell_6	Tumor_Core	sampleID
Cell_7	Tumor_Core	sampleID
Cell_8	Tumor_Core	sampleID
Cell_9	Tumor_Core	sampleID
Cell_10	Tumor_Core	sampleID
Cell_11	Tumor_Core	sampleID
Cell_12	Tumor_Core	sampleID
Cell_13	Tumor_Core	sampleID
Cell_14	Tumor_Core	sampleID
Cell_15	Tumor_Core	sampleID
Cell_16	Tumor_Core	sampleID
Cell_17	Tumor_Core	sampleID
Cell_18	Tumor_Core	sampleID
Cell_19	Tumor_Core	sampleID
Cell_20	Tumor_Core	sampleID
Cell_21	Tumor_Core	sampleID
Cell_22	Tumor_Core	sampleID
Cell_23	Tumor_Core	sampleID
Cell_24	Tumor_Core	sampleID
Cell_25	Tumor_Core	sampleID
Cell_26	Tumor_Core	sampleID
Cell_27	Tumor_Core	sampleID
Cell_28	Tumor_Core	sampleID
Cell_29	Tumor_Core	sampleID
Cell_30	Tumor_Core	sampleID
Cell_31	Tumor_Core	sampleID
Cell_32	Tumor_Core	sampleID
Cell_33	Tumor_Core	sampleID
Cell_34	Tumor_Core	sampleID
Cell_35	Tumor_Core	sampleID
Cell_36	Tumor_Core	sampleID
Cell_37	Tumor_Core	sampleID
Cell_38	Tumor_Core	sampleID
Cell_39	Tumor_Core	sampleID
Cell_40	Tumor_Core	sampleID
Cell_41	Tumor_Core	sampleID
Cell_42	Tumor_Core	sampleID
Cell_43	Tumor_Core	sampleID
Cell_44	Tumor_Core	sampleID
Cell_45	Tumor_Core	sampleID
Cell_46	Tumor_Core	sampleID
Cell_47	Tumor_Core	sampleID
Cell_48	Tumor_Core	sampleID
Cell_49	Tumor_Core	sampleID
Cell_50	Tumor_Core	sampleID
Cell_51	Tumor_Core	sampleID
