sample	library_size	public_fragment_bytes	log_residual	nearest_public_size_label
Bladder	701506327	7361379926	-0.066369	Bladder
Brain	1168148790	12048619808	0.001886	Brain
Cloaca	484000505	4079467003	0.091652	Stomach
GallBladder	565994637	4980611273	0.069229	Spleen
Gill	1094125058	11566811496	-0.026994	Gill
Heart	868549497	9197722750	-0.052425	Heart
Intestine	699794434	6322122007	0.067622	Intestine
Kidney	745602917	7755800716	-0.052196	Bladder
Limb	1147926115	11646072827	0.014886	Limb
Liver	398317869	3644606637	-0.002136	Liver
Lung	877686879	9346073087	-0.056303	Heart
Pancreas	1398702406	12518564809	0.147710	Pancreas
Prostate	973845979	10002320152	-0.013175	Prostate
Spleen	497829833	5192026012	-0.096365	GallBladder
Stomach	455786546	4355106294	-0.027023	Stomach
r2	0.969912
