sampled_intervals	24307
sample	track_group	track	correlation
Bladder	Pancreas	Acinar_cell	0.461242
Brain	Pancreas	Acinar_cell	0.436585
Cloaca	Pancreas	Acinar_cell	0.543464
GallBladder	Pancreas	Acinar_cell	0.274336
Gill	Pancreas	Acinar_cell	0.478262
Heart	Pancreas	Acinar_cell	0.181004
Intestine	Pancreas	Acinar_cell	0.525008
Kidney	Pancreas	Acinar_cell	0.438710
Limb	Pancreas	Acinar_cell	0.463221
Liver	Pancreas	Acinar_cell	0.498275
Lung	Pancreas	Acinar_cell	0.505831
Pancreas	Pancreas	Acinar_cell	0.535965
Prostate	Pancreas	Acinar_cell	0.454396
Spleen	Pancreas	Acinar_cell	0.468760
Stomach	Pancreas	Acinar_cell	0.506628
Bladder	Pancreas	Pancreatic_ductal_cell	0.340573
Brain	Pancreas	Pancreatic_ductal_cell	0.317324
Cloaca	Pancreas	Pancreatic_ductal_cell	0.347566
GallBladder	Pancreas	Pancreatic_ductal_cell	0.228218
Gill	Pancreas	Pancreatic_ductal_cell	0.327211
Heart	Pancreas	Pancreatic_ductal_cell	0.178925
Intestine	Pancreas	Pancreatic_ductal_cell	0.337618
Kidney	Pancreas	Pancreatic_ductal_cell	0.318502
Limb	Pancreas	Pancreatic_ductal_cell	0.326336
Liver	Pancreas	Pancreatic_ductal_cell	0.313440
Lung	Pancreas	Pancreatic_ductal_cell	0.352996
Pancreas	Pancreas	Pancreatic_ductal_cell	0.330849
Prostate	Pancreas	Pancreatic_ductal_cell	0.313194
Spleen	Pancreas	Pancreatic_ductal_cell	0.310865
Stomach	Pancreas	Pancreatic_ductal_cell	0.319792
Bladder	Pancreas	Endocrine_cell	0.357225
Brain	Pancreas	Endocrine_cell	0.356019
Cloaca	Pancreas	Endocrine_cell	0.393314
GallBladder	Pancreas	Endocrine_cell	0.230650
Gill	Pancreas	Endocrine_cell	0.352393
Heart	Pancreas	Endocrine_cell	0.152428
Intestine	Pancreas	Endocrine_cell	0.382090
Kidney	Pancreas	Endocrine_cell	0.343261
Limb	Pancreas	Endocrine_cell	0.350020
Liver	Pancreas	Endocrine_cell	0.367966
Lung	Pancreas	Endocrine_cell	0.384475
Pancreas	Pancreas	Endocrine_cell	0.346738
Prostate	Pancreas	Endocrine_cell	0.337525
Spleen	Pancreas	Endocrine_cell	0.335402
Stomach	Pancreas	Endocrine_cell	0.366935
Bladder	GallBladder	Cholangiocyte	0.250818
Brain	GallBladder	Cholangiocyte	0.236074
Cloaca	GallBladder	Cholangiocyte	0.265414
GallBladder	GallBladder	Cholangiocyte	0.270165
Gill	GallBladder	Cholangiocyte	0.230268
Heart	GallBladder	Cholangiocyte	0.076847
Intestine	GallBladder	Cholangiocyte	0.268388
Kidney	GallBladder	Cholangiocyte	0.242524
Limb	GallBladder	Cholangiocyte	0.251900
Liver	GallBladder	Cholangiocyte	0.276059
Lung	GallBladder	Cholangiocyte	0.258131
Pancreas	GallBladder	Cholangiocyte	0.277067
Prostate	GallBladder	Cholangiocyte	0.201834
Spleen	GallBladder	Cholangiocyte	0.221970
Stomach	GallBladder	Cholangiocyte	0.258471
Bladder	Liver	Hepatocyte	0.381325
Brain	Liver	Hepatocyte	0.366972
Cloaca	Liver	Hepatocyte	0.395906
GallBladder	Liver	Hepatocyte	0.320202
Gill	Liver	Hepatocyte	0.376485
Heart	Liver	Hepatocyte	0.134174
Intestine	Liver	Hepatocyte	0.419560
Kidney	Liver	Hepatocyte	0.390208
Limb	Liver	Hepatocyte	0.386415
Liver	Liver	Hepatocyte	0.454810
Lung	Liver	Hepatocyte	0.385427
Pancreas	Liver	Hepatocyte	0.391709
Prostate	Liver	Hepatocyte	0.368132
Spleen	Liver	Hepatocyte	0.372675
Stomach	Liver	Hepatocyte	0.402899
