sampled_intervals	24307
sample	track_group	track	correlation
Bladder	Brain	Neuron_NR4A1	0.323683
Brain	Brain	Neuron_NR4A1	0.326367
Cloaca	Brain	Neuron_NR4A1	0.264879
GallBladder	Brain	Neuron_NR4A1	0.227901
Gill	Brain	Neuron_NR4A1	0.282111
Heart	Brain	Neuron_NR4A1	0.129992
Intestine	Brain	Neuron_NR4A1	0.268137
Kidney	Brain	Neuron_NR4A1	0.316013
Limb	Brain	Neuron_NR4A1	0.308946
Liver	Brain	Neuron_NR4A1	0.270728
Lung	Brain	Neuron_NR4A1	0.304524
Pancreas	Brain	Neuron_NR4A1	0.274553
Prostate	Brain	Neuron_NR4A1	0.291558
Spleen	Brain	Neuron_NR4A1	0.276099
Stomach	Brain	Neuron_NR4A1	0.250707
Bladder	Brain	Oligodendrocyte	0.320994
Brain	Brain	Oligodendrocyte	0.354396
Cloaca	Brain	Oligodendrocyte	0.282462
GallBladder	Brain	Oligodendrocyte	0.265639
Gill	Brain	Oligodendrocyte	0.286887
Heart	Brain	Oligodendrocyte	0.086868
Intestine	Brain	Oligodendrocyte	0.289669
Kidney	Brain	Oligodendrocyte	0.324051
Limb	Brain	Oligodendrocyte	0.320327
Liver	Brain	Oligodendrocyte	0.279352
Lung	Brain	Oligodendrocyte	0.303898
Pancreas	Brain	Oligodendrocyte	0.299696
Prostate	Brain	Oligodendrocyte	0.296252
Spleen	Brain	Oligodendrocyte	0.291313
Stomach	Brain	Oligodendrocyte	0.275643
Bladder	Brain	Astrocyte	0.366734
Brain	Brain	Astrocyte	0.391979
Cloaca	Brain	Astrocyte	0.347216
GallBladder	Brain	Astrocyte	0.221494
Gill	Brain	Astrocyte	0.342882
Heart	Brain	Astrocyte	0.121800
Intestine	Brain	Astrocyte	0.354100
Kidney	Brain	Astrocyte	0.359948
Limb	Brain	Astrocyte	0.368490
Liver	Brain	Astrocyte	0.342831
Lung	Brain	Astrocyte	0.373990
Pancreas	Brain	Astrocyte	0.312565
Prostate	Brain	Astrocyte	0.347542
Spleen	Brain	Astrocyte	0.345426
Stomach	Brain	Astrocyte	0.342813
Bladder	Limb	Myoblast	0.307781
Brain	Limb	Myoblast	0.306832
Cloaca	Limb	Myoblast	0.286075
GallBladder	Limb	Myoblast	0.251682
Gill	Limb	Myoblast	0.290527
Heart	Limb	Myoblast	0.133771
Intestine	Limb	Myoblast	0.298785
Kidney	Limb	Myoblast	0.297381
Limb	Limb	Myoblast	0.318459
Liver	Limb	Myoblast	0.282294
Lung	Limb	Myoblast	0.292561
Pancreas	Limb	Myoblast	0.294719
Prostate	Limb	Myoblast	0.282016
Spleen	Limb	Myoblast	0.274820
Stomach	Limb	Myoblast	0.275859
Bladder	Limb	Chondrocyte	0.380680
Brain	Limb	Chondrocyte	0.368667
Cloaca	Limb	Chondrocyte	0.374336
GallBladder	Limb	Chondrocyte	0.241504
Gill	Limb	Chondrocyte	0.360997
Heart	Limb	Chondrocyte	0.148733
Intestine	Limb	Chondrocyte	0.371739
Kidney	Limb	Chondrocyte	0.364183
Limb	Limb	Chondrocyte	0.400940
Liver	Limb	Chondrocyte	0.367835
Lung	Limb	Chondrocyte	0.386304
Pancreas	Limb	Chondrocyte	0.340972
Prostate	Limb	Chondrocyte	0.360369
Spleen	Limb	Chondrocyte	0.369057
Stomach	Limb	Chondrocyte	0.355377
Bladder	Limb	Osteoblast	0.455984
Brain	Limb	Osteoblast	0.431127
Cloaca	Limb	Osteoblast	0.499000
GallBladder	Limb	Osteoblast	0.251086
Gill	Limb	Osteoblast	0.486635
Heart	Limb	Osteoblast	0.200820
Intestine	Limb	Osteoblast	0.486889
Kidney	Limb	Osteoblast	0.431832
Limb	Limb	Osteoblast	0.460357
Liver	Limb	Osteoblast	0.474956
Lung	Limb	Osteoblast	0.524708
Pancreas	Limb	Osteoblast	0.404577
Prostate	Limb	Osteoblast	0.443490
Spleen	Limb	Osteoblast	0.437751
Stomach	Limb	Osteoblast	0.481412
