public_prefix_fragments_per_tissue	250000
bins_considered	1559
public_tissue	best_task_sample	best_corr	second_task_sample	second_corr	own_corr
Bladder	Bladder	0.892440	Spleen	0.888629	0.892440
Brain	Spleen	0.881890	Stomach	0.875490	0.871592
Cloaca	Stomach	0.914588	Cloaca	0.876829	0.876829
GallBladder	GallBladder	0.882559	Liver	0.862580	0.882559
Gill	Gill	0.878872	Prostate	0.875292	0.878872
Heart	Heart	0.883773	Spleen	0.878605	0.883773
Intestine	Intestine	0.901198	Cloaca	0.895679	0.901198
Kidney	Kidney	0.880990	Spleen	0.880885	0.880990
Limb	Spleen	0.876853	Stomach	0.874697	0.868909
Liver	Liver	0.903210	Cloaca	0.883461	0.903210
Lung	Lung	0.885318	Spleen	0.881986	0.885318
Pancreas	Cloaca	0.897302	Liver	0.896113	0.881435
Prostate	Prostate	0.884850	Spleen	0.851537	0.884850
Spleen	Spleen	0.898249	Prostate	0.873578	0.898249
Stomach	Cloaca	0.912164	Intestine	0.873517	0.872931
