  6.90	6631	6631	47057	42425	S	9606	                                                              Homo sapiens
  0.04	40	40	222	217	S	9598	                                                              Pan troglodytes
  0.02	19	19	93	88	S	9597	                                                              Pan paniscus
  0.06	56	1	230	204	S	9593	                                                              Gorilla gorilla
  0.02	23	23	95	91	S	9601	                                                              Pongo abelii
  0.01	10	10	36	36	S	9600	                                                              Pongo pygmaeus
  0.03	29	29	132	126	S	61853	                                                            Nomascus leucogenys
  0.03	28	28	153	147	S	9590	                                                            Symphalangus syndactylus
  0.02	21	21	81	72	S	81572	                                                            Hylobates moloch
  0.02	22	22	113	96	S	9544	                                                              Macaca mulatta
  0.01	11	11	68	62	S	9541	                                                              Macaca fascicularis
  0.01	7	0	36	35	S	54602	                                                              Macaca thibetana
  0.01	5	5	29	25	S	9545	                                                              Macaca nemestrina
  0.03	27	27	67	35	S	9565	                                                              Theropithecus gelada
  0.02	15	15	78	75	S	60711	                                                              Chlorocebus sabaeus
  0.01	14	14	59	47	S	9531	                                                              Cercocebus atys
  0.01	12	12	79	49	S	9555	                                                              Papio anubis
  0.00	1	1	1	1	S	208091	                                                              Papio kindae
  0.01	6	6	32	31	S	9568	                                                              Mandrillus leucophaeus
  0.00	1	0	2	2	S	867370	                                                              Cercopithecus albogularis
  0.00	1	1	1	1	S	9538	                                                              Erythrocebus patas
  0.04	38	38	132	107	S	591936	                                                              Piliocolobus tephrosceles
  0.03	28	28	128	118	S	54180	                                                              Trachypithecus francoisi
  0.02	19	0	92	85	S	54131	                                                              Colobus angolensis
  0.00	1	1	2	2	S	33548	                                                              Colobus guereza
  0.01	6	6	44	40	S	61621	                                                              Rhinopithecus bieti
  0.01	5	5	44	44	S	61622	                                                              Rhinopithecus roxellana
  0.02	20	20	93	78	S	2715852	                                                            Cebus imitator
  0.02	19	19	79	73	S	9515	                                                            Sapajus apella
  0.04	42	42	227	181	S	9483	                                                              Callithrix jacchus
  0.00	1	1	4	4	S	9490	                                                            Saguinus oedipus
  0.00	1	1	4	4	S	78454	                                                            Saguinus labiatus
  0.03	25	0	121	113	S	27679	                                                            Saimiri boliviensis
  0.02	20	20	101	95	S	37293	                                                          Aotus nancymaae
  0.00	1	1	4	4	S	30591	                                                          Aotus azarai
  0.02	19	19	97	70	S	1868482	                                                        Carlito syrichta
  0.02	16	16	50	44	S	30611	                                                        Otolemur garnettii
  0.02	15	15	47	47	S	9470	                                                        Nycticebus coucang
  0.01	8	8	50	50	S	30608	                                                        Microcebus murinus
  0.01	7	7	30	30	S	9447	                                                        Lemur catta
  0.01	5	5	26	26	S	379532	                                                        Propithecus coquereli
  0.03	27	27	156	120	S	10090	                                                              Mus musculus
  0.00	1	1	5	5	S	10089	                                                              Mus caroli
  0.00	3	3	12	11	S	10093	                                                              Mus pahari
  0.01	5	5	53	50	S	10116	                                                            Rattus norvegicus
  0.00	3	3	9	8	S	35658	                                                            Mastomys coucha
