index	mean_occupancy_cosine	mean_occupancy_jaccard	mean_occupancy_pearson	mean_length_profile_tv	cosine_low_rank	jaccard_low_rank	pearson_low_rank	length_tv_high_rank	consensus_low_outlier_rank
1	0.48387647	0.98239976	0.38391469	0.00000000	4.00	9.00	3.00	5.50	5.38
2	0.58364783	0.98099882	0.53238923	0.00000000	7.00	6.00	7.00	5.50	6.38
3	0.59403926	0.97863056	0.53845631	0.00000000	9.00	3.00	8.00	5.50	6.38
4	0.56298243	0.97491993	0.49753421	0.00000000	6.00	2.00	6.00	5.50	4.88
5	0.47789968	0.98264304	0.41892348	0.00000000	3.00	10.00	4.00	5.50	5.62
6	0.58743725	0.97266384	0.56039277	0.00000000	8.00	1.00	9.00	5.50	5.88
7	0.60852919	0.98148550	0.57362878	0.00000000	10.00	7.00	10.00	5.50	8.12
8	0.54287168	0.98225363	0.47301653	0.00000000	5.00	8.00	5.00	5.50	5.88
9	0.11422946	0.98094920	0.11177240	0.00000000	1.00	5.00	1.00	5.50	3.12
10	0.26988801	0.97919158	0.23677364	0.00000000	2.00	4.00	2.00	5.50	3.38
