index_a	index_b	cosine_10kb	cosine_100kb	cosine_1mb	cosine_10kb_excluding_top_chroms	chromosome_fraction_cosine
1	2	0.59421234	0.75813047	0.86692259	0.59984342	0.97522030
1	3	0.61806968	0.77308411	0.86239302	0.61201653	0.97295391
1	4	0.60202377	0.75128384	0.86442895	0.59078171	0.98188248
1	5	0.54483203	0.72718198	0.90455543	0.75535173	0.96715382
1	6	0.54985639	0.71051894	0.81815545	0.57830403	0.94910249
1	7	0.61066302	0.76170266	0.85861791	0.60628043	0.97409882
1	8	0.68014081	0.84250681	0.92389696	0.68755924	0.98319959
1	9	0.00728968	0.02606357	0.08858788	0.27935931	0.74128054
1	10	0.14780055	0.39591055	0.72691687	0.14189985	0.96857786
2	3	0.74730644	0.86339212	0.93329153	0.77652489	0.98265512
2	4	0.73888735	0.82475085	0.90324410	0.72504972	0.99128328
2	5	0.71202423	0.78096030	0.87942847	0.70823567	0.96351432
2	6	0.80720791	0.85301507	0.89751589	0.76727818	0.95568318
2	7	0.81723062	0.88012880	0.93147512	0.79879533	0.98148919
2	8	0.65157721	0.80703600	0.89269963	0.71378794	0.96734931
2	9	0.00719285	0.02484319	0.08346360	0.31074420	0.73909014
2	10	0.17719151	0.44245511	0.79393879	0.18494826	0.97820785
3	4	0.76269565	0.83485908	0.90467403	0.76173832	0.97727046
3	5	0.50375966	0.67626146	0.85338735	0.70930505	0.95735200
3	6	0.76874297	0.87522694	0.94235997	0.84548293	0.98439441
3	7	0.87188265	0.93775025	0.97318834	0.88612617	0.99414659
3	8	0.83082152	0.89617452	0.92056860	0.83772217	0.97843197
3	9	0.00968400	0.02794852	0.08575490	0.37537173	0.75541085
3	10	0.23339076	0.51078468	0.84639706	0.22448783	0.99054981
4	5	0.57242576	0.69491048	0.85706646	0.67222165	0.96700265
4	6	0.72544715	0.80528689	0.87108012	0.74412120	0.94580004
4	7	0.76897188	0.84459491	0.90527774	0.75737509	0.97556951
4	8	0.69935684	0.78391963	0.86623447	0.71426422	0.96157501
4	9	0.00750754	0.02390471	0.07960781	0.31181932	0.72675863
4	10	0.18952594	0.43091520	0.76578026	0.18536628	0.97227528
5	6	0.76286740	0.79310145	0.84703060	0.70895688	0.94346077
5	7	0.63661530	0.73551161	0.85846635	0.71183922	0.95087706
5	8	0.45600589	0.69062992	0.89837914	0.43855977	0.96986383
5	9	0.00479589	0.02102772	0.08295306	0.17683604	0.69436272
5	10	0.10777098	0.33767596	0.72561077	0.16089699	0.96586187
6	7	0.85731328	0.90353678	0.93582433	0.86121641	0.97370754
6	8	0.62770436	0.77958886	0.87210919	0.73091426	0.96993349
6	9	0.00722730	0.02482768	0.08278500	0.33005760	0.80888467
6	10	0.18056851	0.44540176	0.80030933	0.20159595	0.98462318
7	8	0.70430829	0.83003211	0.89729108	0.73835883	0.97626828
7	9	0.00764794	0.02512618	0.08274398	0.31533296	0.74440124
7	10	0.20212970	0.47185375	0.81552282	0.20215175	0.98326661
8	9	0.01101799	0.03120108	0.09316093	0.41573386	0.74258884
8	10	0.22491218	0.48303750	0.79950847	0.20762928	0.98121872
9	10	0.96570195	0.85518686	0.55546567	0.56163724	0.79218573
