index	file	reads	bad_rows	min_len	max_len	mean_len	median_len	p10_len	p90_len	mode_len	mode_fraction	distinct_lengths	plus_fraction	minus_fraction	chrM_fraction	top_chrom_fraction	nonempty_10kb_bins	top_bin_fraction
1	1.tagAlign.gz	10000000	0	50	50	50.000000	50	50	50	50	1.000000	1	0.499579	0.500421	0.000000	0.088916	284041	0.000486
2	2.tagAlign.gz	10000000	0	50	50	50.000000	50	50	50	50	1.000000	1	0.499686	0.500314	0.000000	0.111834	284431	0.001778
3	3.tagAlign.gz	10000000	0	50	50	50.000000	50	50	50	50	1.000000	1	0.499991	0.500009	0.000000	0.094936	282912	0.000340
4	4.tagAlign.gz	10000000	0	50	50	50.000000	50	50	50	50	1.000000	1	0.499972	0.500028	0.000000	0.118731	283168	0.000759
5	5.tagAlign.gz	10000000	0	50	50	50.000000	50	50	50	50	1.000000	1	0.500155	0.499845	0.000000	0.098965	283462	0.004135
6	6.tagAlign.gz	10000000	0	50	50	50.000000	50	50	50	50	1.000000	1	0.500009	0.499991	0.000000	0.079345	280405	0.003044
7	7.tagAlign.gz	10000000	0	50	50	50.000000	50	50	50	50	1.000000	1	0.500061	0.499939	0.000000	0.093908	282141	0.001453
8	8.tagAlign.gz	10000000	0	50	50	50.000000	50	50	50	50	1.000000	1	0.499790	0.500210	0.000000	0.094928	283485	0.000060
9	9.tagAlign.gz	10000000	0	50	50	50.000000	50	50	50	50	1.000000	1	0.399231	0.600769	0.000000	0.238104	280517	0.205916
10	10.tagAlign.gz	10000000	0	50	50	50.000000	50	50	50	50	1.000000	1	0.493134	0.506866	0.000000	0.088252	279879	0.014136
