final_analysis	validated_leiden_marker_annotation
immune_clusters	1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,18,20,21,23,24,27,33,34,35,39,42,45,46,48
dendritic_clusters	8,33,35
malignant_basal_clusters	0,30,31,32,40,43,47,49
lusc_rule	basal_n>=20 and basal_frac>=0.02

#all-sample-summary
sample	n	dendritic_n	dendritic_frac	basal_n	basal_frac	nonimmune_n	lusc
Patient_001	1076	59	0.05483271	37	0.03438662	104	1
Patient_002	3838	159	0.04142783	24	0.00625326	255	0
Patient_003	4672	186	0.03981164	65	0.01391267	156	0
Patient_004	4060	132	0.03251232	1	0.00024631	18	0
Patient_005	1454	287	0.19738652	1	0.00068776	17	0
Patient_006	3055	11	0.00360065	1	0.00032733	11	0
Patient_007	529	54	0.10207940	0	0.00000000	7	0
Patient_008	3995	73	0.01827284	2	0.00050063	50	0
Patient_009	277	31	0.11191336	6	0.02166065	29	0
Patient_010	1653	86	0.05202662	19	0.01149425	34	0
Patient_011	4022	295	0.07334659	4	0.00099453	28	0
Patient_012	1889	135	0.07146638	10	0.00529381	268	0
Patient_013	3732	81	0.02170418	1504	0.40300107	1639	1
Patient_014	2442	137	0.05610156	283	0.11588862	358	1
Patient_015	2219	96	0.04326273	34	0.01532222	697	0
Patient_016	2454	56	0.02281989	0	0.00000000	13	0
Patient_017	5154	177	0.03434226	2	0.00038805	2992	0
Patient_018	1481	118	0.07967589	226	0.15259959	263	1
Patient_019	2385	359	0.15052411	6	0.00251572	70	0
Patient_020	2282	173	0.07581069	18	0.00788782	768	0
Patient_021	4938	156	0.03159174	17	0.00344269	4065	0
Patient_022	2545	74	0.02907662	6	0.00235756	1162	0
Patient_023	424	32	0.07547170	58	0.13679245	295	1
Patient_024	344	20	0.05813953	0	0.00000000	35	0
Patient_025	1995	139	0.06967419	3	0.00150376	156	0
Patient_026	2962	241	0.08136394	487	0.16441594	553	1
Patient_027	2788	238	0.08536585	482	0.17288379	547	1
Patient_028	4146	259	0.06246985	514	0.12397492	583	1
Patient_029	4579	7	0.00152872	4422	0.96571304	4523	1
Patient_030	4744	9	0.00189713	4506	0.94983137	4671	1
Patient_031	4802	9	0.00187422	4534	0.94418992	4725	1
Patient_032	604	38	0.06291391	2	0.00331126	13	0
Patient_033	594	38	0.06397306	2	0.00336700	12	0
Patient_034	600	38	0.06333333	2	0.00333333	12	0
Patient_035	599	38	0.06343907	2	0.00333890	12	0
Patient_036	2635	364	0.13814042	5	0.00189753	13	0
Patient_037	2610	363	0.13908046	5	0.00191571	13	0
Patient_038	2539	361	0.14218196	5	0.00196928	13	0
Patient_039	2569	360	0.14013235	5	0.00194628	13	0
Patient_040	4567	7	0.00153273	4417	0.96715568	4511	1
Patient_041	2723	363	0.13330885	36	0.01322071	927	0
Patient_042	1738	209	0.12025316	8	0.00460299	575	0
Patient_043	2696	359	0.13316024	37	0.01372404	928	0
Patient_044	2803	366	0.13057438	39	0.01391366	946	0
Patient_045	3235	21	0.00649150	101	0.03122102	277	1
Patient_046	3120	21	0.00673077	100	0.03205128	274	1
Patient_047	3429	22	0.00641586	101	0.02945465	282	1
Patient_048	3596	22	0.00611791	103	0.02864294	289	1
Patient_049	279	6	0.02150538	0	0.00000000	83	0
Patient_050	2632	99	0.03761398	1	0.00037994	749	0
Patient_051	3974	63	0.01585304	3	0.00075491	1292	0
Patient_052	3088	55	0.01781088	4	0.00129534	1063	0
Patient_053	3760	73	0.01941489	4	0.00106383	916	0
Patient_054	2732	22	0.00805271	0	0.00000000	365	0
Patient_055	4154	31	0.00746269	1	0.00024073	866	0
Patient_056	4402	28	0.00636075	1	0.00022717	1095	0
Patient_057	1389	28	0.02015839	26	0.01871850	440	0
Patient_058	1186	14	0.01180438	0	0.00000000	528	0
Patient_059	573	11	0.01919721	0	0.00000000	201	0
Patient_060	1937	31	0.01600413	2	0.00103252	447	0
Patient_061	2952	40	0.01355014	2	0.00067751	130	0
Patient_062	1125	2	0.00177778	0	0.00000000	95	0
Patient_063	360	13	0.03611111	48	0.13333333	58	1
Patient_064	334	15	0.04491018	60	0.17964072	61	1
Patient_065	558	14	0.02508961	40	0.07168459	52	1
Patient_066	525	12	0.02285714	110	0.20952381	138	1
Patient_067	1063	45	0.04233302	118	0.11100659	257	1

#target-summary
sample	n	dendritic_n	dendritic_frac	basal_n	basal_frac	nonimmune_n	lusc
Patient_005	1454	287	0.19738652	1	0.00068776	17	0
Patient_006	3055	11	0.00360065	1	0.00032733	11	0
Patient_007	529	54	0.10207940	0	0.00000000	7	0
Patient_018	1481	118	0.07967589	226	0.15259959	263	1
Patient_040	4567	7	0.00153273	4417	0.96715568	4511	1

#terminal-answer-evidence
lusc_target_winner	Patient_018
lusc_patients	Patient_001,Patient_013,Patient_014,Patient_018,Patient_023,Patient_026,Patient_027,Patient_028,Patient_029,Patient_030,Patient_031,Patient_040,Patient_045,Patient_046,Patient_047,Patient_048,Patient_063,Patient_064,Patient_065,Patient_066,Patient_067
nonimmune_denominator	47038
malignant_basal_lusc_numerator	22251
malignant_basal_lusc_percent	47.30430716
malignant_basal_lusc_percent_nearest20	40
answer	Patient_018;40
