StrainNumber	Ratio	MeanArea	MeanCircularity
1	1:0	111959.66666666667	0.06133333333333333
287	1:0	10271.0	0.7373333333333333
287_98	1000:1	45435.333333333336	0.30233333333333334
287_98	100:1	74453.66666666667	0.11133333333333333
287_98	10:1	184367.33333333334	0.042333333333333334
287_98	1:1	43223.666666666664	0.19699999999999998
287_98	1:2	26811.333333333332	0.389
287_98	1:3	18760.666666666668	0.607
287_98	2:1	87056.66666666667	0.09633333333333334
287_98	3:1	89125.33333333333	0.08566666666666667
287_98	4:1	152298.0	0.055
287_98	500:1	10046.333333333334	0.8186666666666667
287_98	50:1	93919.0	0.09500000000000001
287_98	5:1	118086.33333333333	0.06666666666666667
98	1:0	14535.666666666666	0.49000000000000005
