# This file was produced by bcftools (1.24+htslib-1.24), the command line was:
# 	 bcftools gtcheck  input.bcf
# and the working directory was:
# 	 /corral4/main/jobs/079/248/79248629/working
#
INFO	Time required to process one record .. 0.134146 seconds
INFO	sites-compared	132275
INFO	sites-skipped-no-match	0
INFO	sites-skipped-multiallelic	121
INFO	sites-skipped-monoallelic	4858402
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	6796
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	125479
INFO	sites-used-GT-vs-GT	0
# DCv2, discordance version 2:
#     - Query sample
