GroupBy(field-1)	count(field-5)	mean(field-5)	median(field-5)	q1(field-5)	q3(field-5)	sstdev(field-5)
ATP27	971	-0.054935275237075	-0.08866861	-0.686954915	0.60808302	1.0325147005782
ATP49	971	-0.0309534975493	0.0032667376	-0.70632112	0.66174767	1.0677674815646
ATP9	971	-0.020201286588671	-0.014000272	-0.6906817	0.65404728	1.0513559795667
CCL8	971	-0.20579040248177	-0.23613867	-0.861720125	0.451510475	1.0179382959414
CD103	971	-0.096520250010608	-0.11293596	-0.71448245	0.57331438	1.0182322066278
CD149	971	-0.22334778886704	-0.22167133	-0.93055791	0.474611685	1.043302322598
CD39	971	-0.10093330610739	-0.0952023	-0.7984838	0.583812275	1.0593555854558
CD69	971	-0.036228577046344	-0.035934124	-0.65358165	0.631180225	1.0217400558779
CD83	971	0.07492810825139	0.05646804	-0.575645635	0.80642316	1.0475329003683
CD92	971	-0.13334859056375	-0.11200321	-0.800352465	0.53737805	1.0125721320975
HOXA1	971	-0.13422012954488	-0.12740326	-0.77725142	0.48114492	1.0051141042056
HOXB5	971	-0.14157096769825	-0.12740299	-0.79778483	0.55791302	1.0432178406347
IL6	971	-0.16629487237951	-0.1460705	-0.815752635	0.54391327	1.0247581976878
ISG15	971	1.2711715039777	1.2889723	0.6101816	1.9698527	1.2057088173001
MAPK1	971	0.00013475677662204	-0.01353367	-0.7725844	0.7567193	1.0992920031042
MAPK2	971	0.1114519917139	0.14000377	-0.53714715	0.759983685	1.0483860278971
RPL27	971	0.013575155608239	0.017733732	-0.6794816	0.70374913	1.0376841151867
SLC2A1	971	0.073590599269454	0.10686903	-0.640981885	0.7382847	1.0601806235018
SOX28	971	0.027878310229928	0.05180116	-0.62954865	0.71658795	1.0682519238348
STAT1	971	0.40969324084171	0.46045712	-0.27026867	1.08492445	0.99662881054444
TRIM20	971	0.14353385589485	0.16613762	-0.54204678	0.86358555	1.0756882921144
TRIM23	971	-0.081306391830844	-0.08680201	-0.74552245	0.61671455	1.0713799788443
TRIM33	971	0.011695375924377	0.034534037	-0.65055175	0.67504853	1.0658745692571
TRIM5	971	-0.031326335178579	-0.03220067	-0.70491515	0.64868198	1.0225860083298
ZNF101	971	0.030396858889701	0.06300156	-0.64518168	0.7347901	1.0436692646574
ZNF115	971	0.17453434785424	0.18200399	-0.446143435	0.84165265	1.0464898785243
ZNF122	971	-0.22478836683419	-0.22353949	-0.95155535	0.485813095	1.0628733247363
ZNF159	971	-0.032173243253759	0.0224007	-0.76255055	0.66058236	1.0805247303309
ZNF20	971	-0.16449107066323	-0.18807128	-0.818787175	0.53177848	1.0810852965822
ZNF205	971	-0.0093268545512358	0.011666927	-0.606447635	0.616013565	0.99727167220667
ZNF209	971	-0.14277472997456	-0.12506956	-0.76791915	0.491878965	1.0278089850937
ZNF264	971	0.0038844192993821	0	-0.70281742	0.719848465	1.0793257225548
ZNF271	971	0.086523398075015	0.10126962	-0.561178675	0.76348657	1.0185246593833
ZNF315	971	-0.1389977481001	-0.15820372	-0.8050195	0.5343453	1.0453268529735
ZNF324	971	-0.044123069654583	-0.011200319	-0.6939492	0.62394971	1.0245061250795
ZNF326	971	0.18098935075057	0.19180523	-0.50378087	0.83021755	1.0295354720442
ZNF329	971	0.023839207365551	0.06673506	-0.644947575	0.72871705	1.0360709295163
ZNF359	971	-0.068260521326056	-0.083535045	-0.703982945	0.62348025	1.0642270597698
ZNF361	971	-0.11370474019382	-0.11106928	-0.7779542	0.57541376	1.040265389055
ZNF90	971	-0.110627608578	-0.08073578	-0.73571995	0.563278575	1.0132832490144
