GroupBy(cluster)	median(scores)
ISG15	-8.5565
STAT1	-2.3253744
ZNF159	-0.4312133
ATP49	-0.29400578
CD39	-0.2846722
ZNF264	-0.22167099
CD149	-0.21187079
TRIM5	-0.18620373
ZNF122	-0.17173667
TRIM23	-0.1446698
SOX28	-0.12180236
HOXA1	-0.11573588
MAPK1	-0.06626796
IL6	-0.063467905
HOXB5	-0.05320107
ZNF359	-0.046201095
ATP9	-0.037800837
ZNF361	-0.036400713
TRIM33	-0.011667006
ZNF209	0
ZNF315	0.013066926
ATP27	0.024734141
CD83	0.03780076
ZNF115	0.043400854
ZNF326	0.050401457
RPL27	0.062068053
CCL8	0.07326864
CD92	0.07840151
ZNF20	0.08306871
CD69	0.104068704
MAPK2	0.1120032
ZNF205	0.11340282
ZNF271	0.11760232
SLC2A1	0.15213694
ZNF329	0.17593873
ZNF101	0.1848036
CD103	0.3705405
ZNF90	0.4634092
TRIM20	0.46807587
ZNF324	0.4806766
