GroupBy(cluster)	median(scores)
ATP27	0.024734141
ATP49	-0.29400578
ATP9	-0.037800837
CCL8	0.07326864
CD103	0.3705405
CD149	-0.21187079
CD39	-0.2846722
CD69	0.104068704
CD83	0.03780076
CD92	0.07840151
HOXA1	-0.11573588
HOXB5	-0.05320107
IL6	-0.063467905
ISG15	-8.5565
MAPK1	-0.06626796
MAPK2	0.1120032
RPL27	0.062068053
SLC2A1	0.15213694
SOX28	-0.12180236
STAT1	-2.3253744
TRIM20	0.46807587
TRIM23	-0.1446698
TRIM33	-0.011667006
TRIM5	-0.18620373
ZNF101	0.1848036
ZNF115	0.043400854
ZNF122	-0.17173667
ZNF159	-0.4312133
ZNF20	0.08306871
ZNF205	0.11340282
ZNF209	0
ZNF264	-0.22167099
ZNF271	0.11760232
ZNF315	0.013066926
ZNF324	0.4806766
ZNF326	0.050401457
ZNF329	0.17593873
ZNF359	-0.046201095
ZNF361	-0.036400713
ZNF90	0.4634092
