GroupBy(field-1)	count(field-5)	mean(field-5)	median(field-5)	q1(field-5)	q3(field-5)	sstdev(field-5)
ISG15	25	-4.7733254192	-8.5565	-9.46559	1.0766264	5.3751678871438
STAT1	25	-1.3268478868	-2.3253744	-2.66109	0.4527558	1.7402742338374
CD149	25	-0.40697927508	-0.5446108	-0.9034843	0.29540592	0.86665259190993
ZNF264	25	-0.39045892758	-0.22167099	-0.76908356	0.1577379	0.85153727921871
CD39	25	-0.3254043666	-0.2846722	-0.8264892	0.06486793	0.72316576377617
SOX28	25	-0.2664348968	-0.12180236	-0.8964889	0.21187134	0.7724145095014
ZNF315	25	-0.2566333956	-0.16147035	-1.1760266	0.27907208	1.1270871173498
ZNF159	25	-0.2148581588	-0.4312133	-0.8866844	0.71308047	1.0005681236879
TRIM5	25	-0.20328567188	-0.18620373	-1.0616874	0.91328603	1.1164731758532
MAPK1	25	-0.184450745148	-0.06626796	-0.5352772	0.28093976	0.85663239612602
ZNF115	25	-0.13373126092	0.043400854	-0.4713425	0.31780618	0.67616833915672
ATP49	25	-0.1202719956	-0.2935406	-0.6248785	0.61321187	0.85936467514926
ZNF359	25	-0.1034715558	-0.06533461	-1.1452328	0.6762152	1.021140224178
ZNF209	25	-0.09548282272	0.022867119	-0.6645472	0.5203437	1.0619241174974
CCL8	25	-0.06716377948	0.07326864	-0.55861074	0.440076	0.7267167397665
HOXA1	25	-0.06176916482	-0.19507049	-0.9277619	0.4405419	1.0480483058851
ZNF326	25	-0.05139026572	-0.29587248	-0.7639483	0.7098142	0.95289026101163
HOXB5	25	-0.04883385992	-0.16800398	-0.6589524	0.6085468	0.96021143584694
ATP9	25	-0.0466493884	-0.08913507	-0.67527944	0.827887	1.1686832862326
ZNF329	25	-0.0370345738	0.092401855	-0.8129526	0.8008157	1.0552106310336
TRIM23	25	-0.0367373612	0.09100206	-0.72288764	0.5931452	0.80426830448732
CD83	25	0.00022299224	-0.051334344	-0.8143582	0.5133434	1.0903212022965
ZNF122	25	0.006139747	-0.16287018	-0.7807484	0.57634467	1.0488956265376
CD103	25	0.0068132816	0.24967237	-0.63841283	0.65194565	0.91873801244405
ZNF361	25	0.02133627188	0.23287123	-0.62348586	0.691148	1.1808675192919
ZNF271	25	0.02219474776	-0.033133976	-0.7457598	0.71681446	1.2613753232211
ZNF101	25	0.0519512972	0.1848036	-0.45081064	0.7392143	0.87710763889907
CD92	25	0.054768915	0.20720515	-0.78728163	0.55581284	1.158032178483
ZNF205	25	0.075134319788	0.11340282	-0.38780767	0.64541286	0.67403809671143
ZNF20	25	0.0790543636	0.08306871	-0.66827935	0.61134535	1.1346684900396
ATP27	25	0.07914762804	0.2884069	-0.73361456	0.768615	1.1998273952842
TRIM33	25	0.08204145136	-0.011667006	-0.49794456	0.528277	0.7912753508267
TRIM20	25	0.12617061448	0.24034075	-0.65381294	1.1937615	1.1939859688196
RPL27	25	0.1341605414	0.062068053	-0.29447356	0.9725537	1.0691736907846
CD69	25	0.14705924028	0.029400613	-0.32853973	1.0612327	1.1638318374174
IL6	25	0.16244018976	-0.076068185	-0.5992198	1.0724263	1.0080463776284
SLC2A1	25	0.20011100228	0.06020116	-0.26507187	0.6300137	0.80726764067798
MAPK2	25	0.2320871056	0.13253585	-0.23333862	0.84421647	0.77668799809931
ZNF324	25	0.23716526464	0.18433744	-0.3873408	1.1984234	1.1030034301829
ZNF90	25	0.50895782416	0.5124099	-0.012600296	1.1704234	0.81553661137387
