gene	count
ABHD17A	38
ABI1	49
ABTB1	12
ACAP2	106
ACER3	82
ACP1	46
ACSL6	159
ACTB	804
ACTG1	316
ACTN1	27
ACTR2	152
ACTR3	126
ADAM10	47
ADAM17	226
ADAR	193
ADD1	68
ADD3	77
ADIPOR1	27
ADSL	82
AFF4	84
AGFG1	28
AGO2	28
AHCTF1	18
AK3	249
AKAP13	223
AKAP8L	36
AKAP9	151
AKIRIN1	55
AKIRIN2	64
AKT3	177
ALDH2	340
ALDOA	37
AMD1	57
ANAPC16	177
ANAPC5	91
ANK2	307
ANKLE2	122
ANKRD11	227
ANKRD12	500
ANKRD13A	37
ANP32A	61
ANP32B	144
ANXA11	62
ANXA5	28
ANXA7	47
AP1M1	139
AP1S2	27
AP2A1	35
AP2M1	52
AP2S1	47
AP3S1	35
APH1A	45
APLP2	88
APOL1	145
ARF1	113
ARF4	24
ARF5	39
ARFGAP2	128
ARGLU1	295
ARHGAP4	34
ARHGAP45	50
ARHGDIA	83
ARHGDIB	242
ARHGEF12	27
ARID1A	77
ARID1B	228
ARID4B	288
ARIH1	56
ARL2	41
ARL6IP1	64
ARL6IP5	71
ARMC10-1	264
ARPC1B	169
ARPC2	316
ARPC3	385
ARPC4	80
ARPC5	82
ARPP19	77
ASAH1	63
ASAP1	23
ASB8	26
ATE1	50
ATF4	99
ATG12	70
ATG2A	74
ATL1	723
ATP11B	43
ATP1A1	46
ATP5F1B	63
ATP5F1D	210
ATP5F1E	565
ATP5ME	122
ATP5MF	83
ATP5MG	364
ATP5MJ	112
ATP5MK	95
ATP5PF	51
ATP6AP2	22
ATP6V0B	58
ATP6V0C	67
ATP6V0D1	43
ATP6V0E1	83
ATP6V1D	44
ATP6V1F	56
ATP6V1G1	145
ATP7A	35
ATP9B	313
ATRX	132
ATXN2	79
ATXN7	90
AZIN1	16
B2M	2764
B2M-1	953
B4GALT1	108
BACH1	105
BAG1	35
BAX	78
BAZ1A	44
BAZ2B	153
BBLN	72
BCAP31	39
BECN1	29
BEND7	75
BIN2	30
BIRC2	29
BIRC6	80
BLOC1S1	71
BLOC1S6	392
BLTP1	94
BNIP2	58
BNIP3L	30
BOD1L1	236
BORCS7	107
BPTF	158
BRAF	205
BRD4	70
BRI3	89
BRIP1	264
BRK1	63
BROX	37
BRWD1	40
BSDC1	54
BSG	27
BTF3	497
BTG1	1157
BTK	162
BUD31	52
C11orf58	284
C15orf40	339
C19orf53	76
C1GALT1	33
C21orf62	225
C2CD3	885
C2orf68	190
C4orf3	85
C6orf62	43
C9orf78	106
CAB39	23
CACUL1	32
CALM1	390
CALM2	157
CALM3	35
CAMLG	35
CAP1	43
CAPN1	25
CAPNS1	37
CAPZA1	91
CAPZA2	63
CAPZB	87
CARD16	21
CARD8	24
CARHSP1	39
CASP4	51
CAST	129
CBL	30
CBX3	75
CCDC157	55
CCDC186	43
CCDC30	50
CCDC57	219
CCDC82	60
CCL5	245
CCL5-1	245
CCM2	52
CCND3	53
CCNDBP1	58
CCNI	331
CCNL1	328
CCNY	34
CCPG1	27
CD164	91
CD37	1015
CD46	34
CD47	107
CD55	114
CD63	55
CD74	3503
CD82	335
CDC37	64
CDC42	400
CDC42SE1	72
CDC42SE2	132
CDKL5	22
CDKN1B	66
CDKN2D	43
CDS2	52
CDV3	165
CEACAM22P	69
CELF2	154
CERCAM	104
CERT1	32
CFL1	343
CFLAR	163
CGGBP1	44
CHCHD2	234
CHD1	167
CHD2	177
CHD4	92
CHD9	81
CHFR	82
CHMP1B	72
CHMP2A	39
CHMP2B	50
CHMP4B	45
CHMP5	15
CHST12	808
CHURC1	93
CIR1	115
CIRBP	286
CKLF	24
CLEC2B	45
CLINT1	63
CLIP1	134
CLK1	88
CLTA	37
CLTC	23
CMBL	63
CMC2	44
CMIP	29
CMTM6	95
CNBP	89
CNN2	50
CNPY3	55
COA1	53
COMMD6	274
COPA	142
COPE	69
COPS2	41
COQ10B	27
CORO1A	141
COTL1	109
COX17	74
COX4I1	484
COX5B	128
COX6A1	148
COX6B1	108
COX7A2	168
COX7B	91
COX7C	420
COX8A	102
CPEB4	33
CPT1A	67
CRBN	46
CREB1	43
CREBRF	145
CSDE1	159
CSK	61
CSNK1A1	77
CSNK1D	78
CSNK1G2	41
CSNK2A1	163
CTBS	24
CTCF	26
CTDSP1	15
CTDSP2	8
CTSC	15
CTSS	227
CTSZ	90
CUL3	97
CUL4B	96
CUX1	27
CXCR4	409
CYB561A3	292
CYB5R3	33
CYB5R4	60
CYBA	511
CYBC1	50
CYLD	176
CYP20A1	90
CYRIB	77
CYTH2	138
DAD1	32
DAPP1	118
DAZAP2	186
DBI	112
DBNL	91
DCAKD	59
DCP2	29
DCUN1D1	25
DCUN1D2	237
DDX17	283
DDX21	385
DDX3X	178
DDX5	857
DDX6	164
DEK	76
DESI1	49
DGKH	33
DGKZ	18
DHRS7	22
DIAPH1	21
DNAJA1	134
DNAJB1	305
DNAJB6	84
DNAJC21	138
DNAJC7	180
DNM1	33
DNM2	40
DR1	47
DRAP1	58
DSG3	183
DUSP1	146
DYNLL1	27
DYNLL2	12
DYNLRB1	31
DYNLT3	25
DYRK1A	47
E2F3P2	47
EEF1A1	5459
EEF2	446
EHBP1L1	34
EHD1	17
EIF1	1908
EIF1B	239
EIF2AK1	31
EIF3I	103
EIF4A1	128
EIF4A2	233
EIF4B	175
EIF4EBP2	15
EIF4G2	150
EIF4G3	49
EIF4H	84
EIF5	227
EIF5A	122
ELAPOR1	196
ELAVL1	91
ELF1	184
ELF2	96
ELMO1	34
ELOB	122
EMC10	75
EMC3	35
EMD	24
EMP3	295
ENO1	73
ENSA	78
EP300	65
EPB41	106
EPN1	59
EPS15	100
ERBIN	63
ERICH1	52
ERN1	44
ETV6	27
EVI2B	152
EWSR1	79
EXOC7	21
FAAP20	49
FAM107B	138
FAM120AOS	154
FAM133B	225
FAM177A1	101
FAM204A	63
FAM241A	149
FAM32A	29
FAM50A	19
FAM89B	20
FAU	2074
FAUP4	53
FAXC	100
FBRS	43
FBXL20	15
FBXL3	41
FBXO11	33
FBXO48	251
FBXO7	53
FBXO9	18
FBXW7	43
FEM1A	365
FERMT3	24
FGFR1OP2	40
FIS1	52
FKBP1A	69
FKBP8	42
FLNA	38
FLOT2	33
FMN1	196
FMNL1	76
FNBP1	114
FNIP1	68
FOS	142
FOSB	46
FOXN3	70
FOXO3	17
FOXP1	377
FTH1	1196
FTL	1085
FUS	283
FXR1	57
FXR2	28
FXYD5	67
