gene	count
ABHD17A	52
ABI1	77
ABTB1	23
ACAP2	122
ACER3	91
ACP1	70
ACSL6	117
ACTB	1026
ACTG1	369
ACTN1	31
ACTR2	196
ACTR3	150
ADAM10	29
ADAM17	150
ADAR	187
ADD1	88
ADD3	146
ADIPOR1	35
ADSL	83
AFF4	122
AGFG1	48
AGO2	29
AHCTF1	45
AK3	287
AKAP13	264
AKAP8L	40
AKAP9	134
AKIRIN1	61
AKIRIN2	97
AKT3	203
ALDH2	256
ALDOA	50
AMD1	77
ANAPC16	227
ANAPC5	96
ANK2	243
ANKLE2	116
ANKRD11	263
ANKRD12	631
ANKRD13A	80
ANP32A	62
ANP32B	226
ANXA11	71
ANXA5	49
ANXA7	52
AP1M1	113
AP1S2	56
AP2A1	16
AP2M1	58
AP2S1	49
AP3S1	55
APH1A	72
APLP2	66
APOL1	136
ARF1	156
ARF4	39
ARF5	50
ARFGAP2	127
ARGLU1	335
ARHGAP4	59
ARHGAP45	56
ARHGDIA	172
ARHGDIB	331
ARHGEF12	23
ARID1A	68
ARID1B	195
ARID4B	297
ARIH1	62
ARL2	32
ARL6IP1	91
ARL6IP5	65
ARMC10-1	251
ARPC1B	244
ARPC2	462
ARPC3	677
ARPC4	89
ARPC5	100
ARPP19	125
ASAH1	83
ASAP1	46
ASB8	32
ATE1	55
ATF4	206
ATG12	89
ATG2A	62
ATL1	648
ATP11B	51
ATP1A1	72
ATP5F1B	76
ATP5F1D	244
ATP5F1E	773
ATP5ME	124
ATP5MF	105
ATP5MG	478
ATP5MJ	123
ATP5MK	157
ATP5PF	108
ATP6AP2	38
ATP6V0B	89
ATP6V0C	91
ATP6V0D1	55
ATP6V0E1	103
ATP6V1D	59
ATP6V1F	129
ATP6V1G1	189
ATP7A	32
ATP9B	341
ATRX	207
ATXN2	37
ATXN7	82
AZIN1	39
B2M	4890
B2M-1	1481
B4GALT1	101
BACH1	190
BAG1	52
BAX	101
BAZ1A	72
BAZ2B	131
BBLN	100
BCAP31	40
BECN1	34
BEND7	62
BIN2	37
BIRC2	35
BIRC6	79
BLOC1S1	118
BLOC1S6	583
BLTP1	92
BNIP2	84
BNIP3L	61
BOD1L1	291
BORCS7	105
BPTF	165
BRAF	211
BRD4	73
BRI3	81
BRIP1	238
BRK1	81
BROX	45
BRWD1	49
BSDC1	85
BSG	29
BTF3	755
BTG1	1181
BTK	132
BUD31	84
C11orf58	336
C15orf40	311
C19orf53	109
C1GALT1	32
C21orf62	190
C2CD3	865
C2orf68	131
C4orf3	138
C6orf62	47
C9orf78	132
CAB39	21
CACUL1	34
CALM1	705
CALM2	311
CALM3	62
CAMLG	54
CAP1	63
CAPN1	23
CAPNS1	60
CAPZA1	89
CAPZA2	81
CAPZB	141
CARD16	40
CARD8	44
CARHSP1	30
CASP4	56
CAST	357
CBL	21
CBX3	101
CCDC157	40
CCDC186	80
CCDC30	45
CCDC57	178
CCDC82	83
CCL5	154
CCL5-1	154
CCM2	67
CCND3	47
CCNDBP1	85
CCNI	558
CCNL1	523
CCNY	34
CCPG1	30
CD164	147
CD37	1248
CD46	55
CD47	103
CD55	176
CD63	86
CD74	4514
CD82	300
CDC37	63
CDC42	678
CDC42SE1	91
CDC42SE2	180
CDKL5	16
CDKN1B	111
CDKN2D	79
CDS2	115
CDV3	229
CEACAM22P	97
CELF2	142
CERCAM	89
CERT1	49
CFL1	479
CFLAR	210
CGGBP1	55
CHCHD2	356
CHD1	188
CHD2	229
CHD4	86
CHD9	85
CHFR	97
CHMP1B	78
CHMP2A	67
CHMP2B	78
CHMP4B	56
CHMP5	26
CHST12	594
CHURC1	93
CIR1	136
CIRBP	380
CKLF	23
CLEC2B	59
CLINT1	84
CLIP1	120
CLK1	132
CLTA	39
CLTC	36
CMBL	67
CMC2	48
CMIP	44
CMTM6	158
CNBP	180
CNN2	71
CNPY3	80
COA1	42
COMMD6	416
COPA	189
COPE	84
COPS2	81
COQ10B	40
CORO1A	213
COTL1	171
COX17	119
COX4I1	687
COX5B	201
COX6A1	202
COX6B1	179
COX7A2	260
COX7B	156
COX7C	641
COX8A	141
CPEB4	41
CPT1A	73
CRBN	57
CREB1	48
CREBRF	167
CSDE1	263
CSK	59
CSNK1A1	123
CSNK1D	85
CSNK1G2	65
CSNK2A1	152
CTBS	31
CTCF	36
CTDSP1	29
CTDSP2	12
CTSC	40
CTSS	255
CTSZ	122
CUL3	136
CUL4B	89
CUX1	38
CXCR4	608
CYB561A3	277
CYB5R3	40
CYB5R4	52
CYBA	736
CYBC1	41
CYLD	237
CYP20A1	99
CYRIB	124
CYTH2	138
DAD1	67
DAPP1	109
DAZAP2	283
DBI	167
DBNL	71
DCAKD	61
DCP2	56
DCUN1D1	31
DCUN1D2	192
DDX17	316
DDX21	709
DDX3X	438
DDX5	1154
DDX6	156
DEK	126
DESI1	54
DGKH	19
DGKZ	19
DHRS7	46
DIAPH1	54
DNAJA1	195
DNAJB1	311
DNAJB6	97
DNAJC21	233
DNAJC7	156
DNM1	25
DNM2	35
DR1	44
DRAP1	75
DSG3	164
DUSP1	416
DYNLL1	40
DYNLL2	41
DYNLRB1	80
DYNLT3	51
DYRK1A	62
E2F3P2	48
EEF1A1	7563
EEF2	690
