gene	count
ABHD17A	426
ABI1	147
ABTB1	64
ACAP2	279
ACER3	297
ACP1	152
ACSL6	479
ACTB	4956
ACTG1	1777
ACTN1	166
ACTR2	402
ACTR3	297
ADAM10	157
ADAM17	509
ADAR	480
ADD1	152
ADD3	360
ADIPOR1	48
ADSL	290
AFF4	147
AGFG1	70
AGO2	91
AHCTF1	78
AK3	871
AKAP13	443
AKAP8L	82
AKAP9	411
AKIRIN1	157
AKIRIN2	115
AKT3	660
ALDH2	1005
ALDOA	196
AMD1	297
ANAPC16	582
ANAPC5	328
ANK2	855
ANKLE2	393
ANKRD11	525
ANKRD12	1280
ANKRD13A	70
ANP32A	180
ANP32B	548
ANXA11	211
ANXA5	171
ANXA7	110
AP1M1	372
AP1S2	84
AP2A1	89
AP2M1	178
AP2S1	116
AP3S1	83
APH1A	110
APLP2	93
APOL1	504
ARF1	348
ARF4	125
ARF5	163
ARFGAP2	238
ARGLU1	598
ARHGAP4	120
ARHGAP45	187
ARHGDIA	309
ARHGDIB	1243
ARHGEF12	63
ARID1A	224
ARID1B	401
ARID4B	766
ARIH1	298
ARL2	120
ARL6IP1	321
ARL6IP5	376
ARMC10-1	1114
ARPC1B	617
ARPC2	1217
ARPC3	856
ARPC4	250
ARPC5	308
ARPP19	139
ASAH1	108
ASAP1	73
ASB8	77
ATE1	152
ATF4	369
ATG12	159
ATG2A	325
ATL1	2000
ATP11B	170
ATP1A1	233
ATP5F1B	251
ATP5F1D	653
ATP5F1E	2086
ATP5ME	448
ATP5MF	299
ATP5MG	1436
ATP5MJ	426
ATP5MK	462
ATP5PF	279
ATP6AP2	202
ATP6V0B	139
ATP6V0C	113
ATP6V0D1	58
ATP6V0E1	290
ATP6V1D	283
ATP6V1F	164
ATP6V1G1	522
ATP7A	138
ATP9B	1116
ATRX	413
ATXN2	274
ATXN7	321
AZIN1	87
B2M	20468
B2M-1	3326
B4GALT1	143
BACH1	61
BAG1	124
BAX	179
BAZ1A	190
BAZ2B	410
BBLN	317
BCAP31	159
BECN1	95
BEND7	291
BIN2	368
BIRC2	160
BIRC6	217
BLOC1S1	133
BLOC1S6	1046
BLTP1	346
BNIP2	149
BNIP3L	132
BOD1L1	296
BORCS7	244
BPTF	393
BRAF	379
BRD4	187
BRI3	156
BRIP1	1007
BRK1	204
BROX	100
BRWD1	206
BSDC1	119
BSG	121
BTF3	1428
BTG1	3980
BTK	335
BUD31	169
C11orf58	773
C15orf40	904
C19orf53	307
C1GALT1	102
C21orf62	684
C2CD3	2180
C2orf68	522
C4orf3	283
C6orf62	149
C9orf78	409
CAB39	86
CACUL1	105
CALM1	2560
CALM2	848
CALM3	239
CAMLG	234
CAP1	280
CAPN1	80
CAPNS1	175
CAPZA1	259
