gene	count
ABHD17A	2
ABI1	7
ABTB1	1
ACAP2	9
ACER3	4
ACP1	6
ACSL6	13
ACTB	67
ACTG1	20
ACTN1	4
ACTR2	20
ACTR3	16
ADAM10	6
ADAM17	24
ADAR	15
ADD1	9
ADD3	10
ADIPOR1	2
ADSL	9
AFF4	9
AGFG1	2
AGO2	3
AHCTF1	2
AK3	31
AKAP13	17
AKAP8L	3
AKAP9	9
AKIRIN1	2
AKIRIN2	8
AKT3	26
ALDH2	41
ALDOA	1
AMD1	7
ANAPC16	16
ANAPC5	15
ANK2	36
ANKLE2	16
ANKRD11	11
ANKRD12	37
ANKRD13A	8
ANP32A	6
ANP32B	18
ANXA11	1
ANXA5	3
ANXA7	0
AP1M1	22
AP1S2	1
AP2A1	2
AP2M1	4
AP2S1	2
AP3S1	3
APH1A	2
APLP2	3
APOL1	17
ARF1	7
ARF4	5
ARF5	6
ARFGAP2	14
ARGLU1	28
ARHGAP4	2
ARHGAP45	6
ARHGDIA	15
ARHGDIB	27
ARHGEF12	4
ARID1A	9
ARID1B	22
ARID4B	20
ARIH1	8
ARL2	3
ARL6IP1	6
ARL6IP5	10
ARMC10-1	50
ARPC1B	10
ARPC2	35
ARPC3	48
ARPC4	7
ARPC5	7
ARPP19	10
ASAH1	3
ASAP1	2
ASB8	4
ATE1	4
ATF4	11
ATG12	11
ATG2A	12
ATL1	73
ATP11B	7
ATP1A1	4
ATP5F1B	5
ATP5F1D	34
ATP5F1E	66
ATP5ME	9
ATP5MF	6
ATP5MG	48
ATP5MJ	7
ATP5MK	9
ATP5PF	7
ATP6AP2	4
ATP6V0B	7
ATP6V0C	3
ATP6V0D1	4
ATP6V0E1	9
ATP6V1D	6
ATP6V1F	7
ATP6V1G1	25
ATP7A	3
ATP9B	33
ATRX	14
ATXN2	5
ATXN7	3
AZIN1	2
B2M	162
B2M-1	254
B4GALT1	10
BACH1	10
BAG1	5
BAX	5
BAZ1A	1
BAZ2B	14
BBLN	12
BCAP31	4
BECN1	1
BEND7	16
BIN2	1
BIRC2	4
BIRC6	3
BLOC1S1	9
BLOC1S6	51
BLTP1	12
BNIP2	2
BNIP3L	8
BOD1L1	20
BORCS7	7
BPTF	15
BRAF	17
BRD4	8
BRI3	3
BRIP1	48
BRK1	10
BROX	7
BRWD1	8
BSDC1	5
BSG	2
BTF3	51
BTG1	97
BTK	29
BUD31	7
C11orf58	21
C15orf40	45
C19orf53	10
C1GALT1	6
C21orf62	25
C2CD3	124
C2orf68	23
C4orf3	5
C6orf62	3
C9orf78	15
CAB39	2
CACUL1	4
CALM1	31
CALM2	17
CALM3	7
CAMLG	6
CAP1	3
CAPN1	2
CAPNS1	1
CAPZA1	16
CAPZA2	6
CAPZB	6
CARD16	2
CARD8	4
CARHSP1	5
CASP4	4
CAST	18
CBL	2
CBX3	15
CCDC157	2
CCDC186	3
CCDC30	3
CCDC57	23
CCDC82	9
CCL5	29
CCL5-1	29
CCM2	8
CCND3	3
CCNDBP1	7
CCNI	39
CCNL1	43
CCNY	2
CCPG1	1
CD164	9
CD37	107
CD46	9
CD47	12
CD55	19
CD63	2
CD74	426
CD82	47
CDC37	2
CDC42	43
CDC42SE1	10
CDC42SE2	9
CDKL5	8
CDKN1B	5
CDKN2D	8
CDS2	6
CDV3	12
CEACAM22P	18
CELF2	16
CERCAM	18
CERT1	6
CFL1	30
CFLAR	19
CGGBP1	2
CHCHD2	17
CHD1	14
CHD2	27
CHD4	13
CHD9	6
CHFR	13
CHMP1B	4
CHMP2A	2
CHMP2B	6
CHMP4B	4
CHMP5	2
CHST12	129
CHURC1	12
CIR1	13
CIRBP	37
CKLF	2
CLEC2B	12
CLINT1	5
CLIP1	9
CLK1	21
CLTA	2
CLTC	1
CMBL	6
CMC2	2
CMIP	5
CMTM6	9
CNBP	6
CNN2	7
CNPY3	6
COA1	4
COMMD6	24
COPA	13
COPE	4
COPS2	6
COQ10B	5
CORO1A	10
COTL1	21
COX17	14
COX4I1	51
COX5B	16
COX6A1	7
COX6B1	22
COX7A2	17
COX7B	10
COX7C	48
COX8A	7
CPEB4	4
CPT1A	12
CRBN	5
CREB1	4
CREBRF	20
CSDE1	20
CSK	8
CSNK1A1	9
CSNK1D	10
CSNK1G2	3
CSNK2A1	15
CTBS	3
CTCF	6
CTDSP1	2
CTDSP2	3
CTSC	1
CTSS	29
CTSZ	12
CUL3	11
CUL4B	12
CUX1	4
CXCR4	71
CYB561A3	29
CYB5R3	9
CYB5R4	7
CYBA	68
CYBC1	4
CYLD	19
CYP20A1	6
CYRIB	11
CYTH2	20
DAD1	5
DAPP1	4
DAZAP2	21
DBI	12
DBNL	9
DCAKD	8
DCP2	6
DCUN1D1	2
DCUN1D2	38
DDX17	45
DDX21	36
DDX3X	31
DDX5	82
DDX6	22
DEK	8
DESI1	5
DGKH	7
DGKZ	2
DHRS7	3
DIAPH1	1
DNAJA1	50
DNAJB1	109
DNAJB6	9
DNAJC21	10
DNAJC7	19
DNM1	6
DNM2	3
DR1	4
DRAP1	7
DSG3	21
DUSP1	41
DYNLL1	6
DYNLL2	1
DYNLRB1	2
DYNLT3	5
DYRK1A	5
E2F3P2	8
EEF1A1	581
EEF2	50
EHBP1L1	4
EHD1	0
EIF1	207
EIF1B	20
EIF2AK1	3
EIF3I	6
EIF4A1	27
EIF4A2	19
EIF4B	24
EIF4EBP2	1
EIF4G2	18
EIF4G3	7
EIF4H	5
EIF5	33
EIF5A	10
ELAPOR1	21
ELAVL1	13
ELF1	10
ELF2	9
ELMO1	8
ELOB	15
EMC10	6
EMC3	5
EMD	1
EMP3	20
ENO1	3
ENSA	8
EP300	11
EPB41	10
EPN1	4
EPS15	6
ERBIN	10
ERICH1	5
ERN1	10
ETV6	4
EVI2B	10
EWSR1	9
EXOC7	4
FAAP20	7
FAM107B	19
FAM120AOS	20
FAM133B	22
FAM177A1	7
FAM204A	5
FAM241A	10
FAM32A	4
FAM50A	2
FAM89B	2
FAU	208
FAUP4	4
FAXC	10
FBRS	6
FBXL20	4
FBXL3	5
FBXO11	2
FBXO48	37
FBXO7	2
FBXO9	2
FBXW7	4
FEM1A	50
FERMT3	1
FGFR1OP2	4
FIS1	4
FKBP1A	6
FKBP8	4
FLNA	5
FLOT2	1
FMN1	31
FMNL1	9
FNBP1	11
FNIP1	3
FOS	26
FOSB	17
FOXN3	5
FOXO3	2
FOXP1	45
FTH1	90
FTL	135
FUS	36
FXR1	7
FXR2	10
FXYD5	11
FYTTD1	3
G3BP2	19
GABARAP	7
GABARAPL2	10
GABRD	8
GALNT1	1
GAPDH	16
GAPVD1	2
GASK1A	172
GATAD2A	4
GATD1	13
GBF1	7
GCC2	27
GGNBP2	10
GHITM	5
GIT2	6
GLRX5	1
GLTP	5
GMFG	8
GNA13	5
GNAI2	8
GNAI3	4
GNAS	72
GNB1	8
GNB2	4
GNB5	21
GNG5	9
GNL3L	21
GNPTG	9
GOLGA2	4
GOLGA4	10
GOLGB1	25
GOLM2	7
GOSR1	12
GPATCH2L	2
GPBP1	13
GPBP1L1	5
GPCPD1	4
GPSM2	21
GPX1	4
GPX4	12
GRB2	13
GRIPAP1	7
GRK2	6
GRK3	14
GRK6	6
GSK3B	0
GSPT1	3
GSTK1	3
GSTO1	3
GTDC1	13
GTF2I	4
GTPBP4	38
GUK1	3
GYPC	10
H1-2	1
H2AC18	3
H2AC19	3
H2AZ1	2
H2AZ2	2
H3-3A	97
H3-3B	39
HADHB	4
HAPSTR1	6
HAT1	2
HBA1	7
HBA2	8
HBB	17
HBP1	8
HCLS1	4
HCST	2
HDGF	2
HECTD1	9
HELZ	5
HERC1	7
HIF1A	15
HINT1	35
HIPK1	1
HIPK3	2
HLA-A-3	31
HLA-A-6	31
HLA-B-1	14
HLA-B-2	36
HLA-B-3	43
HLA-B-5	47
HLA-DQA1-2	121
HLA-DQA1-4	4
HLA-E	18
HLA-E-1	24
