sample	disease	cell_type
Control__1_B_cell	normal	B_cell
Control__2_B_cell	normal	B_cell
Control__3_B_cell	normal	B_cell
SARS_CoV2_pos_Mild_B_cell	COVID_19	B_cell
SARS_CoV2_pos_Severe__1_B_cell	COVID_19	B_cell
SARS_CoV2_pos_Severe__2_B_cell	COVID_19	B_cell
SARS_CoV2_pos_Severe__3_B_cell	COVID_19	B_cell
Control__1_T_cell	normal	T_cell
Control__2_T_cell	normal	T_cell
Control__3_T_cell	normal	T_cell
SARS_CoV2_pos_Mild_T_cell	COVID_19	T_cell
SARS_CoV2_pos_Severe__1_T_cell	COVID_19	T_cell
SARS_CoV2_pos_Severe__2_T_cell	COVID_19	T_cell
SARS_CoV2_pos_Severe__3_T_cell	COVID_19	T_cell
Control__3_erythroid_lineage_cell	normal	erythroid_lineage_cell
SARS_CoV2_pos_Mild_erythroid_lineage_cell	COVID_19	erythroid_lineage_cell
SARS_CoV2_pos_Severe__1_erythroid_lineage_cell	COVID_19	erythroid_lineage_cell
SARS_CoV2_pos_Severe__2_erythroid_lineage_cell	COVID_19	erythroid_lineage_cell
Control__1_monocyte	normal	monocyte
Control__2_monocyte	normal	monocyte
Control__3_monocyte	normal	monocyte
SARS_CoV2_pos_Mild_monocyte	COVID_19	monocyte
SARS_CoV2_pos_Severe__1_monocyte	COVID_19	monocyte
SARS_CoV2_pos_Severe__2_monocyte	COVID_19	monocyte
Control__1_neutrophil	normal	neutrophil
Control__2_neutrophil	normal	neutrophil
Control__3_neutrophil	normal	neutrophil
SARS_CoV2_pos_Mild_neutrophil	COVID_19	neutrophil
SARS_CoV2_pos_Severe__1_neutrophil	COVID_19	neutrophil
SARS_CoV2_pos_Severe__2_neutrophil	COVID_19	neutrophil
Control__1_platelet	normal	platelet
Control__3_platelet	normal	platelet
SARS_CoV2_pos_Severe__1_platelet	COVID_19	platelet
SARS_CoV2_pos_Severe__2_platelet	COVID_19	platelet
