gene	count
ABHD17A	1
ABI1	1
ABTB1	4
ACAP2	2
ACER3	7
ACP1	0
ACSL6	12
ACTB	75
ACTG1	5
ACTN1	9
ACTR2	7
ACTR3	10
ADAM10	2
ADAM17	10
ADAR	9
ADD1	0
ADD3	3
ADIPOR1	2
ADSL	2
AFF4	2
AGFG1	1
AGO2	1
AHCTF1	2
AK3	3
AKAP13	5
AKAP8L	1
AKAP9	1
AKIRIN1	3
AKIRIN2	2
AKT3	2
ALDH2	13
ALDOA	4
AMD1	1
ANAPC16	2
ANAPC5	1
ANK2	7
ANKLE2	7
ANKRD11	3
ANKRD12	11
ANKRD13A	6
ANP32A	23
ANP32B	1
ANXA11	6
ANXA5	1
ANXA7	1
AP1M1	1
AP1S2	1
AP2A1	2
AP2M1	4
AP2S1	1
AP3S1	2
APH1A	1
APLP2	6
APOL1	8
ARF1	5
ARF4	1
ARF5	5
ARFGAP2	1
ARGLU1	1
ARHGAP4	1
ARHGAP45	0
ARHGDIA	8
ARHGDIB	15
ARHGEF12	0
ARID1A	6
ARID1B	1
ARID4B	10
ARIH1	1
ARL2	1
ARL6IP1	1
ARL6IP5	1
ARMC10-1	0
ARPC1B	5
ARPC2	11
ARPC3	8
ARPC4	3
ARPC5	13
ARPP19	0
ASAH1	4
ASAP1	4
ASB8	2
ATE1	0
ATF4	1
ATG12	0
ATG2A	9
ATL1	29
ATP11B	1
ATP1A1	1
ATP5F1B	1
ATP5F1D	6
ATP5F1E	22
ATP5ME	1
ATP5MF	0
ATP5MG	4
ATP5MJ	1
ATP5MK	0
ATP5PF	1
ATP6AP2	0
ATP6V0B	12
ATP6V0C	1
ATP6V0D1	2
ATP6V0E1	4
ATP6V1D	5
ATP6V1F	0
ATP6V1G1	9
ATP7A	4
ATP9B	5
ATRX	2
ATXN2	3
ATXN7	9
AZIN1	0
B2M	108
B2M-1	132
B4GALT1	1
BACH1	7
BAG1	0
BAX	1
BAZ1A	3
BAZ2B	5
BBLN	0
BCAP31	0
BECN1	1
BEND7	0
BIN2	1
BIRC2	2
BIRC6	0
BLOC1S1	1
BLOC1S6	4
BLTP1	5
BNIP2	1
BNIP3L	4
BOD1L1	6
BORCS7	1
BPTF	4
BRAF	2
BRD4	4
BRI3	5
BRIP1	10
BRK1	1
BROX	1
BRWD1	1
BSDC1	1
BSG	1
BTF3	3
BTG1	8
BTK	3
BUD31	1
C11orf58	3
C15orf40	1
C19orf53	0
C1GALT1	1
C21orf62	1
C2CD3	10
C2orf68	4
C4orf3	3
C6orf62	4
C9orf78	1
CAB39	1
CACUL1	2
CALM1	12
CALM2	4
CALM3	1
CAMLG	2
CAP1	8
CAPN1	1
CAPNS1	1
CAPZA1	5
CAPZA2	2
CAPZB	4
CARD16	4
CARD8	1
CARHSP1	0
CASP4	9
CAST	5
CBL	0
CBX3	1
CCDC157	5
CCDC186	1
CCDC30	0
CCDC57	9
CCDC82	1
CCL5	3
CCL5-1	3
CCM2	1
CCND3	0
CCNDBP1	3
CCNI	16
CCNL1	13
CCNY	4
CCPG1	6
CD164	2
CD37	11
CD46	17
CD47	0
CD55	19
CD63	0
CD74	8
CD82	4
CDC37	1
CDC42	12
CDC42SE1	5
CDC42SE2	6
CDKL5	7
CDKN1B	0
CDKN2D	4
CDS2	3
CDV3	5
CEACAM22P	3
CELF2	5
CERCAM	6
CERT1	3
CFL1	15
CFLAR	10
CGGBP1	0
CHCHD2	2
CHD1	10
CHD2	10
CHD4	6
CHD9	0
CHFR	1
CHMP1B	4
CHMP2A	4
CHMP2B	2
CHMP4B	1
CHMP5	0
CHST12	16
CHURC1	1
CIR1	11
CIRBP	0
CKLF	1
CLEC2B	5
CLINT1	1
CLIP1	1
CLK1	4
CLTA	0
CLTC	2
CMBL	6
CMC2	0
CMIP	1
CMTM6	10
CNBP	3
CNN2	8
CNPY3	2
