gene	count
ABHD17A	0
ABI1	0
ABTB1	6
ACAP2	2
ACER3	7
ACP1	0
ACSL6	7
ACTB	38
ACTG1	0
ACTN1	14
ACTR2	3
ACTR3	7
ADAM10	1
ADAM17	6
ADAR	11
ADD1	0
ADD3	4
ADIPOR1	0
ADSL	1
AFF4	4
AGFG1	3
AGO2	2
AHCTF1	1
AK3	8
AKAP13	2
AKAP8L	1
AKAP9	0
AKIRIN1	3
AKIRIN2	1
AKT3	2
ALDH2	15
ALDOA	0
AMD1	0
ANAPC16	0
ANAPC5	0
ANK2	14
ANKLE2	4
ANKRD11	1
ANKRD12	2
ANKRD13A	3
ANP32A	13
ANP32B	0
ANXA11	3
ANXA5	1
ANXA7	1
AP1M1	3
AP1S2	0
AP2A1	0
AP2M1	0
AP2S1	0
AP3S1	0
APH1A	2
APLP2	1
APOL1	4
ARF1	2
ARF4	0
ARF5	2
ARFGAP2	0
ARGLU1	0
ARHGAP4	2
ARHGAP45	1
ARHGDIA	6
ARHGDIB	5
ARHGEF12	0
ARID1A	6
ARID1B	2
ARID4B	8
ARIH1	6
ARL2	2
ARL6IP1	0
ARL6IP5	1
ARMC10-1	4
ARPC1B	0
ARPC2	6
ARPC3	7
ARPC4	0
ARPC5	7
ARPP19	1
ASAH1	9
ASAP1	1
ASB8	1
ATE1	1
ATF4	0
ATG12	1
ATG2A	13
ATL1	19
ATP11B	4
ATP1A1	3
ATP5F1B	0
ATP5F1D	5
ATP5F1E	7
ATP5ME	3
ATP5MF	0
ATP5MG	7
ATP5MJ	1
ATP5MK	2
ATP5PF	0
ATP6AP2	1
ATP6V0B	9
ATP6V0C	0
ATP6V0D1	3
ATP6V0E1	1
ATP6V1D	0
ATP6V1F	0
ATP6V1G1	1
ATP7A	1
ATP9B	4
ATRX	1
ATXN2	3
ATXN7	9
AZIN1	1
B2M	13
B2M-1	123
B4GALT1	1
BACH1	2
BAG1	1
BAX	0
BAZ1A	8
BAZ2B	7
BBLN	1
BCAP31	0
BECN1	1
BEND7	1
BIN2	0
BIRC2	1
BIRC6	2
BLOC1S1	0
BLOC1S6	5
BLTP1	2
BNIP2	4
BNIP3L	2
BOD1L1	7
BORCS7	2
BPTF	1
BRAF	4
BRD4	3
BRI3	1
BRIP1	7
BRK1	0
BROX	1
BRWD1	4
BSDC1	0
BSG	2
BTF3	0
BTG1	5
BTK	5
BUD31	1
C11orf58	1
C15orf40	6
C19orf53	0
C1GALT1	0
C21orf62	11
C2CD3	20
C2orf68	7
C4orf3	1
C6orf62	4
C9orf78	0
CAB39	1
CACUL1	2
CALM1	0
CALM2	5
CALM3	1
CAMLG	1
CAP1	4
CAPN1	0
CAPNS1	0
CAPZA1	3
CAPZA2	4
CAPZB	3
CARD16	0
CARD8	1
CARHSP1	1
CASP4	3
CAST	0
CBL	0
CBX3	0
CCDC157	1
CCDC186	1
CCDC30	1
CCDC57	5
CCDC82	0
CCL5	3
CCL5-1	3
CCM2	0
CCND3	0
CCNDBP1	2
CCNI	6
CCNL1	27
CCNY	0
CCPG1	6
CD164	0
CD37	6
CD46	13
CD47	0
CD55	18
CD63	1
CD74	2
CD82	16
CDC37	2
CDC42	14
CDC42SE1	3
CDC42SE2	1
CDKL5	6
CDKN1B	0
CDKN2D	4
CDS2	1
CDV3	0
CEACAM22P	5
CELF2	6
CERCAM	13
CERT1	1
CFL1	4
CFLAR	16
CGGBP1	1
CHCHD2	1
CHD1	8
CHD2	8
CHD4	6
CHD9	1
CHFR	1
CHMP1B	2
CHMP2A	1
CHMP2B	0
CHMP4B	0
CHMP5	1
CHST12	11
CHURC1	1
CIR1	7
CIRBP	1
CKLF	4
CLEC2B	4
CLINT1	0
CLIP1	1
CLK1	2
CLTA	0
CLTC	1
CMBL	8
CMC2	2
CMIP	2
CMTM6	6
CNBP	3
CNN2	0
CNPY3	0
COA1	1
COMMD6	0
COPA	8
COPE	0
COPS2	0
COQ10B	0
CORO1A	2
COTL1	11
COX17	0
COX4I1	1
COX5B	3
COX6A1	2
COX6B1	1
COX7A2	1
COX7B	0
COX7C	0
COX8A	0
CPEB4	4
CPT1A	4
CRBN	0
CREB1	4
CREBRF	3
CSDE1	2
CSK	0
CSNK1A1	6
CSNK1D	9
CSNK1G2	1
CSNK2A1	4
CTBS	4
CTCF	0
CTDSP1	0
CTDSP2	1
CTSC	1
CTSS	8
CTSZ	2
CUL3	3
CUL4B	3
CUX1	3
CXCR4	15
CYB561A3	6
CYB5R3	0
CYB5R4	6
CYBA	5
CYBC1	0
CYLD	5
CYP20A1	6
CYRIB	8
CYTH2	1
DAD1	1
DAPP1	3
DAZAP2	9
DBI	0
DBNL	1
DCAKD	0
DCP2	0
DCUN1D1	0
DCUN1D2	7
DDX17	7
DDX21	18
DDX3X	16
DDX5	7
DDX6	2
DEK	1
DESI1	3
DGKH	0
DGKZ	0
DHRS7	1
DIAPH1	1
DNAJA1	6
DNAJB1	1
DNAJB6	1
DNAJC21	2
DNAJC7	1
DNM1	1
DNM2	2
DR1	0
DRAP1	0
DSG3	7
DUSP1	54
DYNLL1	0
DYNLL2	1
