gene	count
ABHD17A	1
ABI1	17
ABTB1	25
ACAP2	54
ACER3	33
ACP1	0
ACSL6	70
ACTB	321
ACTG1	25
ACTN1	73
ACTR2	63
ACTR3	49
ADAM10	22
ADAM17	80
ADAR	70
ADD1	7
ADD3	8
ADIPOR1	11
ADSL	14
AFF4	18
AGFG1	9
AGO2	3
AHCTF1	27
AK3	60
AKAP13	13
AKAP8L	5
AKAP9	4
AKIRIN1	8
AKIRIN2	16
AKT3	13
ALDH2	121
ALDOA	14
AMD1	5
ANAPC16	16
ANAPC5	21
ANK2	105
ANKLE2	37
ANKRD11	19
ANKRD12	69
ANKRD13A	30
ANP32A	208
ANP32B	0
ANXA11	18
ANXA5	4
ANXA7	4
AP1M1	42
AP1S2	11
AP2A1	16
AP2M1	5
AP2S1	3
AP3S1	9
APH1A	4
APLP2	34
APOL1	49
ARF1	30
ARF4	15
ARF5	1
ARFGAP2	6
ARGLU1	4
ARHGAP4	4
ARHGAP45	17
ARHGDIA	24
ARHGDIB	31
ARHGEF12	1
ARID1A	29
ARID1B	3
ARID4B	44
ARIH1	18
ARL2	3
ARL6IP1	7
ARL6IP5	13
ARMC10-1	28
ARPC1B	18
ARPC2	79
ARPC3	48
ARPC4	17
ARPC5	48
ARPP19	8
ASAH1	114
ASAP1	23
ASB8	10
ATE1	3
ATF4	8
ATG12	8
ATG2A	70
ATL1	235
ATP11B	16
ATP1A1	16
ATP5F1B	2
ATP5F1D	32
ATP5F1E	137
ATP5ME	10
ATP5MF	2
ATP5MG	43
ATP5MJ	24
ATP5MK	3
ATP5PF	4
ATP6AP2	12
ATP6V0B	71
ATP6V0C	13
ATP6V0D1	35
ATP6V0E1	19
ATP6V1D	27
ATP6V1F	4
ATP6V1G1	15
ATP7A	16
ATP9B	45
ATRX	16
ATXN2	22
ATXN7	19
AZIN1	7
B2M	592
B2M-1	598
B4GALT1	18
BACH1	43
BAG1	14
BAX	6
BAZ1A	21
BAZ2B	42
BBLN	3
BCAP31	13
BECN1	5
BEND7	31
BIN2	7
BIRC2	5
BIRC6	16
BLOC1S1	6
BLOC1S6	65
BLTP1	29
BNIP2	19
BNIP3L	26
BOD1L1	55
BORCS7	28
BPTF	10
BRAF	40
BRD4	24
BRI3	81
BRIP1	106
BRK1	3
BROX	6
BRWD1	5
BSDC1	4
BSG	5
BTF3	3
BTG1	59
BTK	31
BUD31	11
C11orf58	30
C15orf40	67
C19orf53	11
C1GALT1	9
C21orf62	69
C2CD3	216
C2orf68	41
C4orf3	27
C6orf62	22
C9orf78	11
CAB39	12
CACUL1	23
CALM1	31
CALM2	14
CALM3	16
CAMLG	3
CAP1	43
CAPN1	7
CAPNS1	7
CAPZA1	24
CAPZA2	25
CAPZB	25
CARD16	11
CARD8	4
CARHSP1	7
CASP4	18
CAST	17
CBL	8
CBX3	10
CCDC157	19
CCDC186	9
CCDC30	13
CCDC57	49
CCDC82	10
CCL5	45
CCL5-1	45
CCM2	7
CCND3	6
CCNDBP1	25
CCNI	59
CCNL1	128
CCNY	6
CCPG1	15
CD164	16
