category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p_adjust_over_represented	p_adjust_under_represented
04145	2.48967237816797e-17	1	42	168	2.91425056248564e-15	1
05150	2.59044494443168e-17	1	24	50	2.91425056248564e-15	1
05140	1.30411953599715e-16	1	26	64	9.78089651997859e-15	1
04380	5.06141150005969e-16	1	35	119	2.84704396878357e-14	1
04612	9.97567654653141e-15	1	25	75	4.48905444593913e-13	1
04142	3.59810659661335e-14	1	33	122	1.34928997373e-12	1
04060	9.54550623858245e-12	1	42	244	3.06819843383007e-10	1
05323	2.02343773907449e-11	1	23	81	5.69091864114699e-10	1
05332	7.34297044080186e-11	1	17	51	1.83574261020046e-09	1
04514	1.5538477052262e-10	0.999999999973878	30	145	3.49615733675895e-09	1
04940	3.76356853618364e-10	0.999999999964772	17	56	7.42733035631292e-09	1
04620	3.96124285670022e-10	0.999999999943469	24	102	7.42733035631292e-09	1
05330	4.66130558175566e-10	0.999999999959834	16	49	8.06764427611556e-09	1
05142	3.21995815760836e-09	0.999999999422076	24	101	5.17493275329914e-08	1
05320	8.18556338461708e-09	0.999999999004257	16	64	1.22783450769256e-07	1
04650	1.0741206837128e-08	0.999999997780967	25	122	1.51048221147112e-07	1
04062	1.2843258349606e-08	0.999999996732666	31	179	1.69984301685962e-07	1
05416	1.03615551497359e-07	0.999999981280134	19	85	1.29519439371699e-06	1
04640	1.09522359706959e-07	0.999999980234959	19	82	1.29697531231926e-06	1
05145	4.01625142161339e-07	0.999999900512079	24	127	4.51828284931507e-06	1
04672	5.96055778037463e-07	0.9999999237101	13	43	6.38631190754424e-06	1
05310	8.34774005330036e-07	0.999999940057361	9	23	8.5374614181481e-06	1
04666	9.74282696434247e-07	0.999999792996299	19	90	9.53102637816111e-06	1
04662	1.5486840140806e-06	0.999999695367474	17	76	1.45189126320056e-05	1
04670	1.0706355074141e-05	0.999997121873489	20	119	9.63571956672687e-05	1
05322	1.57466267591e-05	0.999995904065636	18	142	0.000136268885415288	1
04610	1.7750648962918e-05	0.999995945181252	16	76	0.000147922074690983	1
04630	4.0725108744089e-05	0.99998699566601	22	153	0.000327255338122143	1
00511	4.88565943572008e-05	0.999995930820304	7	17	0.000379059783805869	1
04623	6.78788190270622e-05	0.999987512731159	11	55	0.000509091142702966	1
05160	8.33319509461184e-05	0.999973647075452	20	138	0.000604828676221827	1
04210	0.000481253101679543	0.999861967395696	14	86	0.00338381087118428	1
05144	0.000719899731559298	0.999853468493975	9	45	0.00490840726063158	1
