1	115	﻿Chromosome	Length
10	23	10	28816175
11	22	11	23986915
12	19	12	23235100
13	21	13	22362767
14	24	14	23265108
15	23	15	21088201
16	6	16	17487702
17	33	17	16938386
18	4	18	15572589
19	10	19	12787533
2	141	2	123451405
20	18	20	13899114
21	8	21	13093161
22	5	22	8696975
24	19	24	11344391
25	8	25	7312786
26	60	26	46055897
27	13	27	6387999
28	7	28	7803721
29	5	29	3496993
3	118	3	121534940
30	33	30	22021689
31	7	31	4714721
33	6	33	477022
35	13	35	1321807
37	3	37	336161
39	1	39	167149
4	77	4	8011800
5	85	5	76278832
6	63	6	66143299
7	37	7	40978052
8	28	8	38659334
9	23	9	33574751
W	184	W	6742290
Z	42	Z	79826082
